Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Bomberry,New England Black Wolves,,7,3,5,8,10,0,0,0,48,6,10,0,0,0/3,-
Andrew Kew,New England Black Wolves,,10,15,27,42,0,0,0,0,57,24,0,0,0,0/0,-
Brett Manney,New England Black Wolves,,11,0,4,4,2,0,0,0,34,3,7,0,0,0/0,-
Callum Crawford,New England Black Wolves,,11,33,43,76,2,0,0,0,52,48,0,0,0,0/0,-
Colton Watkinson,New England Black Wolves,,10,5,4,9,26,0,0,0,46,10,4,0,0,0/0,-
Creighton Reid,New England Black Wolves,,10,1,3,4,4,0,0,0,32,9,5,0,0,0/0,-
Dave Emala,New England Black Wolves,,6,2,2,4,0,0,0,0,15,4,0,0,0,0/0,-
Dereck Downs,New England Black Wolves,,7,4,11,15,0,0,0,0,16,11,0,0,0,0/0,-
Doug Jamieson,New England Black Wolves,G,11,0,4,4,0,0,0,0,5,3,4,0,0,0/0,-
Ethan Woods,New England Black Wolves,G,11,0,1,1,0,0,0,0,0,0,0,0,0,0/0,-
Greg Downing,New England Black Wolves,,8,1,4,5,23,0,0,0,52,4,12,0,0,0/0,-
Jackson Nishimura,New England Black Wolves,,6,1,0,1,2,0,0,0,24,5,1,0,0,0/0,-
Joe Nardella,New England Black Wolves,,11,2,4,6,12,0,0,0,86,7,11,0,0,160/277,58%
Joe Resetarits,New England Black Wolves,,11,24,20,44,4,0,0,0,51,30,0,0,0,0/0,-
John LaFontaine,New England Black Wolves,,11,1,4,5,4,0,0,0,37,6,9,0,0,0/0,-
Jordan Durston,New England Black Wolves,,10,9,9,18,2,0,0,0,38,11,0,0,0,0/0,-
Mackenzie Mitchell,New England Black Wolves,,6,0,4,4,2,0,0,0,23,3,6,0,0,0/0,-
Mike Byrne,New England Black Wolves,,2,0,0,0,4,0,0,0,10,1,2,0,0,0/0,-
Nick Chaykowsky,New England Black Wolves,,11,3,6,9,9,0,0,0,34,1,5,0,0,0/0,-
Reilly O'Connor,New England Black Wolves,,11,19,16,35,12,0,0,0,55,26,0,0,0,0/0,-
Stephan Leblanc,New England Black Wolves,,10,8,28,36,2,0,0,0,45,31,3,0,0,0/0,-
Tony Malcom,New England Black Wolves,,11,7,6,13,10,0,0,0,95,9,9,0,0,0/0,-
Tristan Rai,New England Black Wolves,,4,0,0,0,0,0,0,0,6,5,1,0,0,0/0,-
Ty Logan,New England Black Wolves,,9,0,2,2,8,0,0,0,33,6,6,0,0,0/1,-
