Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Anders Myrvold,DET,D,22,1,1,2,-3,74,6:06,0,0,13,7.7,,,,,,0,0,0.0
Boyd Devereaux,DET,C,55,4,15,19,19,28,15:42,0,6,60,6.7,,,,,,0,0,0.0
Brendan Shanahan,DET,LW,75,30,38,68,-2,35,18:16,8,15,136,22.1,,,,,,0,0,0.0
Chris Chelios,DET,D,44,10,12,22,8,25,12:45,0,1,80,12.5,,,,,,0,0,0.0
Darren McCarty,DET,RW,52,3,8,11,3,4,10:27,1,0,48,6.3,,,,,,0,0,0.0
Darryl Bootland,DET,RW,4,0,2,2,2,0,7:21,0,0,2,0.0,,,,,,0,0,0.0
Derian Hatcher,DET,D,20,1,4,5,5,16,13:51,0,0,18,5.6,,,,,,0,0,0.0
Henrik Zetterberg,DET,C,78,14,32,46,22,56,24:29,4,16,165,8.5,,,,,,0,0,0.0
Jamie Rivers,DET,D,43,6,5,11,2,50,12:19,1,0,61,9.8,,,,,,0,0,0.0
Jason Williams,DET,RW,61,6,9,15,-1,20,9:58,0,1,62,9.7,,,,,,0,0,0.0
Jason Woolley,DET,D,81,4,15,19,0,75,18:30,1,0,115,3.5,,,,,,0,0,0.0
Jiri Fischer,DET,D,69,2,19,21,12,61,21:20,0,0,113,1.8,,,,,,0,0,0.0
Jiri Hudler,DET,RW,15,0,4,4,4,8,19:38,0,1,18,0.0,,,,,,0,0,0.0
Kevin Miller,DET,C,12,1,2,3,-1,10,8:09,1,0,8,12.5,,,,,,0,0,0.0
Kirk Maltby,DET,LW,81,10,28,38,19,18,27:39,3,18,194,5.2,,,,,,0,0,0.0
Kris Draper,DET,RW,67,14,29,43,7,22,16:24,3,9,119,11.8,,,,,,0,0,0.0
Mark Mowers,DET,RW,65,3,9,12,9,40,13:47,0,1,68,4.4,,,,,,0,0,0.0
Mathieu Dandenault,DET,D,49,6,7,13,1,15,9:26,0,0,44,13.6,,,,,,0,0,0.0
Mathieu Schneider,DET,D,75,18,33,51,10,46,17:32,7,11,141,12.8,,,,,,0,0,0.0
Nathan Robinson,DET,C,2,0,0,0,0,0,2:22,0,0,0,0.0,,,,,,0,0,0.0
Nicklas Lidstrom,DET,D,67,24,16,40,22,31,17:43,2,2,149,16.1,,,,,,0,0,0.0
Niklas Kronwall,DET,D,6,1,4,5,2,0,16:20,0,2,14,7.1,,,,,,0,0,0.0
Pavel Datsyuk,DET,C,81,25,43,68,-4,12,16:53,10,13,200,12.5,,,,,,0,0,0.0
Ray Whitney,DET,LW,61,15,28,43,15,14,18:14,7,6,137,10.9,,,,,,0,0,0.0
Robert Lang C *,DET,,50,3,4,7,9,41,10:13,0,0,31,9.7,,,,,,0,0,0.0
Ryan Barnes,DET,LW,8,0,1,1,-1,2,12:11,0,0,6,0.0,,,,,,0,0,0.0
Steve Thomas,DET,RW,67,15,15,30,8,38,12:23,6,7,74,20.3,,,,,,0,0,0.0
Steve Yzerman,DET,C,82,25,28,53,15,117,18:04,8,11,280,8.9,,,,,,0,0,0.0
Tomas Holmstrom,DET,LW,79,14,19,33,24,80,16:15,1,0,123,11.4,,,,,,0,0,0.0
