Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Aaron Miller,LA,D,31,1,4,5,0,16,10:29,0,0,,,,40,2.5,,,,2004-2005
Alexander Frolov,LA,LW,80,22,29,51,4,56,16:40,12,9,,,,221,10.0,,,,2004-2005
Anson Carter RW *,LA,NAN,2,0,1,1,1,0,10:22,0,0,,,,3,0.0,,,,2004-2005
Brad Chartrand,LA,C,17,4,3,7,-7,2,20:22,1,2,,,,28,14.3,,,,2004-2005
Brad Norton D *,LA,NAN,2,0,1,1,1,2,17:56,0,0,,,,2,0.0,,,,2004-2005
Bryan Muir,LA,D,15,0,1,1,-5,0,16:43,0,0,,,,18,0.0,,,,2004-2005
Denis Grebeshkov,LA,D,16,0,1,1,-5,20,15:11,0,0,,,,11,0.0,,,,2004-2005
Derek Armstrong,LA,C,64,8,29,37,5,16,18:46,4,6,,,,78,10.3,,,,2004-2005
Dustin Brown,LA,RW,15,2,3,5,-4,12,16:54,1,2,,,,24,8.3,,,,2004-2005
Eric Belanger,LA,C,57,14,21,35,4,33,17:00,5,5,,,,101,13.9,,,,2004-2005
Esa Pirnes,LA,C,48,6,7,13,0,27,10:01,0,0,,,,73,8.2,,,,2004-2005
Ian Laperriere,LA,RW,72,8,17,25,7,36,21:08,0,4,,,,150,5.3,,,,2004-2005
Jaroslav Modry,LA,D,81,13,20,33,-16,44,17:00,0,3,,,,132,9.8,,,,2004-2005
Jason Holland,LA,D,34,1,5,6,-4,33,8:04,0,0,,,,45,2.2,,,,2004-2005
Jeff Cowan RW *,LA,NAN,35,1,2,3,-3,32,18:59,0,0,,,,26,3.8,,,,2004-2005
Jerred Smithson,LA,C,2,1,1,2,1,0,12:40,0,1,,,,4,25.0,,,,2004-2005
Joe Corvo,LA,D,76,9,19,28,2,261,11:41,0,0,,,,125,7.2,,,,2004-2005
John Tripp,LA,RW,53,3,4,7,-3,30,11:35,0,0,,,,63,4.8,,,,2004-2005
Jon Sim LW *,LA,NAN,74,1,13,14,-3,44,22:26,0,2,,,,65,1.5,,,,2004-2005
Jozef Stumpel,LA,C,35,16,25,41,18,12,21:29,3,14,,,,109,14.7,,,,2004-2005
Kip Brennan LW *,LA,NAN,20,0,1,1,-1,77,8:33,0,0,,,,10,0.0,,,,2004-2005
Lubomir Visnovsky,LA,D,79,5,27,32,11,44,24:23,1,14,,,,196,2.6,,,,2004-2005
Martin Straka F *,LA,NAN,31,9,6,15,1,20,13:17,2,3,,,,53,17.0,,,,2004-2005
Martin Strbak D *,LA,NAN,13,2,1,3,-1,24,11:42,1,0,,,,15,13.3,,,,2004-2005
Mattias Norstrom,LA,D,32,6,8,14,-9,4,16:46,1,4,,,,34,17.6,,,,2004-2005
Maxim Kuznetsov,LA,D,8,0,1,1,0,4,10:38,0,0,,,,2,0.0,,,,2004-2005
Michael Cammalleri,LA,LW,62,10,12,22,-4,58,15:50,1,0,,,,59,16.9,,,,2004-2005
Nathan Dempsey D *,LA,NAN,47,0,7,7,1,21,14:58,0,0,,,,45,0.0,,,,2004-2005
Noah Clarke,LA,LW,4,0,1,1,-4,0,18:29,0,0,,,,5,0.0,,,,2004-2005
Pavel Rosa,LA,RW,5,2,0,2,1,8,19:14,0,0,,,,7,28.6,,,,2004-2005
Scott Barney,LA,RW,57,3,8,11,-9,12,11:44,0,1,,,,57,5.3,,,,2004-2005
Sean Avery,LA,C,58,8,21,29,8,26,24:02,5,12,,,,114,7.0,,,,2004-2005
Steve Kelly,LA,C,18,1,0,1,-1,79,5:00,0,0,,,,6,16.7,,,,2004-2005
Tim Gleason,LA,D,19,5,6,11,3,4,11:12,2,1,,,,31,16.1,,,,2004-2005
Tomas Zizka,LA,D,52,3,3,6,5,24,17:40,0,0,,,,64,4.7,,,,2004-2005
Trent Klatt,LA,RW,77,24,24,48,8,24,17:13,5,8,,,,168,14.3,,,,2004-2005
Zigmund Palffy,LA,RW,82,17,26,43,2,46,16:14,6,7,,,,160,10.6,,,,2004-2005
