Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Hall,NSH,RW,47,12,15,27,-2,26,15:48,3,10,108,11.1,,,,,,0,0,0.0
Andreas Johansson,NSH,LW,24,9,21,30,8,12,20:01,7,9,78,11.5,,,,,,0,0,0.0
Andrew Hutchinson,NSH,D,70,4,4,8,-6,137,8:29,2,1,92,4.3,,,,,,0,0,0.0
Brad Bombardir D *,NSH,,2,0,0,0,-1,0,6:39,0,0,1,0.0,,,,,,0,0,0.0
Dan Hamhuis,NSH,D,79,13,14,27,-8,37,16:14,6,2,151,8.6,,,,,,0,0,0.0
David Legwand,NSH,C,76,16,33,49,10,38,15:00,4,10,137,11.7,,,,,,0,0,0.0
Denis Arkhipov,NSH,C,80,7,19,26,-12,57,22:07,2,6,115,6.1,,,,,,0,0,0.0
Greg Johnson,NSH,C,59,18,15,33,-5,87,16:15,5,8,154,11.7,,,,,,0,0,0.0
Jamie Allison,NSH,D,20,0,3,3,6,34,14:36,0,0,10,0.0,,,,,,0,0,0.0
Jason Morgan C *,NSH,,9,0,2,2,3,10,18:10,0,0,12,0.0,,,,,,0,0,0.0
Jason York,NSH,D,39,8,9,17,-1,12,16:37,0,1,58,13.8,,,,,,0,0,0.0
Jeremy Stevenson LW *,NSH,,75,4,9,13,16,26,20:55,0,0,82,4.9,,,,,,0,0,0.0
Jim McKenzie,NSH,LW,18,3,1,4,2,2,10:21,0,0,21,14.3,,,,,,0,0,0.0
Jordin Tootoo,NSH,RW,53,5,4,9,-2,103,10:03,3,0,62,8.1,,,,,,0,0,0.0
Kimmo Timonen,NSH,D,82,18,29,47,9,46,17:16,5,7,165,10.9,,,,,,0,0,0.0
Libor Pivko,NSH,LW,2,0,0,0,-1,0,6:31,0,0,0,0.0,,,,,,0,0,0.0
Marek Zidlicky,NSH,D,75,25,42,67,4,94,20:03,9,15,157,15.9,,,,,,0,0,0.0
Mark Eaton,NSH,D,67,2,13,15,-4,64,21:16,0,4,80,2.5,,,,,,0,0,0.0
Martin Erat,NSH,RW,82,14,39,53,-16,82,20:02,9,26,143,9.8,,,,,,0,0,0.0
Mathieu Darche,NSH,LW,1,0,0,0,0,0,5:08,0,0,0,0.0,,,,,,0,0,0.0
Mike Farrell,NSH,RW,9,0,0,0,-4,38,3:28,0,0,1,0.0,,,,,,0,0,0.0
Rem Murray,NSH,LW,72,9,12,21,-2,22,13:58,3,3,91,9.9,,,,,,0,0,0.0
Robert Schnabel,NSH,D,61,1,3,4,-13,88,6:14,0,1,10,10.0,,,,,,0,0,0.0
Scott Hartnell,NSH,LW,82,16,21,37,-4,74,17:00,2,4,124,12.9,,,,,,0,0,0.0
Scottie Upshall,NSH,RW,7,1,0,1,-3,0,7:34,1,0,4,25.0,,,,,,0,0,0.0
Sergei Zholtok C *,NSH,,47,0,3,3,-7,76,13:04,0,0,19,0.0,,,,,,0,0,0.0
Shane Hnidy D *,NSH,,11,1,1,2,-2,0,11:41,0,0,17,5.9,,,,,,0,0,0.0
Simon Gamache LW *,NSH,,5,0,1,1,3,10,11:34,0,0,0,0.0,,,,,,0,0,0.0
Stan Neckar,NSH,D,6,0,2,2,0,2,10:05,0,0,6,0.0,,,,,,0,0,0.0
Steve Sullivan LW *,NSH,,82,14,18,32,-21,33,17:37,1,4,100,14.0,,,,,,0,0,0.0
Timofei Shishkanov,NSH,LW,7,0,1,1,-2,0,9:11,0,1,6,0.0,,,,,,0,0,0.0
Tomas Kloucek D *,NSH,,1,0,1,1,2,0,14:59,0,0,0,0.0,,,,,,0,0,0.0
Vernon Fiddler,NSH,C,1,0,0,0,0,0,6:50,0,0,2,0.0,,,,,,0,0,0.0
Vladimir Orszagh,NSH,RW,77,12,32,44,-7,52,23:52,8,22,180,6.7,,,,,,0,0,0.0
Wade Brookbank D *,NSH,,17,0,0,0,-6,23,8:06,0,0,8,0.0,,,,,,0,0,0.0
Wyatt Smith,NSH,F,18,4,4,8,1,4,16:43,2,2,24,16.7,,,,,,0,0,0.0
