Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Jay Scrubb,G,2,15.0,6.5,2.5,3.5,71.4,1.0,1.0,100.0,0.5,1.0,50.0,3.0,0.5,1.0,0.0,1.5,0,0
Jaylen Brown,G,67,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,6.9,3.5,1.1,0.4,2.9,13,0
Jaylen Nowell,G,65,19.3,10.8,4.3,9.6,44.8,1.0,3.6,28.9,1.2,1.5,77.8,2.6,2.0,0.6,0.1,1.0,0,0
Jaylin Williams,F,49,18.7,5.9,2.1,4.8,43.6,0.9,2.3,40.7,0.8,1.1,70.4,4.9,1.6,0.6,0.2,0.8,0,0
Jayson Tatum,F,74,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35.0,7.2,8.4,85.4,8.8,4.6,1.1,0.7,2.9,31,1
JD Davison,G,12,5.5,1.6,0.7,1.6,42.1,0.2,0.6,28.6,0.1,0.2,50.0,0.8,0.9,0.2,0.2,0.3,0,0
Jeff Dowtin Jr.,G,25,10.4,2.4,1.0,2.3,43.9,0.2,0.6,31.3,0.2,0.4,66.7,0.9,1.2,0.4,0.1,0.2,0,0
Jeff Green,F,56,19.5,7.8,2.9,5.9,48.8,0.5,1.9,28.8,1.6,2.1,74.4,2.6,1.2,0.3,0.3,0.8,0,0
Jerami Grant,F,63,35.7,20.5,6.9,14.5,47.5,2.3,5.7,40.1,4.4,5.4,81.3,4.5,2.4,0.8,0.8,1.8,2,0
Jeremiah Robinson-Earl,F,43,18.9,6.8,2.6,5.8,44.4,0.9,2.6,33.3,0.8,1.0,83.3,4.2,1.0,0.6,0.3,0.4,1,0
Jeremy Sochan,F,56,26.0,11.0,4.5,9.9,45.3,0.6,2.4,24.6,1.4,2.1,69.8,5.3,2.5,0.8,0.4,1.7,2,0
Jericho Sims,C,52,15.6,3.4,1.6,2.1,77.6,0.0,0.0,0.0,0.2,0.3,75.0,4.7,0.5,0.3,0.5,0.5,2,0
Jevon Carter,G,81,22.4,8.0,3.0,7.0,42.3,1.8,4.2,42.1,0.4,0.5,81.6,2.5,2.4,0.8,0.4,1.0,1,0
Jimmy Butler III,F,64,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35.0,7.4,8.7,85.0,5.9,5.3,1.8,0.3,1.6,11,0
Jock Landale,C,69,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25.0,1.1,1.5,75.2,4.1,1.0,0.2,0.4,0.9,3,0
Joe Harris,SF,74,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,2.2,1.4,0.5,0.2,0.6,0,0
Joe Ingles,F,46,22.7,6.9,2.3,5.4,43.5,1.8,4.4,40.9,0.4,0.5,85.7,2.8,3.3,0.7,0.1,1.2,1,0
Joe Wieskamp,SF,9,5.6,1.0,0.3,1.6,21.4,0.3,1.3,25.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.1,0,0
