Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Aaron Holiday,G,53,13.6,5.4,1.8,4.5,40.5,1.2,3.0,39.0,0.6,0.7,86.5,1.0,1.1,0.4,0.1,0.7,0,0
Aaron Wiggins,G,61,21.9,9.6,3.6,8.4,43.1,1.5,4.2,35.4,0.9,1.1,74.3,3.1,1.7,0.9,0.4,1.3,0,0
Ace Bailey,G,70,27.6,13.6,5.4,12.2,44.4,1.9,5.5,34.8,0.9,1.2,76.7,4.1,1.8,0.8,0.7,1.4,0,0
Adem Bona,C,68,17.4,4.9,1.9,3.1,60.1,0.0,0.1,33.3,1.1,1.6,70.6,4.4,0.5,0.4,1.2,0.8,1,0
AJ Green,G,74,28.7,9.8,3.2,7.6,41.6,2.8,6.8,40.9,0.6,0.8,84.2,2.6,1.9,0.5,0.1,1.0,0,0
Ajay Mitchell,G,55,25.9,13.8,5.1,10.5,48.7,1.1,3.1,34.9,2.5,2.9,87.3,3.4,3.6,1.3,0.3,1.5,1,0
Alex Caruso,G,54,18.5,6.3,2.3,5.4,42.2,0.9,3.3,29.0,0.8,0.9,80.4,2.8,2.0,1.3,0.3,0.9,0,0
Alex Sarr,C,48,27.2,16.3,6.6,13.7,48.2,1.0,3.1,33.3,2.1,3.0,69.2,7.4,2.7,0.8,2.0,1.7,12,0
Alperen Sengun,C,69,33.4,20.6,8.2,15.7,52.2,0.6,1.9,31.0,3.7,5.4,68.8,8.8,6.2,1.2,1.1,3.1,33,4
Amen Thompson,G,76,37.3,17.9,6.9,13.1,52.7,0.3,1.5,22.3,3.8,4.9,77.7,7.8,5.3,1.5,0.6,2.4,19,0
Andre Drummond,C,59,19.3,6.3,2.5,5.3,46.9,0.5,1.4,35.3,0.8,1.3,63.6,8.2,1.2,0.6,0.8,1.0,15,0
Andrew Nembhard,G,57,31.3,16.9,5.8,13.2,44.2,1.9,5.2,36.1,3.4,4.1,82.5,2.8,7.7,0.9,0.1,2.4,13,0
Andrew Wiggins,F,64,30.6,15.6,5.9,12.3,47.8,2.0,4.9,41.7,1.8,2.3,78.7,5.0,2.7,1.2,1.1,1.5,2,0
Anfernee Simons,G,55,24.9,14.3,5.2,11.8,44.0,2.7,6.9,38.5,1.3,1.4,89.6,2.5,2.4,0.5,0.1,1.2,0,0
Anthony Black,G,60,30.7,15.3,5.5,12.3,45.1,1.6,4.7,33.9,2.6,3.6,73.0,3.9,3.8,1.4,0.7,2.1,2,0
