Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
7,Atlantic Division,1,Springfield Thunderbirds,76,43,24,6,3,95,0.625,31,39,233,221,12,6-2-1-1,4-0-0-0,864,0
5,Atlantic Division,2,Charlotte Checkers,72,42,24,5,1,90,0.625,36,38,234,197,37,7-1-1-1,2-0-0-1,862,0
14,Atlantic Division,3,Providence Bruins,72,36,25,5,6,83,0.576,27,32,199,192,7,4-5-1-0,0-5-1-0,898,0
21,Atlantic Division,4,Wilkes-Barre/Scranton Penguins,76,35,33,4,4,78,0.513,26,34,209,225,-16,4-6-0-0,0-4-0-0,862,0
22,Atlantic Division,5,Hershey Bears,76,34,32,6,4,78,0.513,23,33,202,209,-7,3-6-1-0,0-2-0-0,911,0
23,Atlantic Division,6,Bridgeport Islanders,72,31,30,7,4,73,0.507,24,29,213,226,-13,4-5-1-0,0-1-0-0,816,0
27,Atlantic Division,7,Lehigh Valley Phantoms,76,29,32,10,5,73,0.480,25,27,195,239,-44,3-3-3-1,1-0-0-0,805,0
25,Atlantic Division,8,Hartford Wolf Pack,72,32,32,6,2,72,0.500,23,26,205,225,-20,3-6-1-0,2-0-0-0,749,0
4,North Division,1,Utica Comets,72,43,20,8,1,95,0.660,35,41,246,206,40,4-4-2-0,1-0-0-0,812,0
11,North Division,2,Syracuse Crunch,76,41,26,7,2,91,0.599,32,40,242,229,13,8-2-0-0,0-1-0-0,880,0
12,North Division,3,Laval Rocket,72,39,26,5,2,85,0.590,31,37,246,231,15,5-3-2-0,2-0-1-0,871,0
13,North Division,4,Belleville Senators,72,40,28,4,0,84,0.583,30,35,219,218,1,7-3-0-0,2-0-0-0,902,0
16,North Division,5,Rochester Americans,76,37,29,7,3,84,0.553,27,34,254,270,-16,5-3-2-0,1-0-0-0,942,0
19,North Division,6,Toronto Marlies,72,37,30,4,1,79,0.549,25,34,243,244,-1,4-5-1-0,0-1-1-0,924,0
29,North Division,7,Cleveland Monsters,76,28,35,8,5,69,0.454,18,26,207,262,-55,4-6-0-0,0-1-0-0,1002,0
1,Central Division,1,Chicago Wolves,76,50,16,5,5,110,0.724,43,49,261,194,67,7-3-0-0,3-0-0-0,891,0
8,Central Division,2,Manitoba Moose,72,41,24,5,2,89,0.618,30,35,228,204,24,5-4-1-0,2-0-0-0,847,0
15,Central Division,3,Milwaukee Admirals,76,39,28,5,4,87,0.572,29,36,229,228,1,6-3-1-0,1-0-0-0,1023,0
18,Central Division,4,Rockford IceHogs,72,37,30,4,1,79,0.549,28,30,223,221,2,5-5-0-0,0-2-0-0,939,0
20,Central Division,5,Texas Stars,72,32,28,6,6,76,0.528,26,30,219,230,-11,5-4-0-1,4-0-0-0,897,0
26,Central Division,6,Grand Rapids Griffins,76,33,35,6,2,74,0.487,23,31,209,240,-31,5-5-0-0,1-0-0-0,828,0
24,Central Division,7,Iowa Wild,72,32,31,4,5,73,0.507,23,30,202,209,-7,5-4-0-1,0-1-0-0,1085,0
2,Pacific Division,1,Stockton Heat,68,45,16,5,2,97,0.713,33,39,242,185,57,4-4-1-1,0-1-0-0,910,0
3,Pacific Division,2,Ontario Reign,68,41,18,5,4,91,0.669,32,39,259,219,40,5-3-1-1,0-3-0-0,892,0
6,Pacific Division,3,Colorado Eagles,68,39,22,4,3,85,0.625,31,34,244,207,37,7-3-0-0,2-0-0-0,815,0
9,Pacific Division,4,Bakersfield Condors,68,37,21,5,5,84,0.618,32,37,225,192,33,7-3-0-0,1-0-0-0,843,0
10,Pacific Division,5,Abbotsford Canucks,68,39,23,5,1,84,0.618,30,37,230,200,30,8-2-0-0,0-2-0-0,941,0
17,Pacific Division,6,Henderson Silver Knights,68,35,28,4,1,75,0.551,26,31,209,203,6,8-1-1-0,8-0-1-0,966,0
28,Pacific Division,7,San Diego Gulls,68,28,33,4,3,63,0.463,27,27,197,223,-26,1-6-1-2,0-2-0-1,1015,0
30,Pacific Division,8,Tucson Roadrunners,68,23,39,5,1,52,0.382,17,20,182,268,-86,3-7-0-0,2-0-0-0,1033,0
31,Pacific Division,9,San Jose Barracuda,68,20,42,4,2,46,0.338,17,18,202,291,-89,0-8-2-0,0-13-2-0,973,0
