Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
3,Atlantic Division,1,Providence Bruins,72,44,18,8,2,98,0.681,35,39,221,201,20,6-4-0-0,2-0-0-0,1002,0
4,Atlantic Division,2,Hershey Bears,72,44,19,5,4,97,0.674,37,40,217,184,33,6-3-0-1,1-0-0-0,775,0
10,Atlantic Division,3,Charlotte Checkers,72,39,25,5,3,86,0.597,27,35,235,220,15,4-4-2-0,3-0-0-0,939,0
11,Atlantic Division,4,Springfield Thunderbirds,72,38,26,3,5,84,0.583,28,35,230,211,19,6-3-1-0,0-1-0-0,913,0
13,Atlantic Division,5,Hartford Wolf Pack,72,35,26,4,7,81,0.563,28,33,227,215,12,8-2-0-0,0-1-0-0,841,0
16,Atlantic Division,6,Lehigh Valley Phantoms,72,37,29,3,3,80,0.556,27,33,221,226,-5,6-4-0-0,0-3-0-0,947,0
23,Atlantic Division,7,Bridgeport Islanders,72,34,30,7,1,76,0.528,26,32,238,248,-10,5-5-0-0,0-1-0-0,983,0
29,Atlantic Division,8,Barre/Scranton Penguins,72,26,32,8,6,66,0.458,17,21,191,224,-33,1-6-2-1,0-2-1-0,860,0
6,North Division,1,Toronto Marlies,72,42,24,4,2,90,0.625,34,39,229,225,4,2-6-2-0,1-0-0-0,934,0
14,North Division,2,Syracuse Crunch,72,35,26,7,4,81,0.563,27,31,252,239,13,5-2-2-1,0-1-1-0,1086,0
15,North Division,3,Rochester Americans,72,36,27,6,3,81,0.563,25,32,236,233,3,6-2-2-0,1-0-0-0,802,0
17,North Division,4,Utica Comets,72,35,27,6,4,80,0.556,26,33,215,222,-7,4-4-0-2,2-0-0-0,773,0
22,North Division,5,Laval Rocket,72,33,29,7,3,76,0.528,27,32,258,247,11,8-2-0-0,4-0-0-0,940,0
25,North Division,6,Cleveland Monsters,72,33,32,5,2,73,0.507,22,28,220,254,-34,5-5-0-0,0-1-0-0,846,0
26,North Division,7,Belleville Senators,72,31,31,6,4,72,0.500,23,27,233,258,-25,4-3-0-3,0-1-0-0,1186,0
5,Central Division,1,Texas Stars,72,40,20,9,3,92,0.639,31,37,265,210,55,6-3-1-0,0-1-0-0,777,0
8,Central Division,2,Milwaukee Admirals,72,41,24,5,2,89,0.618,30,33,238,211,27,4-4-2-0,0-1-1-0,810,0
12,Central Division,3,Manitoba Moose,72,37,25,6,4,84,0.583,28,35,227,226,1,3-6-1-0,1-0-1-0,931,0
18,Central Division,4,Iowa Wild,72,34,27,6,5,79,0.549,24,30,211,211,0,5-3-1-1,1-0-1-0,948,0
19,Central Division,5,Rockford IceHogs,72,35,28,5,4,79,0.549,20,29,214,232,-18,5-5-0-0,1-0-0-0,935,0
21,Central Division,6,Chicago Wolves,72,35,29,5,3,78,0.542,29,34,227,245,-18,8-1-1-0,3-0-0-0,811,0
30,Central Division,7,Grand Rapids Griffins,72,28,36,4,4,64,0.444,19,25,194,255,-61,2-7-0-1,0-4-0-0,736,0
1,Pacific Division,1,Calgary Wranglers,72,51,17,3,1,106,0.736,45,48,256,174,82,8-2-0-0,1-0-0-0,1083,0
2,Pacific Division,2,Coachella Valley Firebirds,72,48,17,5,2,103,0.715,38,44,257,194,63,6-3-1-0,0-2-0-0,1098,0
7,Pacific Division,3,Colorado Eagles,72,40,22,7,3,90,0.625,34,38,210,187,23,6-2-2-0,4-0-0-0,1000,0
9,Pacific Division,4,Abbotsford Canucks,72,40,25,3,4,87,0.604,36,39,229,203,26,5-4-1-0,0-1-0-0,969,0
20,Pacific Division,5,Bakersfield Condors,72,37,31,2,2,78,0.542,34,37,212,212,0,7-3-0-0,3-0-0-0,983,0
24,Pacific Division,6,Ontario Reign,72,34,32,5,1,74,0.514,25,30,206,211,-5,3-6-1-0,0-3-0-0,794,0
27,Pacific Division,7,Tucson Roadrunners,72,30,33,8,1,69,0.479,25,27,219,245,-26,3-4-2-1,0-4-2-1,1271,0
28,Pacific Division,8,San Jose Barracuda,72,31,34,2,5,69,0.479,23,28,205,249,-44,5-3-1-1,2-0-0-0,1216,0
31,Pacific Division,9,Henderson Silver Knights,72,29,38,0,5,63,0.438,23,26,201,221,-20,6-4-0-0,2-0-0-0,930,0
32,Pacific Division,10,San Diego Gulls,72,20,49,2,1,43,0.299,15,19,180,281,-101,1-8-1-0,0-5-0-0,1109,0
