Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Manchester Monarchs,76,48,19,3,6,105,0.691,40,43,244,188,56,7-2-1-0,5-0-1-0,1005,0
5,Atlantic Division,2,St. John's IceCaps,76,46,23,2,5,99,0.651,40,42,258,207,51,5-2-1-2,3-0-0-0,1318,0
13,Atlantic Division,3,Providence Bruins,76,40,25,2,9,91,0.599,25,29,233,210,23,6-2-0-2,0-1-0-0,1103,0
21,Atlantic Division,4,Worcester Sharks,76,36,34,4,2,78,0.513,25,26,189,226,-37,4-4-1-1,1-0-0-0,1278,0
30,Atlantic Division,5,Portland Pirates,76,24,39,3,10,61,0.401,18,19,222,284,-62,0-7-1-2,0-7-1-2,1568,0
3,Northeast Division,1,Springfield Falcons,76,47,23,1,5,100,0.658,34,37,247,212,35,7-3-0-0,0-2-0-0,1255,0
10,Northeast Division,2,Albany Devils,76,40,23,5,8,93,0.612,33,33,220,193,27,6-2-1-1,5-0-0-0,1045,0
18,Northeast Division,3,Hartford Wolf Pack,76,37,32,1,6,81,0.533,30,31,202,220,-18,9-1-0-0,2-0-0-0,1493,0
27,Northeast Division,4,Adirondack Phantoms,76,30,38,2,6,68,0.447,23,26,182,225,-43,5-2-1-2,0-1-1-0,1822,0
29,Northeast Division,5,Bridgeport Sound Tigers,76,28,40,2,6,64,0.421,23,24,183,238,-55,1-8-0-1,0-1-0-0,1832,0
8,East Division,1,Binghamton Senators,76,44,24,3,5,96,0.632,32,41,276,232,44,4-3-2-1,2-0-2-0,1481,0
11,East Division,2,Wilkes-Barre/Scranton Penguins,76,42,26,3,5,92,0.605,34,38,206,185,21,6-4-0-0,0-3-0-0,1532,0
14,East Division,3,Norfolk Admirals,76,40,26,3,7,90,0.592,28,30,201,192,9,6-3-1-0,0-1-0-0,1394,0
15,East Division,4,Hershey Bears,76,39,27,5,5,88,0.579,28,32,221,213,8,6-2-1-1,1-0-0-0,1330,0
23,East Division,5,Syracuse Crunch,76,31,32,4,9,75,0.493,25,28,198,232,-34,4-3-0-3,1-0-0-0,1751,0
7,North Division,1,Toronto Marlies,76,45,25,2,4,96,0.632,34,40,223,202,21,5-5-0-0,1-0-0-0,1644,0
16,North Division,2,Rochester Americans,76,37,28,6,5,85,0.559,32,34,216,217,-1,7-2-0-1,0-1-0-0,1165,0
20,North Division,3,Utica Comets,76,35,32,5,4,79,0.520,23,28,187,216,-29,6-3-1-0,2-0-0-0,1092,0
24,North Division,4,Lake Erie Monsters,76,32,33,1,10,75,0.493,22,24,197,232,-35,4-4-1-1,2-0-0-0,1622,0
25,North Division,5,Hamilton Bulldogs,76,33,35,1,7,74,0.487,23,28,182,224,-42,4-3-0-3,0-1-0-0,1350,0
4,Midwest Division,1,Chicago Wolves,76,45,21,5,5,100,0.658,34,37,239,191,48,6-2-0-2,4-0-0-0,1026,0
6,Midwest Division,2,Grand Rapids Griffins,76,46,23,2,5,99,0.651,39,41,238,187,51,5-4-0-1,0-1-0-1,945,0
12,Midwest Division,3,Milwaukee Admirals,76,39,24,6,7,91,0.599,30,34,215,199,16,7-3-0-0,0-1-0-0,1211,0
19,Midwest Division,4,Rockford IceHogs,76,35,32,5,4,79,0.520,28,31,234,262,-28,3-7-0-0,1-0-0-0,1159,0
28,Midwest Division,5,Iowa Wild,76,27,36,7,6,67,0.441,17,19,169,235,-66,1-6-1-2,0-3-1-2,1221,0
1,West Division,1,Texas Stars,76,48,18,3,7,106,0.697,40,46,274,197,77,8-1-0-1,0-1-0-0,923,0
9,West Division,2,Abbotsford Heat,76,43,25,5,3,94,0.618,32,38,237,215,22,8-1-0-1,6-0-0-1,966,0
17,West Division,3,Oklahoma City Barons,76,36,29,2,9,83,0.546,26,32,239,256,-17,6-2-0-2,2-0-0-0,1241,0
22,West Division,4,Charlotte Checkers,76,37,36,1,2,77,0.507,30,33,228,241,-13,4-6-0-0,0-3-0-0,1118,0
26,West Division,5,San Antonio Rampage,76,30,37,3,6,69,0.454,17,18,206,235,-29,3-7-0-0,0-2-0-0,1082,0
