Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
1,Atlantic Division,1,Providence Bruins,80,55,18,3,4,117,0.731,39,44,280,206,74,7-2-0-1,0-1-0-0,1528,0
3,Atlantic Division,2,Hartford Wolf Pack,80,50,20,2,8,110,0.688,44,47,266,198,68,8-1-0-1,4-0-0-0,1558,0
9,Atlantic Division,3,Portland Pirates,80,45,26,5,4,99,0.619,32,40,238,215,23,3-4-3-0,3-0-3-0,1394,0
16,Atlantic Division,4,Manchester Monarchs,80,39,31,5,5,88,0.550,30,34,240,228,12,7-2-0-1,0-1-0-0,1416,0
22,Atlantic Division,5,Springfield Falcons,80,35,35,5,5,80,0.500,25,29,214,257,-43,4-6-0-0,0-1-0-0,1564,0
24,Atlantic Division,6,Worcester Sharks,80,32,37,5,6,75,0.469,23,28,216,258,-42,5-5-0-0,3-0-0-0,1378,0
28,Atlantic Division,7,Lowell Devils,80,25,43,7,5,62,0.388,20,22,183,270,-87,3-6-0-1,1-0-0-0,1074,0
5,East Division,1,Barre/Scranton Penguins,80,47,26,3,4,101,0.631,37,40,223,187,36,5-1-3-1,5-0-3-1,1409,0
8,East Division,2,Philadelphia Phantoms,80,46,27,4,3,99,0.619,36,40,236,212,24,5-4-1-0,1-0-0-0,1851,0
14,East Division,3,Albany River Rats,80,43,30,3,4,93,0.581,32,38,213,198,15,5-4-1-0,0-2-0-0,1441,0
15,East Division,4,Hershey Bears,80,42,30,2,6,92,0.575,38,41,253,247,6,6-2-1-1,4-0-1-1,1724,0
19,East Division,5,Bridgeport Sound Tigers,80,40,36,1,3,84,0.525,30,33,225,240,-15,3-6-0-1,0-2-0-0,1694,0
21,East Division,6,Binghamton Senators,80,34,32,9,5,82,0.513,25,27,225,248,-23,3-5-1-1,0-3-1-0,1642,0
26,East Division,7,Norfolk Admirals,80,29,44,2,5,65,0.406,23,24,213,267,-54,4-6-0-0,2-0-0-0,1556,0
4,North Division,1,Toronto Marlies,80,50,21,3,6,109,0.681,44,49,246,203,43,7-3-0-0,0-1-0-0,1453,0
6,North Division,2,Syracuse Crunch,80,46,26,2,6,100,0.625,37,44,247,201,46,10-0-0-0,20-0-0-3,2174,0
7,North Division,3,Manitoba Moose,80,46,27,3,4,99,0.619,40,43,236,197,39,5-3-1-1,1-0-1-0,1407,0
20,North Division,4,Hamilton Bulldogs,80,36,34,3,7,82,0.513,30,33,208,235,-27,5-3-0-2,0-1-0-0,1230,0
25,North Division,5,Grand Rapids Griffins,80,31,41,2,6,70,0.438,25,27,210,245,-35,4-5-0-1,2-0-0-0,1313,0
27,North Division,6,Lake Erie Monsters,80,26,41,6,7,65,0.406,19,21,209,276,-67,1-8-1-0,0-4-0-0,1521,0
29,North Division,7,Rochester Americans,80,24,46,6,4,58,0.363,17,19,197,291,-94,4-6-0-0,1-0-0-0,1571,0
2,West Division,1,Chicago Wolves,80,53,22,2,3,110,0.688,45,51,300,226,74,6-4-0-0,2-0-0-0,1869,0
10,West Division,2,Rockford IceHogs,80,44,26,4,6,98,0.613,34,38,247,231,16,7-3-0-0,1-0-0-0,2109,0
11,West Division,3,Houston Aeros,80,45,29,2,4,96,0.600,31,37,206,183,23,6-3-0-1,2-0-0-0,1448,0
12,West Division,4,Milwaukee Admirals,80,44,29,4,3,95,0.594,36,39,231,212,19,6-2-1-1,0-1-0-1,1191,0
13,West Division,5,San Antonio Rampage,80,42,28,3,7,94,0.588,31,37,238,225,13,6-4-0-0,0-2-0-0,1869,0
17,West Division,6,Quad City Flames,80,38,32,3,7,86,0.538,27,27,203,214,-11,5-4-1-0,3-0-1-0,1581,0
18,West Division,7,Peoria Rivermen,80,38,33,4,5,85,0.531,31,33,247,242,5,3-7-0-0,0-1-0-0,1530,0
23,West Division,8,Iowa Stars,80,35,37,5,3,78,0.488,26,30,217,255,-38,4-4-1-1,0-2-0-0,1198,0
