Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Manchester Monarchs,80,51,21,7,1,110,0.688,43,48,242,182,60,8-1-1-0,8-0-1-0,1566,0
9,Atlantic Division,2,Hartford Wolf Pack,80,47,29,3,1,98,0.613,37,41,231,201,30,6-3-0-1,0-1-0-0,1900,0
12,Atlantic Division,3,Providence Bruins,80,44,30,2,4,94,0.588,34,39,251,218,33,5-3-1-1,4-0-1-1,1473,0
13,Atlantic Division,4,Worcester Sharks,80,41,28,3,8,93,0.581,32,38,247,244,3,7-3-0-0,1-0-0-0,1382,0
15,Atlantic Division,5,Lowell Devils,80,38,30,6,6,88,0.550,30,36,212,220,-8,4-5-1-0,0-1-1-0,1036,0
16,Atlantic Division,6,Portland Pirates,80,37,31,3,9,86,0.538,30,31,225,232,-7,6-4-0-0,2-0-0-0,1656,0
26,Atlantic Division,7,Springfield Falcons,80,28,49,1,2,59,0.369,20,21,181,268,-87,2-8-0-0,0-3-0-0,1281,0
1,East Division,1,Hershey Bears,80,51,17,6,6,114,0.713,46,49,305,219,86,7-3-0-0,1-0-0-0,1912,0
3,East Division,2,Wilkes-Barre/Scranton Penguins,80,51,23,2,4,108,0.675,41,44,276,221,55,6-4-0-0,0-2-0-0,1763,0
4,East Division,3,Norfolk Admirals,80,50,22,6,2,108,0.675,38,46,301,257,44,5-4-0-1,0-1-0-0,2041,0
19,East Division,4,Albany River Rats,80,37,36,4,3,81,0.506,32,33,246,258,-12,4-5-1-0,0-1-1-0,1576,0
21,East Division,5,Bridgeport Sound Tigers,80,36,37,1,6,79,0.494,24,29,229,267,-38,3-6-0-1,1-0-0-0,1331,0
23,East Division,6,Philadelphia Phantoms,80,31,41,2,6,70,0.438,27,28,222,271,-49,3-7-0-0,0-1-0-0,1674,0
27,East Division,7,Binghamton Senators,80,23,48,4,5,55,0.344,17,19,225,323,-98,4-5-1-0,2-0-0-0,1677,0
6,North Division,1,Manitoba Moose,80,45,23,7,5,102,0.638,38,41,232,201,31,5-4-0-1,0-1-0-0,1489,0
8,North Division,2,Rochester Americans,80,48,30,1,1,98,0.613,39,44,269,250,19,6-3-0-1,3-0-0-1,1397,0
11,North Division,3,Hamilton Bulldogs,80,43,28,3,6,95,0.594,32,35,243,208,35,5-4-0-1,0-1-0-0,1474,0
17,North Division,4,Grand Rapids Griffins,80,37,32,6,5,85,0.531,28,29,226,244,-18,4-6-0-0,0-3-0-0,1454,0
20,North Division,5,Syracuse Crunch,80,34,34,4,8,80,0.500,31,33,250,248,2,5-3-1-1,1-0-0-0,1961,0
22,North Division,6,Toronto Marlies,80,34,39,2,5,75,0.469,24,27,220,270,-50,5-4-0-1,2-0-0-0,1664,0
5,West Division,1,Omaha Ak-Sar-Ben Knights,80,49,25,5,1,104,0.650,40,41,214,189,25,7-2-1-0,2-0-0-0,1600,0
7,West Division,2,Chicago Wolves,80,46,25,3,6,101,0.631,39,44,331,252,79,6-2-1-1,0-1-0-0,1704,0
10,West Division,3,Milwaukee Admirals,80,41,25,4,10,96,0.600,26,35,227,230,-3,6-2-0-2,3-0-0-1,1399,0
14,West Division,4,Iowa Stars,80,42,34,3,1,88,0.550,34,38,221,231,-10,6-4-0-0,0-1-0-0,1226,0
18,West Division,5,Peoria Rivermen,80,37,33,2,8,84,0.525,30,34,221,242,-21,3-5-0-2,0-1-0-1,1585,0
24,West Division,6,San Antonio Rampage,80,32,42,2,4,70,0.438,24,28,219,256,-37,4-5-1-0,1-0-0-0,1394,0
25,West Division,7,Houston Aeros,80,27,43,4,6,64,0.400,19,20,205,269,-64,3-6-1-0,0-1-0-0,1614,0
