Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
1,Atlantic Division,1,Manchester Monarchs,76,50,17,6,3,109,0.717,41,48,241,176,65,8-1-0-1,0-1-0-0,1310,0
11,Atlantic Division,2,Providence Bruins,76,41,26,7,2,91,0.599,35,40,209,185,24,6-4-0-0,1-0-0-0,989,0
14,Atlantic Division,3,Worcester Sharks,76,41,29,4,2,88,0.579,33,39,224,198,26,4-6-0-0,0-2-0-0,809,0
16,Atlantic Division,4,Portland Pirates,76,39,28,7,2,87,0.572,32,37,203,190,13,2-5-2-1,2-0-0-0,1187,0
24,Atlantic Division,5,St. John's IceCaps,76,32,33,9,2,75,0.493,18,27,183,235,-52,3-5-2-0,2-0-1-0,1215,0
8,Northeast Division,1,Hartford Wolf Pack,76,43,24,5,4,95,0.625,30,41,221,214,7,8-2-0-0,1-0-0-0,1143,0
10,Northeast Division,2,Syracuse Crunch,76,41,25,10,0,92,0.605,32,38,218,219,-1,1-7-2-0,0-4-1-0,1550,0
17,Northeast Division,3,Springfield Falcons,76,38,28,8,2,86,0.566,26,33,192,209,-17,4-3-1-2,2-0-0-1,1269,0
18,Northeast Division,4,Albany Devils,76,37,28,5,6,85,0.559,30,35,199,201,-2,7-3-0-0,4-0-0-0,1368,0
29,Northeast Division,5,Bridgeport Sound Tigers,76,28,40,7,1,64,0.421,21,25,213,246,-33,3-6-1-0,0-1-0-0,1726,0
4,East Division,1,Hershey Bears,76,46,22,5,3,100,0.658,37,44,218,181,37,6-3-0-1,2-0-0-0,1507,0
7,East Division,2,Wilkes-Barre/Scranton Penguins,76,45,24,3,4,97,0.638,38,45,212,163,49,7-3-0-0,2-0-0-0,1338,0
23,East Division,3,Binghamton Senators,76,34,34,7,1,76,0.500,24,33,242,258,-16,6-4-0-0,1-0-0-0,1620,0
25,East Division,4,Lehigh Valley Phantoms,76,33,35,7,1,74,0.487,19,26,194,237,-43,3-6-1-0,0-3-0-0,1834,0
28,East Division,5,Norfolk Admirals,76,27,39,6,4,64,0.421,20,27,168,219,-51,4-4-1-1,0-1-0-0,1452,0
2,North Division,1,Utica Comets,76,47,20,7,2,103,0.678,39,45,219,182,37,7-1-1-1,3-0-1-1,978,0
13,North Division,2,Toronto Marlies,76,40,27,9,0,89,0.586,31,39,207,203,4,8-2-0-0,7-0-0-0,1129,0
20,North Division,3,Hamilton Bulldogs,76,34,29,12,1,81,0.533,28,34,201,208,-7,3-4-2-1,0-1-0-1,1179,0
22,North Division,4,Adirondack Flames,76,35,33,6,2,78,0.513,30,34,233,240,-7,3-7-0-0,0-2-0-0,1396,0
27,North Division,5,Rochester Americans,76,29,41,5,1,64,0.421,23,27,209,251,-42,2-8-0-0,1-0-0-0,1189,0
3,Midwest Division,1,Grand Rapids Griffins,76,46,22,6,2,100,0.658,35,44,249,185,64,7-3-0-0,0-1-0-0,869,0
5,Midwest Division,2,Rockford IceHogs,76,46,23,5,2,99,0.651,38,43,222,180,42,7-3-0-0,0-1-0-0,1197,0
15,Midwest Division,3,Chicago Wolves,76,40,29,6,1,87,0.572,31,39,210,198,12,6-4-0-0,0-1-0-0,1076,0
19,Midwest Division,4,Lake Erie Monsters,76,35,29,8,4,82,0.539,24,33,211,240,-29,5-3-2-0,2-0-0-0,1112,0
21,Midwest Division,5,Milwaukee Admirals,76,33,28,8,7,81,0.533,23,31,206,218,-12,1-4-3-2,0-3-1-2,1186,0
6,West Division,1,San Antonio Rampage,76,45,23,7,1,98,0.645,30,39,248,222,26,5-3-2-0,0-2-2-0,1237,0
9,West Division,2,Texas Stars,76,40,22,13,1,94,0.618,35,38,242,216,26,8-2-0-0,4-0-0-0,908,0
12,West Division,3,Oklahoma City Barons,76,41,27,5,3,90,0.592,27,41,224,212,12,4-6-0-0,2-0-0-0,1098,0
26,West Division,4,Charlotte Checkers,76,31,38,6,1,69,0.454,24,26,172,231,-59,4-5-1-0,1-0-0-0,1314,0
30,West Division,5,Iowa Wild,76,23,49,2,2,50,0.329,18,22,172,245,-73,2-8-0-0,0-4-0-0,1028,0
