Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
7,Atlantic Division,1,Hartford Wolf Pack,80,46,27,3,4,99,0.619,36,42,243,216,27,7-2-0-1,2-0-0-1,1690,0
9,Atlantic Division,2,Providence Bruins,80,43,29,2,6,94,0.588,32,35,238,232,6,5-4-0-1,0-2-0-0,1324,0
14,Atlantic Division,3,Portland Pirates,80,39,31,3,7,88,0.550,35,36,249,239,10,7-2-0-1,2-0-0-0,1209,0
16,Atlantic Division,4,Worcester Sharks,80,42,35,1,2,87,0.544,33,40,223,223,0,8-2-0-0,1-0-0-0,1446,0
20,Atlantic Division,5,Manchester Monarchs,80,37,35,0,8,82,0.513,27,29,211,218,-7,4-6-0-0,0-1-0-0,1349,0
23,Atlantic Division,6,Lowell Devils,80,35,36,2,7,79,0.494,30,31,213,243,-30,4-5-0-1,0-1-0-0,1472,0
29,Atlantic Division,7,Springfield Falcons,80,24,44,8,4,60,0.375,16,17,188,258,-70,3-6-1-0,0-3-0-0,1516,0
3,East Division,1,Hershey Bears,80,49,23,2,6,106,0.663,40,42,296,240,56,5-4-1-0,0-1-0-0,1610,0
4,East Division,2,Bridgeport Sound Tigers,80,49,23,3,5,106,0.663,36,42,241,212,29,7-3-0-0,5-0-0-0,1164,0
5,East Division,3,Wilkes-Barre/Scranton Penguins,80,49,25,3,3,104,0.650,42,43,274,212,62,6-2-1-1,1-0-0-0,1422,0
10,East Division,4,Philadelphia Phantoms,80,43,30,2,5,93,0.581,33,38,234,232,2,7-2-0-1,0-1-0-0,1432,0
12,East Division,5,Binghamton Senators,80,41,30,5,4,91,0.569,31,35,232,238,-6,4-5-0-1,0-2-0-0,1610,0
26,East Division,6,Norfolk Admirals,80,33,38,4,5,75,0.469,29,31,236,269,-33,6-3-1-0,3-0-0-0,1850,0
27,East Division,7,Albany River Rats,80,33,40,3,4,73,0.456,24,25,219,258,-39,2-8-0-0,1-0-0-0,1552,0
2,North Division,1,Manitoba Moose,80,50,23,1,6,107,0.669,40,44,239,188,51,4-4-1-1,1-0-1-0,1377,0
6,North Division,2,Hamilton Bulldogs,80,49,27,4,0,102,0.638,42,45,263,201,62,7-2-1-0,5-0-0-0,1360,0
8,North Division,3,Grand Rapids Griffins,80,43,25,6,6,98,0.613,35,37,255,226,29,3-7-0-0,0-2-0-0,963,0
13,North Division,4,Toronto Marlies,80,39,29,5,7,90,0.563,30,35,240,229,11,4-2-3-1,3-0-2-1,1547,0
15,North Division,5,Syracuse Crunch,80,40,32,5,3,88,0.550,32,33,214,226,-12,5-3-1-1,1-0-0-0,1830,0
25,North Division,6,Lake Erie Monsters,80,34,38,3,5,76,0.475,30,32,199,218,-19,3-7-0-0,0-2-0-0,1298,0
28,North Division,7,Rochester Americans,80,29,43,0,8,66,0.413,22,24,184,259,-75,5-4-0-1,0-1-0-0,1293,0
1,West Division,1,Milwaukee Admirals,80,49,22,3,6,107,0.669,41,45,229,195,34,5-4-0-1,4-0-0-0,1332,0
11,West Division,2,Peoria Rivermen,80,43,31,2,4,92,0.575,34,37,215,211,4,7-0-0-3,7-0-0-3,1522,0
17,West Division,3,Houston Aeros,80,38,31,2,9,87,0.544,31,32,218,230,-12,2-6-1-1,1-0-0-0,1457,0
18,West Division,4,Rockford IceHogs,80,40,34,0,6,86,0.538,28,29,229,220,9,5-5-0-0,0-1-0-0,1459,0
19,West Division,5,Quad City Flames,80,36,31,6,7,85,0.531,25,31,212,216,-4,8-1-0-1,3-0-0-0,1417,0
21,West Division,6,Chicago Wolves,80,38,37,3,2,81,0.506,27,30,226,222,4,3-5-1-1,1-0-0-0,1288,0
22,West Division,7,Iowa Chops,80,33,33,4,10,80,0.500,29,32,209,260,-51,3-5-0-2,0-3-0-1,1437,0
24,West Division,8,San Antonio Rampage,80,36,38,2,4,78,0.488,30,35,205,243,-38,8-2-0-0,0-1-0-0,1822,0
