Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
1,Atlantic Division,1,Providence Bruins,76,50,21,0,5,105,0.691,39,40,222,183,39,9-1-0-0,9-0-0-0,1246,0
15,Atlantic Division,2,Portland Pirates,76,41,30,3,2,87,0.572,31,36,230,233,-3,5-5-0-0,0-1-0-0,1567,0
17,Atlantic Division,3,Manchester Monarchs,76,37,32,3,4,81,0.533,31,35,219,209,10,6-4-0-0,0-1-0-0,1022,0
26,Atlantic Division,4,Worcester Sharks,76,31,34,4,7,73,0.480,23,25,191,228,-37,2-5-2-1,1-0-0-1,1533,0
27,Atlantic Division,5,St. John's IceCaps,76,32,36,3,5,72,0.474,25,30,195,237,-42,4-3-2-1,1-0-0-1,1241,0
2,Northeast Division,1,Springfield Falcons,76,45,22,5,4,99,0.651,40,40,235,186,49,6-4-0-0,1-0-0-0,1248,0
20,Northeast Division,2,Connecticut Whale,76,35,32,6,3,79,0.520,30,33,213,222,-9,3-6-1-0,0-5-1-0,1314,0
23,Northeast Division,3,Bridgeport Sound Tigers,76,32,32,7,5,76,0.500,25,30,218,242,-24,5-4-1-0,1-0-0-0,1694,0
24,Northeast Division,4,Albany Devils,76,31,32,1,12,75,0.493,28,28,193,225,-32,3-6-0-1,0-1-0-0,1163,0
28,Northeast Division,5,Adirondack Phantoms,76,31,38,3,4,69,0.454,23,26,187,223,-36,4-4-1-1,1-0-0-0,1472,0
3,East Division,1,Syracuse Crunch,76,43,22,6,5,97,0.638,36,39,247,201,46,4-3-3-0,0-1-0-0,1612,0
5,East Division,2,Binghamton Senators,76,44,24,1,7,96,0.632,38,40,227,188,39,5-3-0-2,2-0-0-0,1409,0
13,East Division,3,Wilkes-Barre/Scranton Penguins,76,42,30,2,2,88,0.579,28,35,185,178,7,7-2-0-1,0-2-0-0,1590,0
18,East Division,4,Hershey Bears,76,36,31,3,6,81,0.533,29,32,204,196,8,5-5-0-0,1-0-0-0,1062,0
21,East Division,5,Norfolk Admirals,76,37,34,4,1,79,0.520,24,30,188,207,-19,5-5-0-0,0-4-0-0,1483,0
6,North Division,1,Toronto Marlies,76,43,23,3,7,96,0.632,33,39,237,199,38,6-2-1-1,3-0-0-1,1194,0
10,North Division,2,Rochester Americans,76,43,29,3,1,90,0.592,31,33,234,209,25,7-3-0-0,2-0-0-0,1093,0
19,North Division,3,Lake Erie Monsters,76,35,31,3,7,80,0.526,24,29,211,220,-9,7-3-0-0,1-0-0-0,1400,0
22,North Division,4,Abbotsford Heat,76,34,32,4,6,78,0.513,25,27,171,198,-27,5-4-1-0,0-2-0-0,1070,0
30,North Division,5,Hamilton Bulldogs,76,29,41,1,5,64,0.421,26,26,159,228,-69,3-7-0-0,0-2-0-0,1447,0
7,Midwest Division,1,Grand Rapids Griffins,76,42,26,4,4,92,0.605,32,37,234,205,29,4-4-1-1,1-0-0-0,1219,0
12,Midwest Division,2,Milwaukee Admirals,76,41,28,4,3,89,0.586,33,38,197,200,-3,7-3-0-0,4-0-0-0,1013,0
14,Midwest Division,3,Rockford IceHogs,76,42,31,2,1,87,0.572,35,37,246,225,21,8-2-0-0,4-0-0-0,1716,0
16,Midwest Division,4,Chicago Wolves,76,37,30,5,4,83,0.546,29,31,204,207,-3,4-6-0-0,0-2-0-0,1090,0
25,Midwest Division,5,Peoria Rivermen,76,33,35,5,3,74,0.487,23,27,183,218,-35,3-6-1-0,0-3-1-0,1014,0
4,South Division,1,Texas Stars,76,43,22,5,6,97,0.638,33,37,235,201,34,5-5-0-0,0-2-0-0,923,0
8,South Division,2,Charlotte Checkers,76,42,26,4,4,92,0.605,32,39,226,202,24,4-3-2-1,1-0-0-0,914,0
9,South Division,3,Oklahoma City Barons,76,40,25,2,9,91,0.599,34,36,240,228,12,7-2-0-1,3-0-0-0,1091,0
11,South Division,4,Houston Aeros,76,40,26,5,5,90,0.592,30,35,212,199,13,7-3-0-0,0-1-0-0,1005,0
29,South Division,5,San Antonio Rampage,76,29,38,2,7,67,0.441,23,26,195,241,-46,0-8-1-1,0-9-1-1,1163,0
