Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Portland Pirates,80,53,19,5,3,114,0.713,43,46,306,241,65,9-1-0-0,4-0-0-0,1920,0
6,Atlantic Division,2,Hartford Wolf Pack,80,48,24,2,6,104,0.650,40,44,292,241,51,7-3-0-0,4-0-0-0,1930,0
12,Atlantic Division,3,Manchester Monarchs,80,43,30,3,4,93,0.581,25,32,236,230,6,4-5-1-0,2-0-0-0,1264,0
14,Atlantic Division,4,Providence Bruins,80,43,31,1,5,92,0.575,31,37,254,217,37,6-4-0-0,0-1-0-0,1686,0
23,Atlantic Division,5,Lowell Lock Monsters,80,29,37,6,8,72,0.450,25,25,222,257,-35,3-5-1-1,1-0-0-0,1465,0
24,Atlantic Division,6,Springfield Falcons,80,28,43,3,6,65,0.406,20,26,220,312,-92,3-7-0-0,0-4-0-0,1539,0
26,Atlantic Division,7,Albany River Rats,80,25,48,4,3,57,0.356,20,23,206,278,-72,2-8-0-0,1-0-0-0,1974,0
3,East Division,1,Wilkes-Barre/Scranton Penguins,80,51,18,5,6,113,0.706,42,46,249,178,71,6-2-1-1,4-0-0-1,2101,0
7,East Division,2,Hershey Bears,80,44,21,5,10,103,0.644,36,40,262,234,28,5-3-2-0,2-0-0-0,2072,0
11,East Division,3,Norfolk Admirals,80,43,29,4,4,94,0.588,38,39,259,246,13,7-3-0-0,2-0-0-0,1911,0
16,East Division,4,Bridgeport Sound Tigers,80,38,33,6,3,85,0.531,33,36,246,253,-7,3-5-2-0,0-3-0-0,1303,0
20,East Division,5,Binghamton Senators,80,35,37,4,4,78,0.488,27,31,258,295,-37,5-5-0-0,0-4-0-0,2200,0
21,East Division,6,Philadelphia Phantoms,80,34,37,2,7,77,0.481,22,30,197,232,-35,5-4-1-0,0-1-1-0,2380,0
1,North Division,1,Grand Rapids Griffins,80,55,20,1,4,115,0.719,43,49,323,247,76,6-4-0-0,0-1-0-0,1888,0
8,North Division,2,Syracuse Crunch,80,47,25,5,3,102,0.638,37,41,272,251,21,4-4-1-1,1-0-0-0,2008,0
10,North Division,3,Manitoba Moose,80,44,24,7,5,100,0.625,36,39,243,217,26,5-3-1-1,1-0-0-0,1910,0
13,North Division,4,Toronto Marlies,80,41,29,6,4,92,0.575,34,36,270,263,7,3-4-1-2,0-1-0-1,1749,0
19,North Division,5,Rochester Americans,80,37,39,2,2,78,0.488,30,31,261,270,-9,5-5-0-0,3-0-0-0,1993,0
22,North Division,6,Hamilton Bulldogs,80,35,41,0,4,74,0.463,25,30,225,251,-26,5-5-0-0,1-0-0-0,2090,0
25,North Division,7,Cleveland Barons,80,27,48,2,3,59,0.369,24,25,210,302,-92,4-5-0-1,0-1-0-0,1682,0
4,West Division,1,Milwaukee Admirals,80,49,21,6,4,108,0.675,37,42,268,234,34,6-2-0-2,5-0-0-2,1877,0
5,West Division,2,Houston Aeros,80,50,24,3,3,106,0.663,41,44,285,242,43,5-4-1-0,1-0-0-0,1779,0
9,West Division,3,Peoria Rivermen,80,46,26,3,5,100,0.625,36,39,253,226,27,6-3-0-1,0-1-0-1,1683,0
15,West Division,4,Iowa Stars,80,41,31,1,7,90,0.563,30,33,238,228,10,8-2-0-0,0-1-0-0,1411,0
17,West Division,5,Chicago Wolves,80,36,32,4,8,84,0.525,31,33,278,275,3,7-2-1-0,1-0-0-0,2028,0
18,West Division,6,Sar-Ben Knights,80,35,31,3,11,84,0.525,28,31,206,221,-15,2-5-1-2,1-0-0-0,1801,0
27,West Division,7,San Antonio Rampage,80,23,50,3,4,53,0.331,14,16,153,251,-98,2-7-1-0,0-1-0-0,1598,0
