Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Lehigh Valley Phantoms,76,47,19,5,5,104,0.684,40,44,260,218,42,5-3-2-0,3-0-1-0,840,0
5,Atlantic Division,2,Wilkes-Barre/Scranton Penguins,76,45,22,6,3,99,0.651,32,41,252,223,29,7-2-0-1,4-0-0-1,1161,0
6,Atlantic Division,3,Charlotte Checkers,76,46,26,1,3,96,0.632,43,46,262,212,50,9-0-1-0,9-0-1-0,902,0
7,Atlantic Division,4,Providence Bruins,76,45,26,3,2,95,0.625,32,39,231,187,44,5-5-0-0,2-0-0-0,923,0
22,Atlantic Division,5,Bridgeport Sound Tigers,76,36,32,5,3,80,0.526,29,33,206,214,-8,4-6-0-0,0-5-0-0,1115,0
24,Atlantic Division,6,Hartford Wolf Pack,76,34,33,6,3,77,0.507,18,25,208,252,-44,5-4-1-0,2-0-0-0,877,0
25,Atlantic Division,7,Springfield Thunderbirds,76,32,37,5,2,71,0.467,27,30,210,233,-23,4-5-0-1,0-3-0-0,1088,0
26,Atlantic Division,8,Hershey Bears,76,30,37,4,5,69,0.454,26,28,201,249,-48,3-7-0-0,0-1-0-0,1073,0
1,North Division,1,Toronto Marlies,76,54,18,2,2,112,0.737,49,52,254,170,84,8-0-1-1,8-0-1-1,808,0
4,North Division,2,Syracuse Crunch,76,46,22,3,5,100,0.658,39,43,234,189,45,6-3-0-1,0-1-0-0,1225,0
11,North Division,3,Rochester Americans,76,37,22,11,6,91,0.599,25,34,234,221,13,7-2-1-0,2-0-0-0,828,0
15,North Division,4,Utica Comets,76,38,26,8,4,88,0.579,23,32,211,216,-5,6-2-2-0,1-0-0-0,1164,0
27,North Division,5,Binghamton Devils,76,25,38,9,4,63,0.414,20,23,193,247,-54,3-5-2-0,0-1-2-0,1066,0
28,North Division,6,Belleville Senators,76,29,42,2,3,63,0.414,17,23,194,266,-72,5-5-0-0,0-1-0-0,1249,0
30,North Division,7,Laval Rocket,76,24,42,7,3,58,0.382,18,23,206,281,-75,0-9-0-1,0-10-1-1,1099,0
8,Central Division,1,Chicago Wolves,76,42,23,7,4,95,0.625,35,39,244,208,36,6-2-0-2,0-1-0-0,848,0
9,Central Division,2,Grand Rapids Griffins,76,42,25,2,7,93,0.612,32,36,237,210,27,7-1-1-1,3-0-1-0,914,0
10,Central Division,3,Manitoba Moose,76,42,26,4,4,92,0.605,37,41,253,198,55,3-7-0-0,1-0-0-0,1120,0
14,Central Division,4,Rockford IceHogs,76,40,28,4,4,88,0.579,27,34,239,234,5,7-3-0-0,0-2-0-0,785,0
19,Central Division,5,Iowa Wild,76,33,27,10,6,82,0.539,28,32,232,246,-14,3-6-1-0,2-0-0-0,846,0
20,Central Division,6,Milwaukee Admirals,76,38,32,4,2,82,0.539,23,27,216,235,-19,5-4-0-1,0-2-0-1,948,0
29,Central Division,7,Cleveland Monsters,76,25,41,7,3,60,0.395,17,23,190,258,-68,4-6-0-0,0-1-0-0,994,0
3,Pacific Division,1,Tucson Roadrunners,68,42,20,5,1,90,0.662,31,41,214,173,41,7-2-1-0,3-0-0-0,815,0
12,Pacific Division,2,Texas Stars,76,38,24,8,6,90,0.592,24,35,223,231,-8,4-2-1-3,4-0-1-2,912,0
23,Pacific Division,3,San Antonio Rampage,76,35,31,10,0,80,0.526,24,29,198,219,-21,4-6-0-0,1-0-0-0,961,0
13,Pacific Division,4,Ontario Reign,68,36,25,4,3,79,0.581,29,35,200,194,6,4-5-0-1,0-4-0-0,949,0
16,Pacific Division,5,San Jose Barracuda,68,34,26,4,4,76,0.559,28,33,186,198,-12,7-2-0-1,6-0-0-0,854,0
17,Pacific Division,6,San Diego Gulls,68,36,28,3,1,76,0.559,27,32,202,197,5,3-7-0-0,0-3-0-0,1075,0
18,Pacific Division,7,Stockton Heat,68,34,28,2,4,74,0.544,30,32,211,204,7,5-5-0-0,0-1-0-0,974,0
21,Pacific Division,8,Bakersfield Condors,68,31,27,9,1,72,0.529,23,28,188,206,-18,5-5-0-0,1-0-0-0,793,0
