Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
1,Atlantic Division,1,Wilkes-Barre/Scranton Penguins,76,51,20,3,2,107,0.704,44,50,247,170,77,6-2-0-2,1-0-0-0,1029,0
4,Atlantic Division,2,Lehigh Valley Phantoms,76,48,23,5,0,101,0.664,40,45,260,219,41,6-3-1-0,4-0-0-0,956,0
7,Atlantic Division,3,Hershey Bears,76,43,22,8,3,97,0.638,40,43,252,211,41,6-4-0-0,5-0-0-0,1071,0
8,Atlantic Division,4,Providence Bruins,76,43,23,6,4,96,0.632,39,40,229,188,41,5-4-1-0,0-3-1-0,879,0
11,Atlantic Division,5,Bridgeport Sound Tigers,76,44,28,3,1,92,0.605,31,39,220,212,8,5-4-1-0,0-2-0-0,1088,0
22,Atlantic Division,6,Springfield Thunderbirds,76,32,33,9,2,75,0.493,25,30,197,206,-9,5-5-0-0,3-0-0-0,1153,0
30,Atlantic Division,7,Hartford Wolf Pack,76,24,46,4,2,54,0.355,17,21,194,280,-86,2-8-0-0,0-5-0-0,889,0
12,North Division,1,Syracuse Crunch,76,38,24,7,7,90,0.592,32,36,232,227,5,5-2-1-2,4-0-1-0,1371,0
13,North Division,2,Toronto Marlies,76,42,29,4,1,89,0.586,37,39,245,207,38,7-3-0-0,0-1-0-0,1084,0
17,North Division,3,Albany Devils,76,39,32,2,3,83,0.546,28,36,204,206,-2,5-5-0-0,1-0-0-0,1147,0
18,North Division,4,St. John's IceCaps,76,36,30,8,2,82,0.539,27,33,216,220,-4,5-5-0-0,1-0-0-0,1162,0
21,North Division,5,Utica Comets,76,35,32,7,2,79,0.520,29,33,195,220,-25,4-6-0-0,0-1-0-0,916,0
26,North Division,6,Rochester Americans,76,32,41,0,3,67,0.441,25,31,205,240,-35,5-4-0-1,0-1-0-0,858,0
29,North Division,7,Binghamton Senators,76,28,44,2,2,60,0.395,19,25,190,266,-76,3-7-0-0,0-2-0-0,944,0
5,Central Division,1,Chicago Wolves,76,44,19,8,5,101,0.664,37,42,251,200,51,7-1-1-1,5-0-1-0,947,0
6,Central Division,2,Grand Rapids Griffins,76,47,23,1,5,100,0.658,37,44,251,190,61,4-5-0-1,3-0-0-1,845,0
9,Central Division,3,Milwaukee Admirals,76,43,26,4,3,93,0.612,33,41,225,215,10,4-5-1-0,0-1-0-0,1195,0
15,Central Division,4,Charlotte Checkers,76,39,29,7,1,86,0.566,30,36,212,208,4,6-1-2-1,4-0-2-1,827,0
16,Central Division,5,Cleveland Monsters,76,39,29,4,4,86,0.566,26,32,195,198,-3,7-2-1-0,0-1-0-0,1028,0
19,Central Division,6,Iowa Wild,76,36,31,7,2,81,0.533,25,33,182,196,-14,6-3-1-0,2-0-0-0,834,0
25,Central Division,7,Manitoba Moose,76,29,37,5,5,68,0.447,24,27,197,242,-45,5-4-1-0,1-0-0-0,1113,0
27,Central Division,8,Rockford IceHogs,76,25,39,9,3,62,0.408,18,19,175,246,-71,3-7-0-0,0-4-0-0,973,0
2,Pacific Division,1,San Jose Barracuda,68,43,16,4,5,95,0.699,36,42,232,176,56,5-2-2-1,0-1-2-0,1051,0
3,Pacific Division,2,San Diego Gulls,68,43,20,3,2,91,0.669,33,39,221,178,43,5-5-0-0,3-0-0-0,1002,0
10,Pacific Division,3,Ontario Reign,68,36,21,10,1,83,0.610,27,34,199,190,9,6-3-0-1,0-1-0-1,986,0
14,Pacific Division,4,Stockton Heat,68,34,25,7,2,77,0.566,31,33,212,192,20,6-0-3-1,7-0-3-1,1235,0
24,Pacific Division,5,Texas Stars,76,34,37,1,4,73,0.480,24,31,224,265,-41,4-6-0-0,0-1-0-0,1054,0
20,Pacific Division,6,Bakersfield Condors,68,33,29,5,1,72,0.529,26,32,200,188,12,4-6-0-0,1-0-0-0,706,0
23,Pacific Division,7,Tucson Roadrunners,68,29,31,8,0,66,0.485,19,26,187,237,-50,5-4-1-0,3-0-0-0,1126,0
28,Pacific Division,8,San Antonio Rampage,76,27,42,5,2,61,0.401,22,25,184,240,-56,2-8-0-0,1-0-0-0,1025,0
