Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
4,Atlantic Division,1,Worcester Sharks,80,49,25,3,3,104,0.650,43,46,275,239,36,5-4-1-0,0-1-0-0,1268,0
5,Atlantic Division,2,Portland Pirates,80,45,24,7,4,101,0.631,36,38,244,214,30,7-2-1-0,1-0-0-0,1421,0
7,Atlantic Division,3,Manchester Monarchs,80,43,28,3,6,95,0.594,37,40,213,200,13,8-2-0-0,0-2-0-0,1182,0
13,Atlantic Division,4,Lowell Devils,80,39,31,4,6,88,0.550,32,36,239,232,7,4-5-0-1,2-0-0-0,1423,0
16,Atlantic Division,5,Bridgeport Sound Tigers,80,38,32,4,6,86,0.538,22,31,201,220,-19,5-5-0-0,0-1-0-0,1711,0
20,Atlantic Division,6,Hartford Wolf Pack,80,36,33,6,5,83,0.519,25,34,231,251,-20,7-3-0-0,3-0-0-0,1603,0
23,Atlantic Division,7,Providence Bruins,80,36,38,5,1,78,0.488,26,31,207,226,-19,3-5-2-0,0-2-0-0,1194,0
29,Atlantic Division,8,Springfield Falcons,80,25,39,12,4,66,0.413,16,21,207,296,-89,2-5-2-1,1-0-0-0,1636,0
1,East Division,1,Hershey Bears,80,60,17,0,3,123,0.769,54,56,342,198,144,7-3-0-0,0-1-0-0,1435,0
9,East Division,2,Albany River Rats,80,43,29,3,5,94,0.588,34,39,244,231,13,5-5-0-0,1-0-0-0,1515,0
14,East Division,3,Wilkes-Barre/Scranton Penguins,80,41,34,2,3,87,0.544,34,37,239,229,10,5-5-0-0,1-0-0-0,1515,0
18,East Division,4,Norfolk Admirals,80,39,35,3,3,84,0.525,30,34,208,214,-6,4-6-0-0,1-0-0-0,973,0
21,East Division,5,Binghamton Senators,80,36,35,6,3,81,0.506,32,33,251,260,-9,6-3-1-0,0-1-0-0,1400,0
27,East Division,6,Syracuse Crunch,80,34,39,4,3,75,0.469,28,29,227,272,-45,4-5-1-0,2-0-1-0,1771,0
28,East Division,7,Adirondack Phantoms,80,32,41,3,4,71,0.444,24,28,199,251,-52,2-7-0-1,0-2-0-0,1298,0
2,North Division,1,Hamilton Bulldogs,80,52,17,3,8,115,0.719,41,46,271,182,89,6-2-0-2,1-0-0-1,1257,0
10,North Division,2,Rochester Americans,80,44,33,2,1,91,0.569,36,40,253,247,6,6-3-0-1,0-1-0-0,1352,0
12,North Division,3,Abbotsford Heat,80,39,29,5,7,90,0.563,31,32,217,231,-14,5-3-1-1,5-0-0-1,1796,0
15,North Division,4,Manitoba Moose,80,40,33,5,2,87,0.544,29,32,204,232,-28,6-3-0-1,3-0-0-0,1509,0
24,North Division,5,Toronto Marlies,80,33,35,6,6,78,0.488,21,24,193,261,-68,4-5-0-1,0-1-0-0,1707,0
25,North Division,6,Lake Erie Monsters,80,34,37,1,8,77,0.481,26,29,234,257,-23,3-5-1-1,0-1-0-1,1011,0
26,North Division,7,Grand Rapids Griffins,80,34,39,3,4,75,0.469,29,30,244,265,-21,5-4-0-1,1-0-0-0,1272,0
3,West Division,1,Chicago Wolves,80,49,24,1,6,105,0.656,42,44,264,214,50,4-5-0-1,1-0-0-0,1112,0
6,West Division,2,Texas Stars,80,46,27,3,4,99,0.619,36,41,238,198,40,6-4-0-0,0-2-0-0,1113,0
8,West Division,3,Rockford IceHogs,80,44,30,3,3,94,0.588,37,41,226,226,0,5-5-0-0,0-1-0-0,1395,0
11,West Division,4,Milwaukee Admirals,80,41,30,2,7,91,0.569,33,38,237,220,17,4-4-1-1,0-1-0-0,1172,0
17,West Division,5,Peoria Rivermen,80,38,33,2,7,85,0.531,26,31,233,248,-15,5-4-0-1,0-2-0-1,1363,0
19,West Division,6,San Antonio Rampage,80,36,32,5,7,84,0.525,29,34,235,244,-9,4-4-1-1,2-0-0-0,1357,0
22,West Division,7,Houston Aeros,80,34,34,7,5,80,0.500,24,31,206,224,-18,5-4-0-1,0-1-0-0,1300,0
