Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Portland Pirates,80,47,24,7,2,103,0.644,35,38,280,238,42,4-5-1-0,1-0-1-0,1294,0
5,Atlantic Division,2,Manchester Monarchs,80,44,26,4,6,98,0.613,40,43,255,209,46,3-5-2-0,0-1-0-0,1423,0
17,Atlantic Division,3,Connecticut Whale,80,40,32,2,6,88,0.550,28,35,221,223,-2,4-6-0-0,0-2-0-0,1749,0
22,Atlantic Division,4,Worcester Sharks,80,36,31,4,9,85,0.531,28,31,210,245,-35,4-5-0-1,0-2-0-1,1226,0
24,Atlantic Division,5,Providence Bruins,80,38,36,3,3,82,0.513,28,31,209,252,-43,7-3-0-0,3-0-0-0,1437,0
26,Atlantic Division,6,Springfield Falcons,80,35,40,2,3,75,0.469,25,29,233,253,-20,5-5-0-0,1-0-0-0,1307,0
29,Atlantic Division,7,Bridgeport Sound Tigers,80,30,39,4,7,71,0.444,22,26,218,266,-48,7-3-0-0,2-0-0-0,1407,0
1,East Division,1,Wilkes-Barre/Scranton Penguins,80,58,21,0,1,117,0.731,47,51,261,183,78,7-3-0-0,2-0-0-0,1433,0
4,East Division,2,Hershey Bears,80,46,26,3,5,100,0.625,41,43,255,214,41,4-4-2-0,0-2-0-0,1581,0
7,East Division,3,Charlotte Checkers,80,44,27,2,7,97,0.606,35,39,265,243,22,6-3-0-1,2-0-0-0,1318,0
10,East Division,4,Norfolk Admirals,80,39,26,9,6,93,0.581,32,34,265,230,35,3-6-1-0,1-0-0-0,1600,0
12,East Division,5,Binghamton Senators,80,42,30,3,5,92,0.575,36,41,255,221,34,6-3-0-1,0-1-0-0,1225,0
25,East Division,6,Syracuse Crunch,80,35,38,3,4,77,0.481,31,33,217,249,-32,8-2-0-0,3-0-0-0,1482,0
27,East Division,7,Adirondack Phantoms,80,31,39,4,6,72,0.450,26,27,197,248,-51,6-4-0-0,0-1-0-0,1563,0
30,East Division,8,Albany Devils,80,32,42,1,5,70,0.438,23,26,217,283,-66,2-7-0-1,0-3-0-1,1927,0
8,North Division,1,Hamilton Bulldogs,80,44,27,2,7,97,0.606,34,38,226,193,33,8-1-0-1,3-0-0-0,1200,0
9,North Division,2,Lake Erie Monsters,80,44,28,3,5,96,0.600,36,39,223,206,17,7-3-0-0,2-0-0-0,1202,0
11,North Division,3,Manitoba Moose,80,43,30,1,6,93,0.581,32,34,220,210,10,5-4-0-1,0-2-0-0,1102,0
19,North Division,4,Abbotsford Heat,80,38,32,4,6,86,0.538,25,27,186,212,-26,4-6-0-0,0-2-0-0,1294,0
20,North Division,5,Toronto Marlies,80,37,32,1,10,85,0.531,31,31,228,219,9,3-6-0-1,2-0-0-0,1409,0
23,North Division,6,Grand Rapids Griffins,80,36,34,2,8,82,0.513,30,31,227,254,-27,2-8-0-0,0-3-0-0,1468,0
28,North Division,7,Rochester Americans,80,31,39,5,5,72,0.450,25,26,218,266,-48,1-5-2-2,0-3-1-1,1360,0
3,West Division,1,Milwaukee Admirals,80,44,22,6,8,102,0.638,33,36,226,194,32,6-3-1-0,2-0-0-0,1037,0
6,West Division,2,Houston Aeros,80,46,28,1,5,98,0.613,31,36,240,212,28,7-3-0-0,2-0-0-0,1288,0
13,West Division,3,Peoria Rivermen,80,42,30,3,5,92,0.575,32,36,223,218,5,5-4-1-0,0-1-0-0,1607,0
14,West Division,4,Texas Stars,80,41,29,4,6,92,0.575,29,35,213,210,3,5-5-0-0,0-2-0-0,1026,0
15,West Division,5,Oklahoma City Barons,80,40,29,2,9,91,0.569,29,35,245,234,11,4-4-0-2,0-1-0-0,1351,0
16,West Division,6,Chicago Wolves,80,39,30,5,6,89,0.556,30,33,260,262,-2,4-4-2-0,1-0-1-0,1402,0
18,West Division,7,San Antonio Rampage,80,40,33,4,3,87,0.544,31,33,228,245,-17,3-5-1-1,1-0-0-0,1284,0
21,West Division,8,Rockford IceHogs,80,38,33,4,5,85,0.531,28,34,216,245,-29,9-1-0-0,5-0-0-0,1508,0
