Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Manchester Monarchs,80,51,21,4,4,110,0.688,44,48,258,176,82,6-3-0-1,1-0-0-0,2044,0
3,Atlantic Division,2,Hartford Wolf Pack,80,50,24,3,3,106,0.663,38,43,206,160,46,7-3-0-0,0-1-0-0,2586,0
8,Atlantic Division,3,Lowell Lock Monsters,80,47,27,1,5,100,0.625,41,41,242,190,52,6-4-0-0,3-0-0-0,1946,0
15,Atlantic Division,4,Providence Bruins,80,40,30,3,7,90,0.563,36,36,211,202,9,6-4-0-0,0-2-0-0,2171,0
18,Atlantic Division,5,Worcester IceCats,80,39,34,4,3,85,0.531,33,36,212,223,-11,4-5-0-1,0-1-0-0,1422,0
21,Atlantic Division,6,Portland Pirates,80,34,34,6,6,80,0.500,23,30,175,242,-67,3-4-2-1,1-0-0-0,1810,0
27,Atlantic Division,7,Springfield Falcons,80,24,47,6,3,57,0.356,16,20,161,255,-94,4-3-3-0,1-0-0-0,1946,0
4,East Division,1,Binghamton Senators,80,47,21,5,7,106,0.663,35,44,276,217,59,9-1-0-0,6-0-0-0,2382,0
7,East Division,2,Philadelphia Phantoms,80,48,25,3,4,103,0.644,36,42,235,185,50,7-3-0-0,0-1-0-0,2244,0
12,East Division,3,Norfolk Admirals,80,43,30,1,6,93,0.581,33,38,200,188,12,4-5-0-1,1-0-0-0,2256,0
13,East Division,4,Wilkes-Barre/Scranton Penguins,80,39,27,7,7,92,0.575,35,35,227,219,8,4-5-1-0,0-1-0-0,1943,0
20,East Division,5,Hershey Bears,80,39,37,2,2,82,0.513,27,32,207,226,-19,3-6-0-1,0-5-0-1,1479,0
23,East Division,6,Bridgeport Sound Tigers,80,37,38,4,1,79,0.494,25,32,192,222,-30,5-4-1-0,2-0-0-0,1834,0
25,East Division,7,Albany River Rats,80,29,38,7,6,71,0.444,24,27,198,248,-50,6-3-1-0,0-3-0-0,2178,0
1,North Division,1,Rochester Americans,80,51,19,4,6,112,0.700,42,46,243,208,35,3-7-0-0,0-2-0-0,1923,0
9,North Division,2,Manitoba Moose,80,44,26,3,7,98,0.613,37,41,243,210,33,5-5-0-0,2-0-0-0,1799,0
10,North Division,3,St. John's Maple Leafs,80,46,28,1,5,98,0.613,32,37,244,232,12,6-2-0-2,4-0-0-1,2072,0
16,North Division,4,Hamilton Bulldogs,80,38,29,7,6,89,0.556,33,35,225,210,15,7-2-0-1,0-1-0-0,1764,0
19,North Division,5,Syracuse Crunch,80,36,33,7,4,83,0.519,24,26,215,230,-15,4-5-1-0,2-0-0-0,2238,0
22,North Division,6,Edmonton Road Runners,80,32,33,4,11,79,0.494,26,28,201,223,-22,4-5-0-1,0-1-0-1,1873,0
24,North Division,7,Cleveland Barons,80,35,37,2,6,78,0.488,28,30,200,226,-26,4-6-0-0,1-0-0-0,1676,0
5,West Division,1,Chicago Wolves,80,49,24,5,2,105,0.656,40,45,245,211,34,6-4-0-0,1-0-0-0,1954,0
6,West Division,2,Milwaukee Admirals,80,47,24,4,5,103,0.644,38,44,247,207,40,5-4-0-1,1-0-0-0,1930,0
11,West Division,3,Cincinnati Mighty Ducks,80,44,31,1,4,93,0.581,35,40,206,191,15,8-2-0-0,2-0-0-0,2208,0
14,West Division,4,Houston Aeros,80,40,28,6,6,92,0.575,33,35,212,195,17,7-2-0-1,3-0-0-1,1862,0
17,West Division,5,Grand Rapids Griffins,80,41,35,2,2,86,0.538,28,34,200,200,0,4-5-0-1,0-2-0-0,1721,0
26,West Division,6,San Antonio Rampage,80,27,45,3,5,62,0.388,20,24,156,232,-76,2-8-0-0,0-1-0-0,1654,0
28,West Division,7,Utah Grizzlies,80,23,50,2,5,53,0.331,13,13,156,265,-109,4-5-0-1,1-0-0-0,1857,0
