Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
19,2020,2020-2021,North Division,5,Barre/Scranton Penguins,32,13,13,4,2,32,0.5,8,13,92,107,-15,6-3-1-0,0-1-0-0,364,0
20,2020,2020-2021,Central Division,3,Texas Stars,38,17,18,3,0,37,0.487,13,15,117,124,-7,5-4-1-0,1-0-0-0,375,0
21,2020,2020-2021,Canadian Division,4,Toronto Marlies,35,16,17,0,2,34,0.486,14,16,111,119,-8,5-4-0-1,1-0-0-0,319,0
22,2020,2020-2021,Pacific Division,4,Ontario Reign,40,17,19,4,0,38,0.475,14,16,136,149,-13,8-2-0-0,2-0-0-0,418,0
23,2020,2020-2021,North Division,6,Rochester Americans,29,11,15,2,1,25,0.431,8,9,89,116,-27,3-7-0-0,1-0-0-0,429,0
24,2020,2020-2021,Pacific Division,7,Tucson Roadrunners,36,13,20,3,0,29,0.403,10,13,103,126,-23,3-6-1-0,0-2-1-0,405,0
25,2020,2020-2021,Canadian Division,5,Stockton Heat,30,11,17,2,0,24,0.4,8,10,79,95,-16,2-7-1-0,0-1-1-0,377,0
26,2020,2020-2021,Central Division,6,Rockford IceHogs,32,12,19,1,0,25,0.391,7,10,89,115,-26,4-6-0-0,0-1-0-0,390,0
27,2020,2020-2021,Atlantic Division,3,Bridgeport Sound Tigers,24,8,14,2,0,18,0.375,5,6,59,81,-22,5-4-1-0,0-1-0-0,284,0
28,2020,2020-2021,North Division,7,Binghamton Devils,35,7,20,5,2,22,0.314,3,5,89,127,-38,2-7-0-1,1-0-0-0,440,0
1,2019,2019-2020,Central Division,1,Milwaukee Admirals,63,41,14,5,3,90,0.714,32,36,211,141,70,6-3-1-0,2-0-0-0,925,0
2,2019,2019-2020,Atlantic Division,1,Providence Bruins,62,38,18,3,3,82,0.661,30,33,197,154,43,10-0-0-0,12-0-1-0,854,0
3,2019,2019-2020,Atlantic Division,2,Hershey Bears,62,37,18,3,4,81,0.653,27,33,187,157,30,6-3-0-1,2-0-0-1,713,0
4,2019,2019-2020,Central Division,2,Iowa Wild,63,37,18,4,4,82,0.651,30,34,194,171,23,5-3-1-1,0-1-0-0,885,0
5,2019,2019-2020,Pacific Division,1,Tucson Roadrunners,58,36,19,1,2,75,0.647,28,33,198,163,35,6-4-0-0,0-1-0-0,654,0
6,2019,2019-2020,North Division,1,Belleville Senators,63,38,20,4,1,81,0.643,28,35,234,197,37,5-5-0-0,0-3-0-0,807,0
7,2019,2019-2020,Pacific Division,2,Colorado Eagles,56,34,18,3,1,72,0.643,26,31,188,162,26,7-3-0-0,1-0-0-0,683,0
8,2019,2019-2020,Pacific Division,3,Stockton Heat,55,30,17,4,4,68,0.618,23,28,194,170,24,4-4-1-1,0-1-0-1,730,0
9,2019,2019-2020,North Division,2,Rochester Americans,62,33,20,4,5,75,0.605,25,31,181,173,8,4-3-2-1,0-1-0-0,618,0
10,2019,2019-2020,North Division,3,Utica Comets,61,34,22,3,2,73,0.598,27,31,210,186,24,6-4-0-0,0-1-0-0,770,0
11,2019,2019-2020,Atlantic Division,3,Charlotte Checkers,61,34,22,5,0,73,0.598,30,32,202,172,30,5-4-1-0,2-0-1-0,833,0
12,2019,2019-2020,Pacific Division,4,San Diego Gulls,57,30,19,6,2,68,0.596,24,28,185,164,21,7-2-1-0,1-0-0-0,662,0
13,2019,2019-2020,Atlantic Division,4,Hartford Wolf Pack,62,31,20,6,5,73,0.589,26,30,171,173,-2,2-7-1-0,0-5-0-0,615,0
14,2019,2019-2020,North Division,4,Binghamton Devils,62,34,24,4,0,72,0.581,25,28,189,182,7,9-1-0-0,7-0-0-0,631,0
15,2019,2019-2020,Pacific Division,5,Ontario Reign,57,29,22,5,1,64,0.561,22,27,166,198,-32,6-3-1-0,0-2-0-0,892,0
16,2019,2019-2020,North Division,5,Syracuse Crunch,62,30,23,4,5,69,0.556,27,30,202,210,-8,6-2-1-1,2-0-0-0,817,0
17,2019,2019-2020,North Division,6,Laval Rocket,62,30,24,5,3,68,0.548,22,24,183,182,1,7-2-0-1,4-0-0-0,750,0
18,2019,2019-2020,Atlantic Division,6,Springfield Thunderbirds,61,31,27,3,0,65,0.533,21,28,190,186,4,5-4-1-0,1-0-0-0,831,0
19,2019,2019-2020,Atlantic Division,5,Barre/Scranton Penguins,63,29,26,3,5,66,0.524,21,25,164,193,-29,4-6-0-0,1-0-0-0,797,0
20,2019,2019-2020,North Division,7,Toronto Marlies,61,29,27,3,2,63,0.516,24,28,206,212,-6,3-7-0-0,0-2-0-0,689,0
21,2019,2019-2020,Central Division,3,Grand Rapids Griffins,63,29,27,3,4,65,0.516,25,27,177,193,-16,5-5-0-0,2-0-0-0,727,0
22,2019,2019-2020,Central Division,4,Chicago Wolves,61,27,26,5,3,62,0.508,22,25,155,175,-20,3-4-2-1,1-0-0-1,704,0
23,2019,2019-2020,Central Division,5,Rockford IceHogs,63,29,30,2,2,62,0.492,20,25,156,187,-31,4-5-1-0,0-1-1-0,817,0
24,2019,2019-2020,Central Division,6,Texas Stars,62,27,28,3,4,61,0.492,19,21,171,192,-21,4-4-1-1,0-1-0-0,685,0
25,2019,2019-2020,Central Division,7,San Antonio Rampage,61,24,25,7,5,60,0.492,21,23,161,184,-23,5-5-0-0,0-4-0-0,701,0
26,2019,2019-2020,Atlantic Division,7,Lehigh Valley Phantoms,62,24,28,3,7,58,0.468,19,24,161,186,-25,2-5-2-1,0-3-1-1,652,0
27,2019,2019-2020,Central Division,8,Manitoba Moose,61,27,33,1,0,55,0.451,18,24,160,190,-30,5-4-1-0,0-1-0-0,856,0
28,2019,2019-2020,Pacific Division,6,Bakersfield Condors,56,21,27,5,3,50,0.446,17,18,162,202,-40,1-6-1-2,1-0-0-0,723,0
29,2019,2019-2020,Pacific Division,7,San Jose Barracuda,55,21,27,5,2,49,0.445,17,21,179,192,-13,6-2-2-0,4-0-2-0,670,0
30,2019,2019-2020,North Division,8,Cleveland Monsters,62,24,31,5,2,55,0.444,18,22,159,192,-33,1-6-3-0,0-5-2-0,853,0
31,2019,2019-2020,Atlantic Division,8,Bridgeport Sound Tigers,63,23,33,5,2,53,0.421,19,20,152,206,-54,4-5-0-1,2-0-0-0,839,0
1,2018,2018-2019,Atlantic Division,1,Charlotte Checkers,76,51,17,7,1,110,0.724,42,50,255,189,66,8-2-0-0,3-0-0-0,975,0
2,2018,2018-2019,North Division,1,Syracuse Crunch,76,47,21,4,4,102,0.671,39,44,264,187,77,5-3-0-2,2-0-0-1,1084,0
3,2018,2018-2019,North Division,2,Rochester Americans,76,46,23,5,2,99,0.651,36,41,254,218,36,6-2-2-0,1-0-0-0,870,0
4,2018,2018-2019,Central Division,1,Chicago Wolves,76,44,22,6,4,98,0.645,36,44,250,199,51,5-3-1-1,0-1-0-0,886,0
5,2018,2018-2019,Atlantic Division,2,Bridgeport Sound Tigers,76,43,24,6,3,95,0.625,28,37,233,228,5,5-4-0-1,1-0-0-0,1125,0
6,2018,2018-2019,Atlantic Division,3,Hershey Bears,76,43,25,4,4,94,0.618,33,35,211,215,-4,7-2-1-0,3-0-1-0,998,0
7,2018,2018-2019,North Division,3,Toronto Marlies,76,39,24,9,4,91,0.599,26,38,248,243,5,4-3-3-0,0-1-1-0,832,0
8,2018,2018-2019,Pacific Division,1,Bakersfield Condors,68,42,21,3,2,89,0.654,35,40,242,182,60,5-4-0-1,3-0-0-0,849,0
9,2018,2018-2019,Central Division,2,Milwaukee Admirals,76,36,24,14,2,88,0.579,27,32,217,207,10,9-0-1-0,11-0-2-1,977,0
10,2018,2018-2019,Atlantic Division,4,Providence Bruins,76,38,27,8,3,87,0.572,28,36,228,212,16,5-5-0-0,0-1-0-0,963,0
11,2018,2018-2019,Central Division,3,Grand Rapids Griffins,76,38,27,7,4,87,0.572,27,32,217,222,-5,1-8-1-0,0-8-1-0,932,0
12,2018,2018-2019,Central Division,4,Iowa Wild,76,37,26,8,5,87,0.572,25,33,242,230,12,3-6-1-0,3-0-0-0,874,0
13,2018,2018-2019,Pacific Division,2,San Jose Barracuda,68,39,22,3,4,85,0.625,33,35,227,197,30,7-3-0-0,0-1-0-0,714,0
14,2018,2018-2019,Central Division,5,Manitoba Moose,76,39,30,5,2,85,0.559,29,37,197,219,-22,6-3-1-0,1-0-0-0,1050,0
15,2018,2018-2019,Atlantic Division,5,Lehigh Valley Phantoms,76,39,30,4,3,85,0.559,27,34,240,244,-4,7-3-0-0,5-0-0-0,911,0
16,2018,2018-2019,North Division,4,Cleveland Monsters,76,37,29,8,2,84,0.553,26,32,232,234,-2,5-3-1-1,1-0-0-0,865,0
17,2018,2018-2019,Central Division,6,Texas Stars,76,37,31,4,4,82,0.539,33,36,238,231,7,5-4-0-1,0-1-0-0,791,0
18,2018,2018-2019,North Division,5,Belleville Senators,76,37,31,3,5,82,0.539,26,33,228,228,0,4-6-0-0,0-1-0-0,870,0
19,2018,2018-2019,Atlantic Division,6,Barre/Scranton Penguins,76,36,30,7,3,82,0.539,24,31,232,228,4,5-5-0-0,1-0-0-0,1248,0
20,2018,2018-2019,Pacific Division,3,San Diego Gulls,68,36,24,5,3,80,0.588,31,33,239,221,18,4-4-2-0,1-0-1-0,978,0
21,2018,2018-2019,Atlantic Division,7,Springfield Thunderbirds,76,33,29,9,5,80,0.526,30,33,250,241,9,5-3-2-0,1-0-0-0,1128,0
22,2018,2018-2019,Central Division,7,Rockford IceHogs,76,35,31,4,6,80,0.526,19,31,184,214,-30,4-6-0-0,0-2-0-0,715,0
23,2018,2018-2019,Pacific Division,4,Colorado Eagles,68,36,27,4,1,77,0.566,24,30,191,205,-14,4-5-1-0,1-0-0-0,1114,0
24,2018,2018-2019,Pacific Division,5,Tucson Roadrunners,68,34,26,5,3,76,0.559,27,33,206,202,4,6-3-0-1,0-1-0-0,766,0
25,2018,2018-2019,North Division,6,Utica Comets,76,34,34,6,2,76,0.5,27,31,224,257,-33,4-6-0-0,1-0-0-0,937,0
26,2018,2018-2019,North Division,7,Laval Rocket,76,30,34,6,6,72,0.474,22,27,195,231,-36,3-7-0-0,1-0-0-0,877,0
27,2018,2018-2019,Central Division,8,San Antonio Rampage,76,31,38,6,1,69,0.454,24,28,196,244,-48,4-6-0-0,1-0-0-0,885,0
28,2018,2018-2019,Atlantic Division,8,Hartford Wolf Pack,76,29,36,7,4,69,0.454,20,27,209,266,-57,1-7-1-1,0-2-0-1,953,0
29,2018,2018-2019,Pacific Division,6,Stockton Heat,68,31,31,4,2,68,0.5,24,29,235,252,-17,6-4-0-0,0-1-0-0,945,0
30,2018,2018-2019,North Division,8,Binghamton Devils,76,28,41,7,0,63,0.414,21,27,201,278,-77,4-5-1-0,0-1-1-0,1030,0
31,2018,2018-2019,Pacific Division,7,Ontario Reign,68,25,33,6,4,60,0.441,19,23,213,274,-61,3-5-0-2,0-2-0-0,1069,0
1,2017,2017-2018,North Division,1,Toronto Marlies,76,54,18,2,2,112,0.737,49,52,254,170,84,8-0-1-1,8-0-1-1,808,0
2,2017,2017-2018,Atlantic Division,1,Lehigh Valley Phantoms,76,47,19,5,5,104,0.684,40,44,260,218,42,5-3-2-0,3-0-1-0,840,0
3,2017,2017-2018,Pacific Division,1,Tucson Roadrunners,68,42,20,5,1,90,0.662,31,41,214,173,41,7-2-1-0,3-0-0-0,815,0
4,2017,2017-2018,North Division,2,Syracuse Crunch,76,46,22,3,5,100,0.658,39,43,234,189,45,6-3-0-1,0-1-0-0,1225,0
5,2017,2017-2018,Atlantic Division,2,Wilkes-Barre/Scranton Penguins,76,45,22,6,3,99,0.651,32,41,252,223,29,7-2-0-1,4-0-0-1,1161,0
6,2017,2017-2018,Atlantic Division,3,Charlotte Checkers,76,46,26,1,3,96,0.632,43,46,262,212,50,9-0-1-0,9-0-1-0,902,0
7,2017,2017-2018,Atlantic Division,4,Providence Bruins,76,45,26,3,2,95,0.625,32,39,231,187,44,5-5-0-0,2-0-0-0,923,0
8,2017,2017-2018,Central Division,1,Chicago Wolves,76,42,23,7,4,95,0.625,35,39,244,208,36,6-2-0-2,0-1-0-0,848,0
9,2017,2017-2018,Central Division,2,Grand Rapids Griffins,76,42,25,2,7,93,0.612,32,36,237,210,27,7-1-1-1,3-0-1-0,914,0
10,2017,2017-2018,Central Division,3,Manitoba Moose,76,42,26,4,4,92,0.605,37,41,253,198,55,3-7-0-0,1-0-0-0,1120,0
11,2017,2017-2018,North Division,3,Rochester Americans,76,37,22,11,6,91,0.599,25,34,234,221,13,7-2-1-0,2-0-0-0,828,0
12,2017,2017-2018,Pacific Division,2,Texas Stars,76,38,24,8,6,90,0.592,24,35,223,231,-8,4-2-1-3,4-0-1-2,912,0
13,2017,2017-2018,Pacific Division,4,Ontario Reign,68,36,25,4,3,79,0.581,29,35,200,194,6,4-5-0-1,0-4-0-0,949,0
14,2017,2017-2018,Central Division,4,Rockford IceHogs,76,40,28,4,4,88,0.579,27,34,239,234,5,7-3-0-0,0-2-0-0,785,0
15,2017,2017-2018,North Division,4,Utica Comets,76,38,26,8,4,88,0.579,23,32,211,216,-5,6-2-2-0,1-0-0-0,1164,0
16,2017,2017-2018,Pacific Division,5,San Jose Barracuda,68,34,26,4,4,76,0.559,28,33,186,198,-12,7-2-0-1,6-0-0-0,854,0
17,2017,2017-2018,Pacific Division,6,San Diego Gulls,68,36,28,3,1,76,0.559,27,32,202,197,5,3-7-0-0,0-3-0-0,1075,0
18,2017,2017-2018,Pacific Division,7,Stockton Heat,68,34,28,2,4,74,0.544,30,32,211,204,7,5-5-0-0,0-1-0-0,974,0
19,2017,2017-2018,Central Division,5,Iowa Wild,76,33,27,10,6,82,0.539,28,32,232,246,-14,3-6-1-0,2-0-0-0,846,0
20,2017,2017-2018,Central Division,6,Milwaukee Admirals,76,38,32,4,2,82,0.539,23,27,216,235,-19,5-4-0-1,0-2-0-1,948,0
21,2017,2017-2018,Pacific Division,8,Bakersfield Condors,68,31,27,9,1,72,0.529,23,28,188,206,-18,5-5-0-0,1-0-0-0,793,0
22,2017,2017-2018,Atlantic Division,5,Bridgeport Sound Tigers,76,36,32,5,3,80,0.526,29,33,206,214,-8,4-6-0-0,0-5-0-0,1115,0
23,2017,2017-2018,Pacific Division,3,San Antonio Rampage,76,35,31,10,0,80,0.526,24,29,198,219,-21,4-6-0-0,1-0-0-0,961,0
24,2017,2017-2018,Atlantic Division,6,Hartford Wolf Pack,76,34,33,6,3,77,0.507,18,25,208,252,-44,5-4-1-0,2-0-0-0,877,0
25,2017,2017-2018,Atlantic Division,7,Springfield Thunderbirds,76,32,37,5,2,71,0.467,27,30,210,233,-23,4-5-0-1,0-3-0-0,1088,0
26,2017,2017-2018,Atlantic Division,8,Hershey Bears,76,30,37,4,5,69,0.454,26,28,201,249,-48,3-7-0-0,0-1-0-0,1073,0
27,2017,2017-2018,North Division,5,Binghamton Devils,76,25,38,9,4,63,0.414,20,23,193,247,-54,3-5-2-0,0-1-2-0,1066,0
28,2017,2017-2018,North Division,6,Belleville Senators,76,29,42,2,3,63,0.414,17,23,194,266,-72,5-5-0-0,0-1-0-0,1249,0
29,2017,2017-2018,Central Division,7,Cleveland Monsters,76,25,41,7,3,60,0.395,17,23,190,258,-68,4-6-0-0,0-1-0-0,994,0
30,2017,2017-2018,North Division,7,Laval Rocket,76,24,42,7,3,58,0.382,18,23,206,281,-75,0-9-0-1,0-10-1-1,1099,0
1,2016,2016-2017,Atlantic Division,1,Wilkes-Barre/Scranton Penguins,76,51,20,3,2,107,0.704,44,50,247,170,77,6-2-0-2,1-0-0-0,1029,0
2,2016,2016-2017,Pacific Division,1,San Jose Barracuda,68,43,16,4,5,95,0.699,36,42,232,176,56,5-2-2-1,0-1-2-0,1051,0
3,2016,2016-2017,Pacific Division,2,San Diego Gulls,68,43,20,3,2,91,0.669,33,39,221,178,43,5-5-0-0,3-0-0-0,1002,0
4,2016,2016-2017,Atlantic Division,2,Lehigh Valley Phantoms,76,48,23,5,0,101,0.664,40,45,260,219,41,6-3-1-0,4-0-0-0,956,0
5,2016,2016-2017,Central Division,1,Chicago Wolves,76,44,19,8,5,101,0.664,37,42,251,200,51,7-1-1-1,5-0-1-0,947,0
6,2016,2016-2017,Central Division,2,Grand Rapids Griffins,76,47,23,1,5,100,0.658,37,44,251,190,61,4-5-0-1,3-0-0-1,845,0
7,2016,2016-2017,Atlantic Division,3,Hershey Bears,76,43,22,8,3,97,0.638,40,43,252,211,41,6-4-0-0,5-0-0-0,1071,0
8,2016,2016-2017,Atlantic Division,4,Providence Bruins,76,43,23,6,4,96,0.632,39,40,229,188,41,5-4-1-0,0-3-1-0,879,0
9,2016,2016-2017,Central Division,3,Milwaukee Admirals,76,43,26,4,3,93,0.612,33,41,225,215,10,4-5-1-0,0-1-0-0,1195,0
10,2016,2016-2017,Pacific Division,3,Ontario Reign,68,36,21,10,1,83,0.61,27,34,199,190,9,6-3-0-1,0-1-0-1,986,0
11,2016,2016-2017,Atlantic Division,5,Bridgeport Sound Tigers,76,44,28,3,1,92,0.605,31,39,220,212,8,5-4-1-0,0-2-0-0,1088,0
12,2016,2016-2017,North Division,1,Syracuse Crunch,76,38,24,7,7,90,0.592,32,36,232,227,5,5-2-1-2,4-0-1-0,1371,0
13,2016,2016-2017,North Division,2,Toronto Marlies,76,42,29,4,1,89,0.586,37,39,245,207,38,7-3-0-0,0-1-0-0,1084,0
14,2016,2016-2017,Pacific Division,4,Stockton Heat,68,34,25,7,2,77,0.566,31,33,212,192,20,6-0-3-1,7-0-3-1,1235,0
15,2016,2016-2017,Central Division,4,Charlotte Checkers,76,39,29,7,1,86,0.566,30,36,212,208,4,6-1-2-1,4-0-2-1,827,0
16,2016,2016-2017,Central Division,5,Cleveland Monsters,76,39,29,4,4,86,0.566,26,32,195,198,-3,7-2-1-0,0-1-0-0,1028,0
17,2016,2016-2017,North Division,3,Albany Devils,76,39,32,2,3,83,0.546,28,36,204,206,-2,5-5-0-0,1-0-0-0,1147,0
18,2016,2016-2017,North Division,4,St. John's IceCaps,76,36,30,8,2,82,0.539,27,33,216,220,-4,5-5-0-0,1-0-0-0,1162,0
19,2016,2016-2017,Central Division,6,Iowa Wild,76,36,31,7,2,81,0.533,25,33,182,196,-14,6-3-1-0,2-0-0-0,834,0
20,2016,2016-2017,Pacific Division,6,Bakersfield Condors,68,33,29,5,1,72,0.529,26,32,200,188,12,4-6-0-0,1-0-0-0,706,0
21,2016,2016-2017,North Division,5,Utica Comets,76,35,32,7,2,79,0.52,29,33,195,220,-25,4-6-0-0,0-1-0-0,916,0
22,2016,2016-2017,Atlantic Division,6,Springfield Thunderbirds,76,32,33,9,2,75,0.493,25,30,197,206,-9,5-5-0-0,3-0-0-0,1153,0
23,2016,2016-2017,Pacific Division,7,Tucson Roadrunners,68,29,31,8,0,66,0.485,19,26,187,237,-50,5-4-1-0,3-0-0-0,1126,0
24,2016,2016-2017,Pacific Division,5,Texas Stars,76,34,37,1,4,73,0.48,24,31,224,265,-41,4-6-0-0,0-1-0-0,1054,0
25,2016,2016-2017,Central Division,7,Manitoba Moose,76,29,37,5,5,68,0.447,24,27,197,242,-45,5-4-1-0,1-0-0-0,1113,0
26,2016,2016-2017,North Division,6,Rochester Americans,76,32,41,0,3,67,0.441,25,31,205,240,-35,5-4-0-1,0-1-0-0,858,0
27,2016,2016-2017,Central Division,8,Rockford IceHogs,76,25,39,9,3,62,0.408,18,19,175,246,-71,3-7-0-0,0-4-0-0,973,0
28,2016,2016-2017,Pacific Division,8,San Antonio Rampage,76,27,42,5,2,61,0.401,22,25,184,240,-56,2-8-0-0,1-0-0-0,1025,0
29,2016,2016-2017,North Division,7,Binghamton Senators,76,28,44,2,2,60,0.395,19,25,190,266,-76,3-7-0-0,0-2-0-0,944,0
30,2016,2016-2017,Atlantic Division,7,Hartford Wolf Pack,76,24,46,4,2,54,0.355,17,21,194,280,-86,2-8-0-0,0-5-0-0,889,0
1,2015,2015-2016,North Division,1,Toronto Marlies,76,54,16,5,1,114,0.75,41,50,294,191,103,8-1-0-1,2-0-0-0,936,0
2,2015,2015-2016,Pacific Division,1,Ontario Reign,68,44,19,4,1,93,0.684,36,44,192,138,54,6-4-0-0,0-1-0-0,1103,0
3,2015,2015-2016,North Division,2,Albany Devils,76,46,20,8,2,102,0.671,35,44,212,167,45,7-3-0-0,3-0-0-0,1232,0
4,2015,2015-2016,Central Division,1,Milwaukee Admirals,76,48,23,3,2,101,0.664,37,41,224,193,31,7-2-0-1,0-2-0-0,1045,0
5,2015,2015-2016,Atlantic Division,1,Hershey Bears,76,43,21,5,7,98,0.645,32,37,259,220,39,6-3-1-0,2-0-0-0,1083,0
6,2015,2015-2016,Central Division,2,Lake Erie Monsters,76,43,22,6,5,97,0.638,36,41,211,188,23,8-1-1-0,3-0-0-0,1162,0
7,2015,2015-2016,Atlantic Division,2,Providence Bruins,76,41,22,9,4,95,0.625,33,39,238,198,40,7-2-0-1,5-0-0-0,967,0
8,2015,2015-2016,Central Division,3,Rockford IceHogs,76,40,22,10,4,94,0.618,35,38,214,205,9,5-3-2-0,3-0-0-0,1292,0
9,2015,2015-2016,Pacific Division,3,San Diego Gulls,68,39,23,4,2,84,0.618,28,35,208,200,8,6-2-2-0,1-0-0-0,1239,0
10,2015,2015-2016,Atlantic Division,3,Wilkes-Barre/Scranton Penguins,76,43,27,4,2,92,0.605,33,42,230,203,27,3-6-0-1,0-1-0-1,1170,0
11,2015,2015-2016,Pacific Division,2,Texas Stars,76,40,25,8,3,91,0.599,33,37,277,246,31,5-3-2-0,2-0-1-0,878,0
12,2015,2015-2016,Central Division,4,Grand Rapids Griffins,76,44,30,1,1,90,0.592,35,43,238,195,43,3-7-0-0,0-5-0-0,1096,0
13,2015,2015-2016,Atlantic Division,4,Portland Pirates,76,41,27,6,2,90,0.592,35,40,215,207,8,6-3-1-0,1-0-1-0,973,0
14,2015,2015-2016,North Division,3,Utica Comets,76,38,26,8,4,88,0.579,32,37,224,217,7,6-3-1-0,0-1-0-0,1051,0
15,2015,2015-2016,Atlantic Division,5,Bridgeport Sound Tigers,76,40,29,4,3,87,0.572,31,37,209,220,-11,4-5-1-0,0-2-0-0,1412,0
16,2015,2015-2016,Atlantic Division,6,Hartford Wolf Pack,76,41,32,3,0,85,0.559,27,34,202,199,3,5-5-0-0,0-1-0-0,754,0
17,2015,2015-2016,Pacific Division,5,San Jose Barracuda,68,31,26,8,3,73,0.537,24,28,198,193,5,4-5-1-0,1-0-0-0,852,0
18,2015,2015-2016,Central Division,5,Charlotte Checkers,76,36,32,3,5,80,0.526,26,30,214,229,-15,3-6-0-1,0-5-0-0,1078,0
19,2015,2015-2016,Pacific Division,6,Bakersfield Condors,68,31,28,7,2,71,0.522,30,30,212,222,-10,4-5-1-0,3-0-0-0,953,0
20,2015,2015-2016,North Division,4,Syracuse Crunch,76,32,29,11,4,79,0.52,28,30,213,240,-27,4-4-1-1,0-2-1-0,1319,0
21,2015,2015-2016,Pacific Division,7,Stockton Heat,68,32,32,2,2,68,0.5,21,28,194,224,-30,5-5-0-0,0-1-0-0,1055,0
22,2015,2015-2016,North Division,5,St. John's IceCaps,76,32,33,8,3,75,0.493,24,30,208,239,-31,4-6-0-0,1-0-0-0,1203,0
23,2015,2015-2016,Atlantic Division,7,Lehigh Valley Phantoms,76,34,35,4,3,75,0.493,27,29,215,222,-7,7-3-0-0,1-0-0-0,1012,0
24,2015,2015-2016,Pacific Division,4,San Antonio Rampage,76,33,35,8,0,74,0.487,22,30,213,240,-27,8-2-0-0,0-1-0-0,1136,0
25,2015,2015-2016,Central Division,6,Chicago Wolves,76,33,35,5,3,74,0.487,21,29,194,228,-34,5-5-0-0,2-0-0-0,1230,0
26,2015,2015-2016,North Division,6,Rochester Americans,76,34,38,3,1,72,0.474,25,31,199,249,-50,2-7-1-0,0-3-0-0,971,0
27,2015,2015-2016,North Division,7,Binghamton Senators,76,31,38,6,1,69,0.454,25,29,204,241,-37,4-5-1-0,2-0-0-0,1371,0
28,2015,2015-2016,Central Division,7,Manitoba Moose,76,26,41,4,5,61,0.401,24,26,180,250,-70,5-5-0-0,0-1-0-0,1077,0
29,2015,2015-2016,Atlantic Division,8,Springfield Falcons,76,26,42,3,5,60,0.395,19,24,194,265,-71,3-7-0-0,0-1-0-0,1050,0
30,2015,2015-2016,Central Division,8,Iowa Wild,76,24,41,5,6,59,0.388,14,21,169,225,-56,3-4-1-2,0-2-0-1,933,0
1,2014,2014-2015,Atlantic Division,1,Manchester Monarchs,76,50,17,6,3,109,0.717,41,48,241,176,65,8-1-0-1,0-1-0-0,1310,0
2,2014,2014-2015,North Division,1,Utica Comets,76,47,20,7,2,103,0.678,39,45,219,182,37,7-1-1-1,3-0-1-1,978,0
3,2014,2014-2015,Midwest Division,1,Grand Rapids Griffins,76,46,22,6,2,100,0.658,35,44,249,185,64,7-3-0-0,0-1-0-0,869,0
4,2014,2014-2015,East Division,1,Hershey Bears,76,46,22,5,3,100,0.658,37,44,218,181,37,6-3-0-1,2-0-0-0,1507,0
5,2014,2014-2015,Midwest Division,2,Rockford IceHogs,76,46,23,5,2,99,0.651,38,43,222,180,42,7-3-0-0,0-1-0-0,1197,0
6,2014,2014-2015,West Division,1,San Antonio Rampage,76,45,23,7,1,98,0.645,30,39,248,222,26,5-3-2-0,0-2-2-0,1237,0
7,2014,2014-2015,East Division,2,Wilkes-Barre/Scranton Penguins,76,45,24,3,4,97,0.638,38,45,212,163,49,7-3-0-0,2-0-0-0,1338,0
8,2014,2014-2015,Northeast Division,1,Hartford Wolf Pack,76,43,24,5,4,95,0.625,30,41,221,214,7,8-2-0-0,1-0-0-0,1143,0
9,2014,2014-2015,West Division,2,Texas Stars,76,40,22,13,1,94,0.618,35,38,242,216,26,8-2-0-0,4-0-0-0,908,0
10,2014,2014-2015,Northeast Division,2,Syracuse Crunch,76,41,25,10,0,92,0.605,32,38,218,219,-1,1-7-2-0,0-4-1-0,1550,0
11,2014,2014-2015,Atlantic Division,2,Providence Bruins,76,41,26,7,2,91,0.599,35,40,209,185,24,6-4-0-0,1-0-0-0,989,0
12,2014,2014-2015,West Division,3,Oklahoma City Barons,76,41,27,5,3,90,0.592,27,41,224,212,12,4-6-0-0,2-0-0-0,1098,0
13,2014,2014-2015,North Division,2,Toronto Marlies,76,40,27,9,0,89,0.586,31,39,207,203,4,8-2-0-0,7-0-0-0,1129,0
14,2014,2014-2015,Atlantic Division,3,Worcester Sharks,76,41,29,4,2,88,0.579,33,39,224,198,26,4-6-0-0,0-2-0-0,809,0
15,2014,2014-2015,Midwest Division,3,Chicago Wolves,76,40,29,6,1,87,0.572,31,39,210,198,12,6-4-0-0,0-1-0-0,1076,0
16,2014,2014-2015,Atlantic Division,4,Portland Pirates,76,39,28,7,2,87,0.572,32,37,203,190,13,2-5-2-1,2-0-0-0,1187,0
17,2014,2014-2015,Northeast Division,3,Springfield Falcons,76,38,28,8,2,86,0.566,26,33,192,209,-17,4-3-1-2,2-0-0-1,1269,0
18,2014,2014-2015,Northeast Division,4,Albany Devils,76,37,28,5,6,85,0.559,30,35,199,201,-2,7-3-0-0,4-0-0-0,1368,0
19,2014,2014-2015,Midwest Division,4,Lake Erie Monsters,76,35,29,8,4,82,0.539,24,33,211,240,-29,5-3-2-0,2-0-0-0,1112,0
20,2014,2014-2015,North Division,3,Hamilton Bulldogs,76,34,29,12,1,81,0.533,28,34,201,208,-7,3-4-2-1,0-1-0-1,1179,0
21,2014,2014-2015,Midwest Division,5,Milwaukee Admirals,76,33,28,8,7,81,0.533,23,31,206,218,-12,1-4-3-2,0-3-1-2,1186,0
