Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
5,Atlantic Division,1,Hershey Bears,76,43,21,5,7,98,0.645,32,37,259,220,39,6-3-1-0,2-0-0-0,1083,0
7,Atlantic Division,2,Providence Bruins,76,41,22,9,4,95,0.625,33,39,238,198,40,7-2-0-1,5-0-0-0,967,0
10,Atlantic Division,3,Wilkes-Barre/Scranton Penguins,76,43,27,4,2,92,0.605,33,42,230,203,27,3-6-0-1,0-1-0-1,1170,0
13,Atlantic Division,4,Portland Pirates,76,41,27,6,2,90,0.592,35,40,215,207,8,6-3-1-0,1-0-1-0,973,0
15,Atlantic Division,5,Bridgeport Sound Tigers,76,40,29,4,3,87,0.572,31,37,209,220,-11,4-5-1-0,0-2-0-0,1412,0
16,Atlantic Division,6,Hartford Wolf Pack,76,41,32,3,0,85,0.559,27,34,202,199,3,5-5-0-0,0-1-0-0,754,0
23,Atlantic Division,7,Lehigh Valley Phantoms,76,34,35,4,3,75,0.493,27,29,215,222,-7,7-3-0-0,1-0-0-0,1012,0
29,Atlantic Division,8,Springfield Falcons,76,26,42,3,5,60,0.395,19,24,194,265,-71,3-7-0-0,0-1-0-0,1050,0
1,North Division,1,Toronto Marlies,76,54,16,5,1,114,0.750,41,50,294,191,103,8-1-0-1,2-0-0-0,936,0
3,North Division,2,Albany Devils,76,46,20,8,2,102,0.671,35,44,212,167,45,7-3-0-0,3-0-0-0,1232,0
14,North Division,3,Utica Comets,76,38,26,8,4,88,0.579,32,37,224,217,7,6-3-1-0,0-1-0-0,1051,0
20,North Division,4,Syracuse Crunch,76,32,29,11,4,79,0.520,28,30,213,240,-27,4-4-1-1,0-2-1-0,1319,0
22,North Division,5,St. John's IceCaps,76,32,33,8,3,75,0.493,24,30,208,239,-31,4-6-0-0,1-0-0-0,1203,0
26,North Division,6,Rochester Americans,76,34,38,3,1,72,0.474,25,31,199,249,-50,2-7-1-0,0-3-0-0,971,0
27,North Division,7,Binghamton Senators,76,31,38,6,1,69,0.454,25,29,204,241,-37,4-5-1-0,2-0-0-0,1371,0
4,Central Division,1,Milwaukee Admirals,76,48,23,3,2,101,0.664,37,41,224,193,31,7-2-0-1,0-2-0-0,1045,0
6,Central Division,2,Lake Erie Monsters,76,43,22,6,5,97,0.638,36,41,211,188,23,8-1-1-0,3-0-0-0,1162,0
8,Central Division,3,Rockford IceHogs,76,40,22,10,4,94,0.618,35,38,214,205,9,5-3-2-0,3-0-0-0,1292,0
12,Central Division,4,Grand Rapids Griffins,76,44,30,1,1,90,0.592,35,43,238,195,43,3-7-0-0,0-5-0-0,1096,0
18,Central Division,5,Charlotte Checkers,76,36,32,3,5,80,0.526,26,30,214,229,-15,3-6-0-1,0-5-0-0,1078,0
25,Central Division,6,Chicago Wolves,76,33,35,5,3,74,0.487,21,29,194,228,-34,5-5-0-0,2-0-0-0,1230,0
28,Central Division,7,Manitoba Moose,76,26,41,4,5,61,0.401,24,26,180,250,-70,5-5-0-0,0-1-0-0,1077,0
30,Central Division,8,Iowa Wild,76,24,41,5,6,59,0.388,14,21,169,225,-56,3-4-1-2,0-2-0-1,933,0
2,Pacific Division,1,Ontario Reign,68,44,19,4,1,93,0.684,36,44,192,138,54,6-4-0-0,0-1-0-0,1103,0
11,Pacific Division,2,Texas Stars,76,40,25,8,3,91,0.599,33,37,277,246,31,5-3-2-0,2-0-1-0,878,0
9,Pacific Division,3,San Diego Gulls,68,39,23,4,2,84,0.618,28,35,208,200,8,6-2-2-0,1-0-0-0,1239,0
24,Pacific Division,4,San Antonio Rampage,76,33,35,8,0,74,0.487,22,30,213,240,-27,8-2-0-0,0-1-0-0,1136,0
17,Pacific Division,5,San Jose Barracuda,68,31,26,8,3,73,0.537,24,28,198,193,5,4-5-1-0,1-0-0-0,852,0
19,Pacific Division,6,Bakersfield Condors,68,31,28,7,2,71,0.522,30,30,212,222,-10,4-5-1-0,3-0-0-0,953,0
21,Pacific Division,7,Stockton Heat,68,32,32,2,2,68,0.500,21,28,194,224,-30,5-5-0-0,0-1-0-0,1055,0
