Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
5,Atlantic Division,1,St. John's IceCaps,76,43,25,5,3,94,0.618,37,39,240,216,24,4-6-0-0,0-2-0-0,1047,0
18,Atlantic Division,2,Manchester Monarchs,76,39,32,2,3,83,0.546,28,33,207,208,-1,6-2-2-0,3-0-0-0,1325,0
20,Atlantic Division,3,Portland Pirates,76,36,31,4,5,81,0.533,29,31,223,254,-31,6-2-1-1,0-1-0-0,1296,0
25,Atlantic Division,4,Providence Bruins,76,35,34,3,4,77,0.507,25,28,193,214,-21,6-4-0-0,1-0-0-0,1097,0
27,Atlantic Division,5,Worcester Sharks,76,31,33,4,8,74,0.487,25,29,199,218,-19,3-6-0-1,1-0-0-0,1620,0
8,Northeast Division,1,Bridgeport Sound Tigers,76,41,26,3,6,91,0.599,31,37,233,219,14,8-2-0-0,1-0-0-0,1334,0
14,Northeast Division,2,Connecticut Whale,76,36,26,7,7,86,0.566,25,29,210,208,2,3-3-2-2,0-1-0-2,1236,0
22,Northeast Division,3,Adirondack Phantoms,76,37,35,2,2,78,0.513,28,34,204,217,-13,5-4-0-1,0-1-0-0,1288,0
23,Northeast Division,4,Springfield Falcons,76,36,34,3,3,78,0.513,28,31,217,231,-14,5-5-0-0,2-0-0-0,1256,0
28,Northeast Division,5,Albany Devils,76,31,34,6,5,73,0.480,27,29,190,226,-36,3-7-0-0,0-1-0-0,1252,0
1,East Division,1,Norfolk Admirals,76,55,18,1,2,113,0.743,49,52,273,180,93,10-0-0-0,28-0-0-0,1437,0
4,East Division,2,Wilkes-Barre/Scranton Penguins,76,44,25,2,5,95,0.625,33,37,235,215,20,6-4-0-0,0-1-0-0,1198,0
9,East Division,3,Hershey Bears,76,38,26,4,8,88,0.579,30,31,244,225,19,2-6-0-2,0-6-0-2,1611,0
17,East Division,4,Syracuse Crunch,76,37,29,5,5,84,0.553,25,29,238,234,4,6-2-1-1,2-0-0-0,1238,0
30,East Division,5,Binghamton Senators,76,29,40,5,2,65,0.428,24,27,201,243,-42,3-5-2-0,1-0-1-0,1189,0
3,North Division,1,Toronto Marlies,76,44,24,5,3,96,0.632,33,42,217,175,42,7-2-1-0,0-1-1-0,1134,0
13,North Division,2,Rochester Americans,76,36,26,10,4,86,0.566,26,30,224,221,3,4-3-3-0,4-0-2-0,1067,0
16,North Division,3,Lake Erie Monsters,76,37,29,3,7,84,0.553,26,32,189,210,-21,5-3-0-2,0-1-0-0,1287,0
24,North Division,4,Grand Rapids Griffins,76,33,32,7,4,77,0.507,25,29,245,249,-4,3-6-1-0,0-3-0-0,1183,0
26,North Division,5,Hamilton Bulldogs,76,34,35,2,5,75,0.493,28,32,185,226,-41,5-5-0-0,2-0-0-0,1214,0
7,Midwest Division,1,Chicago Wolves,76,42,27,4,3,91,0.599,38,40,213,193,20,6-2-2-0,2-0-1-0,1065,0
10,Midwest Division,2,Milwaukee Admirals,76,40,29,2,5,87,0.572,31,36,210,190,20,6-2-0-2,2-0-0-1,1050,0
15,Midwest Division,3,Charlotte Checkers,76,38,29,3,6,85,0.559,31,32,209,214,-5,5-5-0-0,0-1-0-0,1067,0
19,Midwest Division,4,Peoria Rivermen,76,39,33,2,2,82,0.539,31,34,217,207,10,3-6-0-1,0-3-0-0,1102,0
21,Midwest Division,5,Rockford IceHogs,76,35,32,2,7,79,0.520,25,28,207,228,-21,5-3-0-2,1-0-0-1,1391,0
2,West Division,1,Oklahoma City Barons,76,45,22,4,5,99,0.651,38,40,213,176,37,5-5-0-0,0-1-0-0,1121,0
6,West Division,2,Abbotsford Heat,76,42,26,3,5,92,0.605,30,36,200,201,-1,8-1-0-1,8-0-0-1,1251,0
11,West Division,3,San Antonio Rampage,76,41,30,3,2,87,0.572,31,36,197,204,-7,6-4-0-0,1-0-0-0,987,0
12,West Division,4,Houston Aeros,76,35,25,5,11,86,0.566,29,30,202,206,-4,3-3-2-2,2-0-0-0,960,0
29,West Division,5,Texas Stars,76,31,40,3,2,67,0.441,21,28,224,251,-27,3-6-1-0,0-2-1-0,983,0
