Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
4,Atlantic Division,1,Providence Bruins,25,15,6,2,2,34,0.680,14,15,78,60,18,4-3-1-2,1-0-1-2,356,0
9,Atlantic Division,2,Hartford Wolf Pack,24,14,9,1,0,29,0.604,11,14,82,74,8,7-3-0-0,0-1-0-0,315,0
27,Atlantic Division,3,Bridgeport Sound Tigers,24,8,14,2,0,18,0.375,5,6,59,81,-22,5-4-1-0,0-1-0-0,284,0
1,North Division,1,Hershey Bears,33,24,7,2,0,50,0.758,20,23,110,77,33,8-2-0-0,4-0-0-0,575,0
5,North Division,2,Lehigh Valley Phantoms,32,18,7,4,2,43,0.672,12,17,96,92,4,4-3-2-1,2-0-1-1,342,0
7,North Division,3,Syracuse Crunch,32,19,10,3,0,41,0.641,16,18,120,93,27,6-2-2-0,1-0-0-0,351,0
12,North Division,4,Utica Comets,28,16,11,0,1,33,0.589,12,14,89,88,1,6-4-0-0,0-1-0-0,352,0
19,North Division,5,Barre/Scranton Penguins,32,13,13,4,2,32,0.500,8,13,92,107,-15,6-3-1-0,0-1-0-0,364,0
23,North Division,6,Rochester Americans,29,11,15,2,1,25,0.431,8,9,89,116,-27,3-7-0-0,1-0-0-0,429,0
28,North Division,7,Binghamton Devils,35,7,20,5,2,22,0.314,3,5,89,127,-38,2-7-0-1,1-0-0-0,440,0
2,Canadian Division,1,Laval Rocket,36,23,9,3,1,50,0.694,21,22,113,87,26,4-4-2-0,0-3-1-0,433,0
13,Canadian Division,2,Manitoba Moose,36,18,13,3,2,41,0.569,13,16,109,102,7,5-2-1-2,0-2-1-1,362,0
16,Canadian Division,3,Belleville Senators,35,18,16,1,0,37,0.529,16,17,102,111,-9,8-2-0-0,0-1-0-0,443,0
21,Canadian Division,4,Toronto Marlies,35,16,17,0,2,34,0.486,14,16,111,119,-8,5-4-0-1,1-0-0-0,319,0
25,Canadian Division,5,Stockton Heat,30,11,17,2,0,24,0.400,8,10,79,95,-16,2-7-1-0,0-1-1-0,377,0
3,Central Division,1,Chicago Wolves,33,21,9,1,2,45,0.682,20,21,132,94,38,6-4-0-0,1-0-0-0,529,0
15,Central Division,2,Iowa Wild,34,17,13,4,0,38,0.559,15,17,107,113,-6,7-3-0-0,0-1-0-0,644,0
20,Central Division,3,Texas Stars,38,17,18,3,0,37,0.487,13,15,117,124,-7,5-4-1-0,1-0-0-0,375,0
14,Central Division,4,Grand Rapids Griffins,32,16,12,3,1,36,0.563,15,16,96,97,-1,4-5-0-1,1-0-0-0,428,0
10,Central Division,5,Cleveland Monsters,29,16,10,1,2,35,0.603,13,15,101,86,15,5-3-0-2,0-1-0-0,410,0
26,Central Division,6,Rockford IceHogs,32,12,19,1,0,25,0.391,7,10,89,115,-26,4-6-0-0,0-1-0-0,390,0
11,Pacific Division,1,San Diego Gulls,44,26,17,1,0,53,0.602,21,26,153,142,11,5-4-1-0,2-0-0-0,573,0
6,Pacific Division,2,Henderson Silver Knights,39,25,13,0,1,51,0.654,22,24,125,102,23,5-4-0-1,0-1-0-1,497,0
8,Pacific Division,3,Bakersfield Condors,39,24,14,0,1,49,0.628,19,22,129,104,25,6-4-0-0,2-0-0-0,409,0
22,Pacific Division,4,Ontario Reign,40,17,19,4,0,38,0.475,14,16,136,149,-13,8-2-0-0,2-0-0-0,418,0
17,Pacific Division,5,San Jose Barracuda,36,15,15,4,2,36,0.500,15,15,105,127,-22,4-6-0-0,0-4-0-0,465,0
18,Pacific Division,6,Colorado Eagles,34,15,15,3,1,34,0.500,13,15,101,104,-3,3-6-1-0,0-1-1-0,318,0
24,Pacific Division,7,Tucson Roadrunners,36,13,20,3,0,29,0.403,10,13,103,126,-23,3-6-1-0,0-2-1-0,405,0
