Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
1,Atlantic Division,1,Providence Bruins,67,51,14,2,0,104,0.776,38,47,225,150,75,6-3-1-0,2-0-1-0,781,5
3,Atlantic Division,2,Wilkes-Barre/Scranton Penguins,67,43,16,6,2,94,0.701,37,40,221,173,48,7-2-1-0,6-0-0-0,901,5
6,Atlantic Division,3,Charlotte Checkers,68,42,21,5,0,89,0.654,33,39,227,181,46,7-3-0-0,5-0-0-0,860,4
20,Atlantic Division,4,Bridgeport Islanders,66,30,28,3,5,68,0.515,24,26,198,202,-4,7-3-0-0,2-0-0-0,810,6
21,Atlantic Division,5,Hershey Bears,67,29,29,6,3,67,0.500,23,28,196,216,-20,3-6-0-1,1-0-0-0,936,5
23,Atlantic Division,6,Springfield Thunderbirds,66,29,29,6,2,66,0.500,25,27,187,224,-37,7-2-1-0,4-0-0-0,768,6
26,Atlantic Division,7,Lehigh Valley Phantoms,67,28,33,3,3,62,0.463,19,24,195,230,-35,3-7-0-0,0-3-0-0,880,5
30,Atlantic Division,8,Hartford Wolf Pack,66,24,34,5,3,56,0.424,20,23,173,230,-57,2-6-1-1,0-4-1-1,1054,6
7,North Division,1,Laval Rocket,68,40,21,2,5,87,0.640,28,34,217,183,34,5-3-0-2,1-0-0-0,1098,4
8,North Division,2,Syracuse Crunch,67,39,21,3,4,85,0.634,36,38,221,175,46,4-3-0-3,0-1-0-2,957,5
13,North Division,3,Cleveland Monsters,67,35,25,6,1,77,0.575,22,32,202,210,-8,4-6-0-0,2-0-0-0,847,5
17,North Division,4,Toronto Marlies,67,32,25,5,5,74,0.552,25,29,210,213,-3,4-5-1-0,0-4-0-0,961,5
22,North Division,5,Rochester Americans,65,29,27,5,4,67,0.515,21,28,198,206,-8,5-5-0-0,1-0-0-0,744,7
25,North Division,6,Utica Comets,66,26,30,5,5,62,0.470,22,23,178,205,-27,6-3-0-1,4-0-0-1,773,6
27,North Division,7,Belleville Senators,67,26,32,8,1,61,0.455,20,23,208,240,-32,5-4-0-1,0-1-0-0,951,5
2,Central Division,1,Grand Rapids Griffins,67,49,13,4,1,103,0.769,41,46,235,142,93,6-3-1-0,5-0-1-0,725,5
14,Central Division,2,Chicago Wolves,66,31,21,8,6,76,0.576,23,28,203,208,-5,2-6-2-0,0-2-0-0,856,6
15,Central Division,3,Texas Stars,66,35,27,3,1,74,0.561,26,31,202,208,-6,7-3-0-0,3-0-0-0,652,6
19,Central Division,4,Manitoba Moose,65,31,28,5,1,68,0.523,27,28,162,192,-30,3-7-0-0,0-2-0-0,749,7
24,Central Division,5,Milwaukee Admirals,65,29,29,4,3,65,0.500,17,29,189,197,-8,6-4-0-0,0-2-0-0,1115,7
28,Central Division,6,Rockford IceHogs,67,27,35,3,2,59,0.440,19,25,183,223,-40,7-3-0-0,0-1-0-0,1185,5
31,Central Division,7,Iowa Wild,65,23,33,6,3,55,0.423,17,21,158,205,-47,3-3-2-2,1-0-0-0,825,7
4,Pacific Division,1,Ontario Reign,67,43,19,3,2,91,0.679,34,39,224,180,44,5-3-2-0,2-0-0-0,745,5
5,Pacific Division,2,Colorado Eagles,67,40,17,5,5,90,0.672,32,37,224,177,47,5-3-1-1,1-0-0-0,831,5
9,Pacific Division,3,Coachella Valley Firebirds,66,39,22,5,0,83,0.629,26,35,219,199,20,8-2-0-0,2-0-0-0,946,6
10,Pacific Division,4,San Jose Barracuda,66,39,23,2,2,82,0.621,30,36,227,200,27,4-6-0-0,0-1-0-0,935,6
11,Pacific Division,5,Henderson Silver Knights,66,35,20,7,4,81,0.614,31,34,239,208,31,8-1-1-0,5-0-1-0,823,6
12,Pacific Division,6,Bakersfield Condors,66,34,22,9,1,78,0.591,26,32,221,215,6,5-5-0-0,0-3-0-0,977,6
16,Pacific Division,7,San Diego Gulls,66,31,23,8,4,74,0.561,25,29,203,203,0,6-4-0-0,2-0-0-0,711,6
18,Pacific Division,8,Tucson Roadrunners,66,30,27,9,0,69,0.523,18,29,209,223,-14,5-4-1-0,0-3-0-0,730,6
29,Pacific Division,9,Calgary Wranglers,68,21,32,10,5,57,0.419,12,19,187,253,-66,1-8-0-1,1-0-0-1,1007,4
32,Pacific Division,10,Abbotsford Canucks,68,24,37,4,3,55,0.404,16,19,158,228,-70,3-6-1-0,0-1-1-0,899,4
