Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Providence Bruins,62,38,18,3,3,82,0.661,30,33,197,154,43,10-0-0-0,12-0-1-0,854,0
3,Atlantic Division,2,Hershey Bears,62,37,18,3,4,81,0.653,27,33,187,157,30,6-3-0-1,2-0-0-1,713,0
11,Atlantic Division,3,Charlotte Checkers,61,34,22,5,0,73,0.598,30,32,202,172,30,5-4-1-0,2-0-1-0,833,0
13,Atlantic Division,4,Hartford Wolf Pack,62,31,20,6,5,73,0.589,26,30,171,173,-2,2-7-1-0,0-5-0-0,615,0
19,Atlantic Division,5,Barre/Scranton Penguins,63,29,26,3,5,66,0.524,21,25,164,193,-29,4-6-0-0,1-0-0-0,797,0
18,Atlantic Division,6,Springfield Thunderbirds,61,31,27,3,0,65,0.533,21,28,190,186,4,5-4-1-0,1-0-0-0,831,0
26,Atlantic Division,7,Lehigh Valley Phantoms,62,24,28,3,7,58,0.468,19,24,161,186,-25,2-5-2-1,0-3-1-1,652,0
31,Atlantic Division,8,Bridgeport Sound Tigers,63,23,33,5,2,53,0.421,19,20,152,206,-54,4-5-0-1,2-0-0-0,839,0
6,North Division,1,Belleville Senators,63,38,20,4,1,81,0.643,28,35,234,197,37,5-5-0-0,0-3-0-0,807,0
9,North Division,2,Rochester Americans,62,33,20,4,5,75,0.605,25,31,181,173,8,4-3-2-1,0-1-0-0,618,0
10,North Division,3,Utica Comets,61,34,22,3,2,73,0.598,27,31,210,186,24,6-4-0-0,0-1-0-0,770,0
14,North Division,4,Binghamton Devils,62,34,24,4,0,72,0.581,25,28,189,182,7,9-1-0-0,7-0-0-0,631,0
16,North Division,5,Syracuse Crunch,62,30,23,4,5,69,0.556,27,30,202,210,-8,6-2-1-1,2-0-0-0,817,0
17,North Division,6,Laval Rocket,62,30,24,5,3,68,0.548,22,24,183,182,1,7-2-0-1,4-0-0-0,750,0
20,North Division,7,Toronto Marlies,61,29,27,3,2,63,0.516,24,28,206,212,-6,3-7-0-0,0-2-0-0,689,0
30,North Division,8,Cleveland Monsters,62,24,31,5,2,55,0.444,18,22,159,192,-33,1-6-3-0,0-5-2-0,853,0
1,Central Division,1,Milwaukee Admirals,63,41,14,5,3,90,0.714,32,36,211,141,70,6-3-1-0,2-0-0-0,925,0
4,Central Division,2,Iowa Wild,63,37,18,4,4,82,0.651,30,34,194,171,23,5-3-1-1,0-1-0-0,885,0
21,Central Division,3,Grand Rapids Griffins,63,29,27,3,4,65,0.516,25,27,177,193,-16,5-5-0-0,2-0-0-0,727,0
22,Central Division,4,Chicago Wolves,61,27,26,5,3,62,0.508,22,25,155,175,-20,3-4-2-1,1-0-0-1,704,0
23,Central Division,5,Rockford IceHogs,63,29,30,2,2,62,0.492,20,25,156,187,-31,4-5-1-0,0-1-1-0,817,0
24,Central Division,6,Texas Stars,62,27,28,3,4,61,0.492,19,21,171,192,-21,4-4-1-1,0-1-0-0,685,0
25,Central Division,7,San Antonio Rampage,61,24,25,7,5,60,0.492,21,23,161,184,-23,5-5-0-0,0-4-0-0,701,0
27,Central Division,8,Manitoba Moose,61,27,33,1,0,55,0.451,18,24,160,190,-30,5-4-1-0,0-1-0-0,856,0
5,Pacific Division,1,Tucson Roadrunners,58,36,19,1,2,75,0.647,28,33,198,163,35,6-4-0-0,0-1-0-0,654,0
7,Pacific Division,2,Colorado Eagles,56,34,18,3,1,72,0.643,26,31,188,162,26,7-3-0-0,1-0-0-0,683,0
8,Pacific Division,3,Stockton Heat,55,30,17,4,4,68,0.618,23,28,194,170,24,4-4-1-1,0-1-0-1,730,0
12,Pacific Division,4,San Diego Gulls,57,30,19,6,2,68,0.596,24,28,185,164,21,7-2-1-0,1-0-0-0,662,0
15,Pacific Division,5,Ontario Reign,57,29,22,5,1,64,0.561,22,27,166,198,-32,6-3-1-0,0-2-0-0,892,0
28,Pacific Division,6,Bakersfield Condors,56,21,27,5,3,50,0.446,17,18,162,202,-40,1-6-1-2,1-0-0-0,723,0
29,Pacific Division,7,San Jose Barracuda,55,21,27,5,2,49,0.445,17,21,179,192,-13,6-2-2-0,4-0-2-0,670,0
