Name,Team,P,G,A
Alan Gordon,LA Galaxy,28,4,2
Ante Jazic,LA Galaxy,22,0,0
Chris Albright,LA Galaxy,44,2,3
Cobi Jones,LA Galaxy,45,3,3
Cornell Glen,LA Galaxy,7,2,0
Herculez Gomez,LA Galaxy,47,5,3
John Wolyniec,LA Galaxy,20,4,1
Josh Gardner,LA Galaxy,28,1,2
Kevin Hartman,LA Galaxy,54,0,0
Kyle Martino,LA Galaxy,23,1,0
Kyle Veris,LA Galaxy,18,0,0
Landon Donovan,LA Galaxy,46,13,5
Michael Enfield,LA Galaxy,6,0,0
Nathan Sturgis,LA Galaxy,28,0,0
Paulo Nagamura,LA Galaxy,55,0,2
Peter Vagenas,LA Galaxy,47,2,3
Quavas Kirk,LA Galaxy,30,0,1
Santino Quaranta,LA Galaxy,26,3,0
Stefani Miglioranzi,LA Galaxy,3,0,0
Steve Cronin,LA Galaxy,8,0,0
Todd Dunivant,LA Galaxy,27,2,2
Troy Roberts,LA Galaxy,22,0,1
Tyrone Marshall,LA Galaxy,48,0,0
Ugo Ihemelu,LA Galaxy,56,0,0
