Name,Team,P,G,A
Adrian Serioux,Houston Dynamo FC,43,1,0
Alejandro Moreno,Houston Dynamo FC,66,3,6
Brad Davis,Houston Dynamo FC,58,3,11
Brian Ching,Houston Dynamo FC,47,17,0
Brian Mullan,Houston Dynamo FC,68,4,8
Chris Wondolowski,Houston Dynamo FC,10,1,0
Craig Waibel,Houston Dynamo FC,62,5,1
Dwayne De Rosario,Houston Dynamo FC,65,11,7
Eddie Robinson,Houston Dynamo FC,55,2,0
Julian Nash,Houston Dynamo FC,6,0,0
Kelly Gray,Houston Dynamo FC,28,0,0
Kevin Goldthwaite,Houston Dynamo FC,28,0,1
Marcus Storey,Houston Dynamo FC,0,0,0
Martin Hutton,Houston Dynamo FC,0,0,0
Mike Chabala,Houston Dynamo FC,0,0,0
Mpho Moloi,Houston Dynamo FC,0,0,0
Pat Onstad,Houston Dynamo FC,70,0,0
Patrick Ianni,Houston Dynamo FC,2,0,0
Paul Dalglish,Houston Dynamo FC,16,6,0
Paul Dalglish,Houston Dynamo FC,16,6,0
Paul Dalglish,Houston Dynamo FC,1,0,0
Paul Dalglish,Houston Dynamo FC,1,0,0
Ricardo Clark,Houston Dynamo FC,66,2,2
Ronald Cerritos,Houston Dynamo FC,22,0,1
Ryan Cochrane,Houston Dynamo FC,55,1,0
Stuart Holden,Houston Dynamo FC,20,1,0
Wade Barrett,Houston Dynamo FC,68,0,4
