Name,Team,P,G,A
Alex Zotinca,Sporting Kansas City,37,1,0
Bo Oshoniyi,Sporting Kansas City,54,0,0
Dave van den Bergh,Sporting Kansas City,24,3,2
Davy Arnaud,Sporting Kansas City,58,4,2
Eddie Johnson,Sporting Kansas City,35,2,0
Jack Jewsbury,Sporting Kansas City,45,1,2
Jermaine Hue,Sporting Kansas City,3,0,0
Jimmy Conrad,Sporting Kansas City,29,2,0
Jose Burciaga Jr.,Sporting Kansas City,55,8,8
Josh Wolff,Sporting Kansas City,37,6,1
Kerry Zavagnin,Sporting Kansas City,44,0,0
Lance Watson,Sporting Kansas City,15,0,0
Matt Groenwald,Sporting Kansas City,31,0,2
Nick Garcia,Sporting Kansas City,54,1,0
Ryan McMahen,Sporting Kansas City,1,0,0
Ryan Pore,Sporting Kansas City,23,2,0
Ryan Raybould,Sporting Kansas City,14,0,0
Sasha Victorine,Sporting Kansas City,57,3,4
Scott Sealy,Sporting Kansas City,46,10,1
Sergei Raad,Sporting Kansas City,3,0,0
Shavar Thomas,Sporting Kansas City,47,1,0
Stephen Shirley,Sporting Kansas City,1,0,0
Tyson Wahl,Sporting Kansas City,16,0,0
Will Hesmer,Sporting Kansas City,6,0,0
Yura Movsisyan,Sporting Kansas City,12,0,0
