Name,Team,P,G,A
Aaron Pitchkolan,FC Dallas,10,1,0
Abe Thompson,FC Dallas,26,4,5
Alexander Yi,FC Dallas,17,0,0
Arturo Álvarez,FC Dallas,25,3,1
Bobby Rhine,FC Dallas,62,2,2
Carlos Ruiz,FC Dallas,54,17,4
Chris Gbandi,FC Dallas,57,0,3
Clarence Goodson,FC Dallas,25,2,0
Dario Sala,FC Dallas,58,0,0
David Wagenfuhr,FC Dallas,22,1,0
Dax McCarty,FC Dallas,2,0,0
Dominic Oduro,FC Dallas,18,1,0
Drew Moor,FC Dallas,55,1,0
Greg Vanney,FC Dallas,58,1,4
Justin Moore,FC Dallas,3,0,0
Kenny Cooper,FC Dallas,62,11,3
Marcelo Saragosa,FC Dallas,33,0,0
Marcos Saragosa,FC Dallas,1,0,0
Mark Wilson,FC Dallas,19,1,1
Ramon Nunez,FC Dallas,45,6,1
Richard Mulrooney,FC Dallas,51,1,3
Roberto Mina,FC Dallas,25,3,1
Ronnie O'Brien,FC Dallas,55,1,11
Shaka Hislop,FC Dallas,4,0,0
Simo Valakari,FC Dallas,63,0,1
