Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Dream,44,84.4,30.1,67.8,44.3,9.6,28.4,33.7,14.7,18.7,78.6,8.9,27.7,36.6,21.4,6.8,4.5,11.2,15.8
Chicago Sky,44,75.8,28.0,66.0,42.5,6.7,20.2,33.0,13.0,17.1,76.3,9.8,25.7,35.5,19.3,6.0,4.2,15.5,17.8
Connecticut Sun,44,75.8,27.6,67.1,41.2,6.2,20.4,30.2,14.5,18.2,79.3,8.5,23.3,31.9,17.4,7.8,3.7,13.1,19.6
Dallas Wings,44,81.7,30.2,71.4,42.3,6.6,21.6,30.4,14.8,18.4,80.2,10.0,25.3,35.4,20.2,7.3,4.0,12.8,18.9
Golden State Valkyries,44,77.7,26.5,65.2,40.7,9.7,29.9,32.5,15.0,18.4,81.5,8.7,26.6,35.3,18.5,6.8,2.9,12.9,17.5
Indiana Fever,44,84.9,31.4,68.8,45.6,8.3,24.0,34.6,13.8,18.0,77.0,8.8,24.6,33.4,20.6,7.7,2.8,12.8,18.6
Las Vegas Aces,44,83.6,29.7,67.6,43.9,9.1,25.9,35.1,15.2,18.5,82.4,8.1,25.4,33.5,19.6,7.5,4.9,11.9,16.6
Los Angeles Sparks,44,85.7,30.7,67.1,45.7,8.6,25.6,33.7,15.7,20.4,76.9,8.0,25.3,33.3,20.7,7.3,3.1,14.1,16.9
Minnesota Lynx,44,86.1,32.1,68.1,47.2,9.6,25.4,37.8,12.2,16.1,76.0,8.5,25.6,34.2,23.3,8.2,4.8,12.1,16.0
New York Liberty,44,84.4,29.6,65.3,45.3,9.5,26.8,35.5,15.6,18.7,83.7,6.8,26.9,33.7,21.8,7.6,4.4,12.9,16.2
Phoenix Mercury,44,82.8,29.7,68.6,43.3,9.4,27.7,34.0,13.9,17.8,78.4,8.7,26.0,34.7,20.9,7.8,3.7,12.5,17.8
Seattle Storm,44,82.1,31.1,69.2,45.0,7.5,22.1,34.2,12.3,16.0,77.1,6.9,24.0,30.9,21.3,8.5,5.1,11.6,17.1
Washington Mystics,44,77.1,28.0,63.7,43.9,5.6,17.1,32.9,15.6,20.7,75.4,7.7,25.3,33.0,19.2,6.5,3.2,14.2,18.2
