Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Boston Red Sox,93,69,.574,-,48-33,45-36,785,668,+117,L1,5-5
2,AL,East,2,New York Yankees,91,71,.562,2,51-30,40-41,858,660,+198,L1,6-4
3,AL,East,3,Tampa Bay Rays,80,82,.494,13,42-39,38-43,694,704,-10,W4,6-4
4,AL,East,4,Toronto Blue Jays,76,86,.469,17,42-39,34-47,693,784,-91,W1,5-5
5,AL,East,5,Baltimore Orioles,75,87,.463,18,46-35,29-52,743,841,-98,L5,2-8
6,AL,Central,1,Cleveland Guardians,102,60,.630,-,49-32,53-28,818,564,+254,W1,7-3
7,AL,Central,2,Minnesota Twins,85,77,.525,17,41-40,44-37,815,788,+27,W1,7-3
8,AL,Central,3,Kansas City Royals,80,82,.494,22,43-38,37-44,702,791,-89,L1,5-5
9,AL,Central,4,Chicago White Sox,67,95,.414,35,39-42,28-53,706,820,-114,L1,6-4
10,AL,Central,5,Detroit Tigers,64,98,.395,38,34-47,30-51,735,894,-159,L1,2-8
11,AL,West,1,Houston Astros,101,61,.623,-,48-33,53-28,896,700,+196,W1,8-2
12,AL,West,2,Los Angeles Angels,80,82,.494,21,43-38,37-44,710,709,+1,W1,4-6
13,AL,West,3,Seattle Mariners,78,84,.481,23,40-41,38-43,750,772,-22,L1,4-6
14,AL,West,4,Texas Rangers,78,84,.481,23,41-40,37-44,799,816,-17,L1,2-8
15,AL,West,5,Oakland Athletics,75,87,.463,26,46-35,29-52,739,826,-87,W1,6-4
16,NL,East,1,Washington Nationals,97,65,.599,-,47-34,50-31,819,672,+147,L2,5-5
17,NL,East,2,Miami Marlins,77,85,.475,20,43-38,34-47,778,822,-44,L1,5-5
18,NL,East,3,Atlanta Braves,72,90,.444,25,37-44,35-46,732,821,-89,W1,3-7
19,NL,East,4,New York Mets,70,92,.432,27,37-44,33-48,735,863,-128,L1,5-5
20,NL,East,5,Philadelphia Phillies,66,96,.407,31,39-42,27-54,690,782,-92,W1,5-5
21,NL,Central,1,Chicago Cubs,92,70,.568,-,48-33,44-37,822,695,+127,L1,7-3
22,NL,Central,2,Milwaukee Brewers,86,76,.531,6,44-37,42-39,732,697,+35,W1,5-5
23,NL,Central,3,St. Louis Cardinals,83,79,.512,9,44-37,39-42,761,705,+56,L1,3-7
24,NL,Central,4,Pittsburgh Pirates,75,87,.463,17,44-37,31-50,668,731,-63,W2,7-3
25,NL,Central,5,Cincinnati Reds,68,94,.420,24,39-42,29-52,753,869,-116,W1,2-8
26,NL,West,1,Los Angeles Dodgers,104,58,.642,-,57-24,47-34,770,580,+190,W2,8-2
27,NL,West,2,Arizona Diamondbacks,93,69,.574,11,52-29,41-40,812,659,+153,W1,6-4
28,NL,West,3,Colorado Rockies,87,75,.537,17,46-35,41-40,824,757,+67,L2,5-5
29,NL,West,4,San Diego Padres,71,91,.438,33,43-38,28-53,604,816,-212,L1,3-7
30,NL,West,5,San Francisco Giants,64,98,.395,40,38-43,26-55,639,776,-137,W1,5-5
