Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Baltimore Orioles,101,61,.623,-,49-32,52-29,807,678,+129,L1,6-4
2,AL,East,2,Tampa Bay Rays,99,63,.611,2,53-28,46-35,860,665,+195,W2,6-4
3,AL,East,3,Toronto Blue Jays,89,73,.549,12,43-38,46-35,746,671,+75,L2,4-6
4,AL,East,4,New York Yankees,82,80,.506,19,42-39,40-41,673,698,-25,L1,6-4
5,AL,East,5,Boston Red Sox,78,84,.481,23,39-42,39-42,772,776,-4,W1,3-7
6,AL,Central,1,Minnesota Twins,87,75,.537,-,47-34,40-41,778,659,+119,L1,7-3
7,AL,Central,2,Detroit Tigers,78,84,.481,9,37-44,41-40,661,740,-79,W2,7-3
8,AL,Central,3,Cleveland Guardians,76,86,.469,11,42-39,34-47,662,697,-35,L2,4-6
9,AL,Central,4,Chicago White Sox,61,101,.377,26,31-50,30-51,641,841,-200,L3,3-7
10,AL,Central,5,Kansas City Royals,56,106,.346,31,33-48,23-58,676,859,-183,W1,6-4
11,AL,West,1,Houston Astros,90,72,.556,-,39-42,51-30,827,698,+129,W4,6-4
12,AL,West,2,Texas Rangers,90,72,.556,-,50-31,40-41,881,716,+165,L1,6-4
13,AL,West,3,Seattle Mariners,88,74,.543,2,45-36,43-38,758,659,+99,W1,4-6
14,AL,West,4,Los Angeles Angels,73,89,.451,17,38-43,35-46,739,829,-90,W1,4-6
15,AL,West,5,Oakland Athletics,50,112,.309,40,26-55,24-57,585,924,-339,L1,4-6
16,NL,East,1,Atlanta Braves,104,58,.642,-,52-29,52-29,947,716,+231,L1,7-3
17,NL,East,2,Philadelphia Phillies,90,72,.556,14,49-32,41-40,796,715,+81,W1,7-3
18,NL,East,3,Miami Marlins,84,78,.519,20,46-35,38-43,666,723,-57,L1,5-5
19,NL,East,4,New York Mets,75,87,.463,29,43-38,32-49,717,729,-12,L1,4-6
20,NL,East,5,Washington Nationals,71,91,.438,33,34-47,37-44,700,845,-145,W1,4-6
21,NL,Central,1,Milwaukee Brewers,92,70,.568,-,49-32,43-38,728,647,+81,W1,6-4
22,NL,Central,2,Chicago Cubs,83,79,.512,9,45-36,38-43,819,723,+96,L1,4-6
23,NL,Central,3,Cincinnati Reds,82,80,.506,10,38-43,44-37,783,821,-38,L2,3-7
24,NL,Central,4,Pittsburgh Pirates,76,86,.469,16,39-42,37-44,692,790,-98,W1,5-5
25,NL,Central,5,St. Louis Cardinals,71,91,.438,21,35-46,36-45,719,829,-110,W2,4-6
26,NL,West,1,Los Angeles Dodgers,100,62,.617,-,53-28,47-34,906,699,+207,W1,6-4
27,NL,West,2,Arizona Diamondbacks,84,78,.519,16,43-38,41-40,746,761,-15,L4,4-6
28,NL,West,3,San Diego Padres,82,80,.506,18,44-37,38-43,752,648,+104,W5,8-2
29,NL,West,4,San Francisco Giants,79,83,.488,21,45-36,34-47,674,719,-45,L1,3-7
30,NL,West,5,Colorado Rockies,59,103,.364,41,37-44,22-59,721,957,-236,W1,3-7
