Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Boston Red Sox,93,69,.574,-,47-34,46-35,878,694,+184,L2,5-5
2,AL,East,2,Baltimore Orioles,89,73,.549,4,50-31,39-42,744,715,+29,W1,7-3
3,AL,East,3,Toronto Blue Jays,89,73,.549,4,46-35,43-38,759,666,+93,W2,6-4
4,AL,East,4,New York Yankees,84,78,.519,9,48-33,36-45,680,702,-22,L1,5-5
5,AL,East,5,Tampa Bay Rays,68,94,.420,25,36-45,32-49,672,713,-41,W2,3-7
6,AL,Central,1,Cleveland Guardians,94,67,.584,-,53-28,41-39,777,676,+101,W3,6-4
7,AL,Central,2,Detroit Tigers,86,75,.534,8,45-35,41-40,750,721,+29,L2,5-5
8,AL,Central,3,Kansas City Royals,81,81,.500,13.5,47-34,34-47,675,712,-37,L4,4-6
9,AL,Central,4,Chicago White Sox,78,84,.481,16.5,45-36,33-48,686,715,-29,L2,6-4
10,AL,Central,5,Minnesota Twins,59,103,.364,35.5,30-51,29-52,722,889,-167,W2,4-6
11,AL,West,1,Texas Rangers,95,67,.586,-,53-28,42-39,765,757,+8,L2,5-5
12,AL,West,2,Seattle Mariners,86,76,.531,9,44-37,42-39,768,707,+61,L2,6-4
13,AL,West,3,Houston Astros,84,78,.519,11,43-38,41-40,724,701,+23,L1,3-7
14,AL,West,4,Los Angeles Angels,74,88,.457,21,40-41,34-47,717,727,-10,W1,8-2
15,AL,West,5,Oakland Athletics,69,93,.426,26,34-47,35-46,653,761,-108,W2,3-7
16,NL,East,1,Washington Nationals,95,67,.586,-,50-31,45-36,763,612,+151,W2,6-4
17,NL,East,2,New York Mets,87,75,.537,8,44-37,43-38,671,617,+54,L1,7-3
18,NL,East,3,Miami Marlins,79,82,.491,15.5,40-40,39-42,655,682,-27,L2,3-7
19,NL,East,4,Philadelphia Phillies,71,91,.438,24,37-44,34-47,610,796,-186,W1,2-8
20,NL,East,5,Atlanta Braves,68,93,.422,26.5,31-50,37-43,649,779,-130,W2,8-2
21,NL,Central,1,Chicago Cubs,103,58,.640,-,57-24,46-34,808,556,+252,W1,6-3
22,NL,Central,2,St. Louis Cardinals,86,76,.531,17.5,38-43,48-33,779,712,+67,W4,6-4
23,NL,Central,3,Pittsburgh Pirates,78,83,.484,25,38-42,40-41,729,758,-29,L3,2-7
24,NL,Central,4,Milwaukee Brewers,73,89,.451,30.5,41-40,32-49,671,733,-62,W2,5-5
25,NL,Central,5,Cincinnati Reds,68,94,.420,35.5,38-43,30-51,716,854,-138,L1,5-5
26,NL,West,1,Los Angeles Dodgers,91,71,.562,-,53-28,38-43,725,638,+87,L3,5-5
27,NL,West,2,San Francisco Giants,87,75,.537,4,45-36,42-39,715,631,+84,W4,7-3
28,NL,West,3,Colorado Rockies,75,87,.463,16,42-39,33-48,845,860,-15,L2,2-8
29,NL,West,4,Arizona Diamondbacks,69,93,.426,22,33-48,36-45,752,890,-138,W3,5-5
30,NL,West,5,San Diego Padres,68,94,.420,23,39-42,29-52,686,770,-84,L4,4-6
