Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,97,65,.599,-,52-29,45-36,867,657,+210,L4,5-5
2,AL,East,2,Tampa Bay Rays,91,71,.562,6,47-34,44-37,707,614,+93,W5,6-4
3,AL,East,3,Boston Red Sox,90,72,.556,7,45-36,45-36,875,737,+138,L1,3-7
4,AL,East,4,Toronto Blue Jays,81,81,.500,16,42-39,39-42,743,761,-18,W1,4-6
5,AL,East,5,Baltimore Orioles,69,93,.426,28,39-42,30-51,708,860,-152,W1,6-4
6,AL,Central,1,Detroit Tigers,95,67,.586,-,50-31,45-36,787,711,+76,W4,7-3
7,AL,Central,2,Cleveland Guardians,80,82,.494,15,44-37,36-45,704,760,-56,L4,4-6
8,AL,Central,3,Chicago White Sox,79,83,.488,16,36-45,43-38,654,706,-52,L1,5-5
9,AL,Central,4,Kansas City Royals,71,91,.438,24,40-41,31-50,730,762,-32,L2,5-5
10,AL,Central,5,Minnesota Twins,63,99,.389,32,33-48,30-51,619,804,-185,W2,4-6
11,AL,West,1,Texas Rangers,96,66,.593,-,52-29,44-37,855,677,+178,W6,9-1
12,AL,West,2,Los Angeles Angels,86,76,.531,10,45-36,41-40,667,633,+34,L4,3-7
13,AL,West,3,Oakland Athletics,74,88,.457,22,43-38,31-50,645,679,-34,W2,5-5
14,AL,West,4,Seattle Mariners,67,95,.414,29,39-45,28-50,556,675,-119,L2,4-6
15,NL,East,1,Philadelphia Phillies,102,60,.630,-,52-29,50-31,713,529,+184,W4,4-6
16,NL,East,2,Atlanta Braves,89,73,.549,13,47-34,42-39,641,605,+36,L5,2-8
17,NL,East,3,Washington Nationals,80,81,.497,21.5,44-36,36-45,624,643,-19,W1,8-2
18,NL,East,4,New York Mets,77,85,.475,25,34-47,43-38,718,742,-24,W1,5-5
19,NL,East,5,Florida Marlins,72,90,.444,30,31-47,41-43,625,702,-77,L1,3-7
20,NL,Central,1,Milwaukee Brewers,96,66,.593,-,57-24,39-42,721,638,+83,W2,7-3
21,NL,Central,2,St. Louis Cardinals,90,72,.556,6,45-36,45-36,762,692,+70,W2,7-3
22,NL,Central,3,Cincinnati Reds,79,83,.488,17,42-39,37-44,735,720,+15,L1,5-5
23,NL,Central,4,Pittsburgh Pirates,72,90,.444,24,36-45,36-45,610,712,-102,L2,4-6
24,NL,Central,5,Chicago Cubs,71,91,.438,25,39-42,32-49,654,756,-102,L1,4-6
25,NL,Central,6,Houston Astros,56,106,.346,40,31-50,25-56,615,796,-181,L2,4-6
26,NL,West,1,Arizona Diamondbacks,94,68,.580,-,51-30,43-38,731,662,+69,L1,7-3
27,NL,West,2,San Francisco Giants,86,76,.531,8,46-35,40-41,570,578,-8,L1,4-6
28,NL,West,3,Los Angeles Dodgers,82,79,.509,11.5,42-39,40-40,644,612,+32,W1,7-3
29,NL,West,4,Colorado Rockies,73,89,.451,21,38-43,35-46,735,774,-39,W1,3-7
30,NL,West,5,San Diego Padres,71,91,.438,23,35-46,36-45,593,611,-18,W1,6-4
