Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,95,67,.586,-,53-28,42-39,886,786,+100,L1,6-4
2,AL,East,2,Boston Red Sox,95,67,.586,-,54-27,41-40,907,805,+102,W1,7-3
3,AL,East,3,Toronto Blue Jays,80,82,.494,15,43-38,37-44,775,705,+70,W1,5-5
4,AL,East,4,Baltimore Orioles,74,88,.457,21,36-45,38-43,729,800,-71,W3,4-6
5,AL,East,5,Tampa Bay Rays,67,95,.414,28,40-41,27-54,750,936,-186,L4,4-6
6,AL,Central,1,Chicago White Sox,99,63,.611,-,47-34,52-29,741,645,+96,W5,8-2
7,AL,Central,2,Cleveland Guardians,93,69,.574,6,43-38,50-31,790,643,+147,L3,4-6
8,AL,Central,3,Minnesota Twins,83,79,.512,16,45-36,38-43,688,662,+26,W3,5-5
9,AL,Central,4,Detroit Tigers,71,91,.438,28,39-42,32-49,723,787,-64,L5,4-6
10,AL,Central,5,Kansas City Royals,56,106,.346,43,34-47,22-59,702,935,-233,L1,4-6
11,AL,West,1,Los Angeles Angels,95,67,.586,-,49-32,46-35,761,643,+118,W4,8-2
12,AL,West,2,Oakland Athletics,88,74,.543,7,45-36,43-38,772,658,+114,W2,4-6
13,AL,West,3,Texas Rangers,79,83,.488,16,44-37,35-46,865,858,+7,L4,4-6
14,AL,West,4,Seattle Mariners,69,93,.426,26,39-42,30-51,699,751,-52,L2,3-7
15,NL,East,1,Atlanta Braves,90,72,.556,-,53-28,37-44,769,674,+95,L4,4-6
16,NL,East,2,Philadelphia Phillies,88,74,.543,2,46-35,42-39,807,726,+81,W4,7-3
17,NL,East,3,New York Mets,83,79,.512,7,48-33,35-46,722,648,+74,L1,8-2
18,NL,East,4,Florida Marlins,83,79,.512,7,45-36,38-43,717,732,-15,W3,4-6
19,NL,East,5,Washington Nationals,81,81,.500,9,41-40,40-41,639,673,-34,L3,4-6
20,NL,Central,1,St. Louis Cardinals,100,62,.617,-,50-31,50-31,805,634,+171,W3,5-5
21,NL,Central,2,Houston Astros,89,73,.549,11,53-28,36-45,693,609,+84,W2,6-4
22,NL,Central,3,Milwaukee Brewers,81,81,.500,19,46-35,35-46,726,697,+29,L2,6-4
23,NL,Central,4,Chicago Cubs,79,83,.488,21,38-43,41-40,703,714,-11,L2,5-5
24,NL,Central,5,Cincinnati Reds,73,89,.451,27,42-39,31-50,820,889,-69,L4,2-8
25,NL,Central,6,Pittsburgh Pirates,67,95,.414,33,34-47,33-48,680,769,-89,W2,5-5
26,NL,West,1,San Diego Padres,82,80,.506,-,46-35,36-45,684,726,-42,W1,6-4
27,NL,West,2,Arizona Diamondbacks,77,85,.475,5,36-45,41-40,696,856,-160,L1,8-2
28,NL,West,3,San Francisco Giants,75,87,.463,7,37-44,38-43,649,745,-96,W1,4-6
29,NL,West,4,Los Angeles Dodgers,71,91,.438,11,40-41,31-50,685,755,-70,L1,4-6
30,NL,West,5,Colorado Rockies,67,95,.414,15,40-41,27-54,740,862,-122,W1,4-6
