Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,95,67,.586,-,51-30,44-37,804,668,+136,W4,7-3
2,AL,East,2,Baltimore Orioles,93,69,.574,2,47-34,46-35,712,705,+7,L1,6-4
3,AL,East,3,Tampa Bay Rays,90,72,.556,5,46-35,44-37,697,577,+120,W1,8-2
4,AL,East,4,Toronto Blue Jays,73,89,.451,22,41-40,32-49,716,784,-68,W3,7-3
5,AL,East,5,Boston Red Sox,69,93,.426,26,34-47,35-46,734,806,-72,L8,1-9
6,AL,Central,1,Detroit Tigers,88,74,.543,-,50-31,38-43,726,670,+56,W1,8-2
7,AL,Central,2,Chicago White Sox,85,77,.525,3,45-36,40-41,748,676,+72,W1,4-6
8,AL,Central,3,Kansas City Royals,72,90,.444,16,37-44,35-46,676,746,-70,L1,2-8
9,AL,Central,4,Cleveland Guardians,68,94,.420,20,37-44,31-50,667,845,-178,L1,6-4
10,AL,Central,5,Minnesota Twins,66,96,.407,22,31-50,35-46,701,832,-131,L5,3-7
11,AL,West,1,Oakland Athletics,94,68,.580,-,50-31,44-37,713,614,+99,W6,8-2
12,AL,West,2,Texas Rangers,93,69,.574,1,50-31,43-38,808,707,+101,L3,3-7
13,AL,West,3,Los Angeles Angels,89,73,.549,5,46-35,43-38,767,699,+68,L2,6-4
14,AL,West,4,Seattle Mariners,75,87,.463,19,40-41,35-46,619,651,-32,W2,3-7
15,NL,East,1,Washington Nationals,98,64,.605,-,50-31,48-33,731,594,+137,W2,6-4
16,NL,East,2,Atlanta Braves,94,68,.580,4,48-33,46-35,700,600,+100,W1,7-3
17,NL,East,3,Philadelphia Phillies,81,81,.500,17,40-41,41-40,684,680,+4,L2,4-6
18,NL,East,4,New York Mets,74,88,.457,24,36-45,38-43,650,709,-59,W1,5-5
19,NL,East,5,Miami Marlins,69,93,.426,29,38-43,31-50,609,724,-115,L1,3-7
20,NL,Central,1,Cincinnati Reds,97,65,.599,-,50-31,47-34,669,588,+81,L1,5-5
21,NL,Central,2,St. Louis Cardinals,88,74,.543,9,50-31,38-43,765,648,+117,W1,7-3
22,NL,Central,3,Milwaukee Brewers,83,79,.512,14,49-32,34-47,776,733,+43,L1,4-6
23,NL,Central,4,Pittsburgh Pirates,79,83,.488,18,45-36,34-47,651,674,-23,L1,4-6
24,NL,Central,5,Chicago Cubs,61,101,.377,36,38-43,23-58,613,759,-146,W1,2-8
25,NL,Central,6,Houston Astros,55,107,.340,42,35-46,20-61,583,794,-211,L1,5-5
26,NL,West,1,San Francisco Giants,94,68,.580,-,48-33,46-35,718,649,+69,L1,5-5
27,NL,West,2,Los Angeles Dodgers,86,76,.531,8,45-36,41-40,637,597,+40,W1,8-2
28,NL,West,3,Arizona Diamondbacks,81,81,.500,13,41-40,40-41,734,688,+46,L1,4-6
29,NL,West,4,San Diego Padres,76,86,.469,18,42-39,34-47,651,710,-59,W1,4-6
30,NL,West,5,Colorado Rockies,64,98,.395,30,35-46,29-52,758,890,-132,W1,6-4
