Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,101,61,.623,-,57-24,44-37,897,808,+89,W1,6-4
2,AL,East,2,Boston Red Sox,98,64,.605,3,55-26,43-38,949,769,+180,L1,7-3
3,AL,East,3,Baltimore Orioles,78,84,.481,23,38-43,40-41,843,830,+13,W1,6-4
4,AL,East,4,Tampa Bay Rays,70,91,.435,30.5,41-39,29-52,714,842,-128,W1,6-4
5,AL,East,5,Toronto Blue Jays,67,94,.416,33.5,40-41,27-53,719,823,-104,L1,4-6
6,AL,Central,1,Minnesota Twins,92,70,.568,-,48-32,43-38,774,710,+64,W1,3-7
7,AL,Central,2,Chicago White Sox,83,79,.512,8.5,46-35,37-44,865,831,+34,W1,6-4
8,AL,Central,3,Cleveland Guardians,80,81,.497,11,44-37,36-44,853,851,+2,L1,7-3
9,AL,Central,4,Detroit Tigers,72,90,.444,19.5,38-43,34-47,827,844,-17,L1,4-6
10,AL,Central,5,Kansas City Royals,58,104,.358,33.5,33-47,25-57,720,905,-185,L1,2-8
11,AL,West,1,Anaheim Angels,92,70,.568,-,45-36,47-34,836,734,+102,L1,7-3
12,AL,West,2,Oakland Athletics,91,71,.562,1,52-29,39-42,793,742,+51,W1,4-6
13,AL,West,3,Texas Rangers,89,73,.549,3,51-30,38-43,860,794,+66,W2,4-6
14,AL,West,4,Seattle Mariners,63,99,.389,29,38-44,25-55,698,823,-125,L2,5-5
15,NL,East,1,Atlanta Braves,96,66,.593,-,49-32,47-34,803,668,+135,L1,7-3
16,NL,East,2,Philadelphia Phillies,86,76,.531,10,42-39,44-37,840,781,+59,W1,7-3
17,NL,East,3,Florida Marlins,83,79,.512,13,42-38,41-41,718,700,+18,L1,4-6
18,NL,East,4,New York Mets,71,91,.438,25,38-43,33-48,684,731,-47,W1,5-5
19,NL,East,5,Montreal Expos,67,95,.414,29,35-45,32-50,633,769,-136,L1,3-7
20,NL,Central,1,St. Louis Cardinals,105,57,.648,-,53-28,52-29,855,659,+196,W1,5-5
21,NL,Central,2,Houston Astros,92,70,.568,13,48-33,44-37,803,698,+105,W7,9-1
22,NL,Central,3,Chicago Cubs,89,73,.549,16,45-37,44-36,789,665,+124,W1,3-7
23,NL,Central,4,Cincinnati Reds,76,86,.469,29,40-41,36-45,750,907,-157,L2,6-4
24,NL,Central,5,Pittsburgh Pirates,72,89,.447,32.5,39-41,33-48,680,744,-64,W2,4-6
25,NL,Central,6,Milwaukee Brewers,67,94,.416,37.5,36-45,31-49,634,757,-123,L1,4-6
26,NL,West,1,Los Angeles Dodgers,93,69,.574,-,49-32,44-37,761,684,+77,L1,6-4
27,NL,West,2,San Francisco Giants,91,71,.562,2,47-35,44-36,850,770,+80,W1,5-5
28,NL,West,3,San Diego Padres,87,75,.537,6,42-39,45-36,768,703,+65,L2,5-5
29,NL,West,4,Colorado Rockies,68,94,.420,25,38-43,30-51,833,923,-90,L4,1-9
30,NL,West,5,Arizona Diamondbacks,51,111,.315,42,29-52,22-59,615,899,-284,W2,4-6
