Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,114,48,.704,-,62-19,52-29,965,656,+309,W7,8-2
2,AL,East,2,Boston Red Sox,92,70,.568,22,51-30,41-40,876,729,+147,W1,6-4
3,AL,East,3,Toronto Blue Jays,88,74,.543,26,51-30,37-44,816,768,+48,W2,6-4
4,AL,East,4,Baltimore Orioles,79,83,.488,35,42-39,37-44,817,785,+32,L1,2-8
5,AL,East,5,Tampa Bay Rays,63,99,.389,51,33-48,30-51,620,751,-131,L6,2-8
6,AL,Central,1,Cleveland Guardians,89,73,.549,-,46-35,43-38,850,779,+71,L1,3-7
7,AL,Central,2,Chicago White Sox,80,82,.494,9,44-37,36-45,861,931,-70,W3,8-2
8,AL,Central,3,Kansas City Royals,72,89,.447,16.5,29-51,43-38,714,899,-185,L3,2-8
9,AL,Central,4,Minnesota Twins,70,92,.432,19,35-46,35-46,734,818,-84,W1,5-5
10,AL,Central,5,Detroit Tigers,65,97,.401,24,32-49,33-48,722,863,-141,L2,7-3
11,AL,West,1,Texas Rangers,88,74,.543,-,48-33,40-41,940,871,+69,W1,6-4
12,AL,West,2,Anaheim Angels,85,77,.525,3,42-39,43-38,787,783,+4,W1,4-6
13,AL,West,3,Seattle Mariners,76,85,.472,11.5,42-39,34-46,859,855,+4,L1,5-5
14,AL,West,4,Oakland Athletics,74,88,.457,14,39-42,35-46,804,866,-62,L1,5-5
15,NL,East,1,Atlanta Braves,106,56,.654,-,56-25,50-31,826,581,+245,W7,9-1
16,NL,East,2,New York Mets,88,74,.543,18,47-34,41-40,706,645,+61,L5,4-6
17,NL,East,3,Philadelphia Phillies,75,87,.463,31,40-41,35-46,713,808,-95,W1,5-5
18,NL,East,4,Montreal Expos,65,97,.401,41,39-42,26-55,644,783,-139,L1,5-5
19,NL,East,5,Florida Marlins,54,108,.333,52,31-50,23-58,667,923,-256,L1,4-6
20,NL,Central,1,Houston Astros,102,60,.630,-,55-26,47-34,874,620,+254,W1,5-5
21,NL,Central,2,Chicago Cubs,90,73,.552,12.5,51-31,39-42,831,792,+39,W1,4-6
22,NL,Central,3,St. Louis Cardinals,83,79,.512,19,48-34,35-45,810,782,+28,W1,8-2
23,NL,Central,4,Cincinnati Reds,77,85,.475,25,39-42,38-43,750,760,-10,W3,7-3
24,NL,Central,5,Milwaukee Brewers,74,88,.457,28,38-43,36-45,707,812,-105,L1,3-7
25,NL,Central,6,Pittsburgh Pirates,69,93,.426,33,40-40,29-53,650,718,-68,L8,1-9
26,NL,West,1,San Diego Padres,98,64,.605,-,54-27,44-37,749,635,+114,W1,3-7
27,NL,West,2,San Francisco Giants,89,74,.546,9.5,49-32,40-42,845,739,+106,L2,7-3
28,NL,West,3,Los Angeles Dodgers,83,79,.512,15,48-33,35-46,669,678,-9,W1,6-4
29,NL,West,4,Colorado Rockies,77,85,.475,21,42-39,35-46,826,855,-29,W1,5-5
30,NL,West,5,Arizona Diamondbacks,65,97,.401,33,34-47,31-50,665,812,-147,L1,4-6
