Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,94,68,.580,-,44-37,50-31,815,668,+147,W1,5-5
2,AL,East,2,Baltimore Orioles,91,71,.562,3,44-37,47-34,786,699,+87,W3,7-3
3,AL,East,3,Boston Red Sox,81,81,.500,13,38-43,43-38,751,747,+4,W1,5-5
4,AL,East,4,Tampa Bay Rays,80,82,.494,14,42-39,38-43,604,663,-59,L1,6-4
5,AL,East,5,Toronto Blue Jays,74,88,.457,20,39-42,35-46,671,743,-72,L3,2-8
6,AL,Central,1,Cleveland Guardians,92,69,.571,-,50-30,42-39,708,621,+87,L2,5-5
7,AL,Central,2,Kansas City Royals,86,76,.531,6.5,45-36,41-40,735,644,+91,W1,4-6
8,AL,Central,3,Detroit Tigers,86,76,.531,6.5,43-38,43-38,682,642,+40,L2,7-3
9,AL,Central,4,Minnesota Twins,82,80,.506,10.5,43-38,39-42,742,735,+7,L4,2-8
10,AL,Central,5,Chicago White Sox,41,121,.253,51.5,23-58,18-63,507,813,-306,W2,5-5
11,AL,West,1,Houston Astros,88,73,.547,-,46-35,42-38,740,649,+91,W2,6-4
12,AL,West,2,Seattle Mariners,85,77,.525,3.5,49-32,36-45,676,607,+69,W4,8-2
13,AL,West,3,Texas Rangers,78,84,.481,10.5,44-37,34-47,683,738,-55,W3,5-5
14,AL,West,4,Oakland Athletics,69,93,.426,19.5,38-43,31-50,643,764,-121,L3,3-7
15,AL,West,5,Los Angeles Angels,63,99,.389,25.5,32-49,31-50,635,797,-162,L6,1-9
16,NL,East,1,Philadelphia Phillies,95,67,.586,-,54-27,41-40,784,671,+113,W1,4-6
17,NL,East,2,Atlanta Braves,89,73,.549,6,46-35,43-38,704,607,+97,W1,7-3
18,NL,East,3,New York Mets,89,73,.549,6,46-35,43-38,768,697,+71,L1,5-5
19,NL,East,4,Washington Nationals,71,91,.438,24,38-43,33-48,660,764,-104,L1,3-7
20,NL,East,5,Miami Marlins,62,100,.383,33,30-51,32-49,637,841,-204,W4,6-4
21,NL,Central,1,Milwaukee Brewers,93,69,.574,-,47-34,46-35,777,641,+136,L1,5-5
22,NL,Central,2,St. Louis Cardinals,83,79,.512,10,44-37,39-42,672,719,-47,W1,6-4
23,NL,Central,3,Chicago Cubs,83,79,.512,10,44-37,39-42,736,669,+67,L1,6-4
24,NL,Central,4,Cincinnati Reds,77,85,.475,16,39-42,38-43,699,694,+5,W1,3-7
25,NL,Central,5,Pittsburgh Pirates,76,86,.469,17,39-42,37-44,665,739,-74,L1,5-5
26,NL,West,1,Los Angeles Dodgers,98,64,.605,-,52-29,46-35,842,686,+156,W5,8-2
27,NL,West,2,San Diego Padres,93,69,.574,5,45-36,48-33,760,669,+91,L1,7-3
28,NL,West,3,Arizona Diamondbacks,89,73,.549,9,44-37,45-36,886,788,+98,W1,5-5
29,NL,West,4,San Francisco Giants,80,82,.494,18,42-39,38-43,693,699,-6,L1,6-4
30,NL,West,5,Colorado Rockies,61,101,.377,37,37-44,24-57,682,929,-247,L3,2-8
