Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Tampa Bay Rays,97,65,.599,-,57-24,40-41,774,671,+103,W1,6-4
2,AL,East,2,Boston Red Sox,95,67,.586,2,56-25,39-42,845,694,+151,W1,6-4
3,AL,East,3,New York Yankees,89,73,.549,8,48-33,41-40,789,727,+62,L1,8-2
4,AL,East,4,Toronto Blue Jays,86,76,.531,11,47-34,39-42,714,610,+104,W1,5-5
5,AL,East,5,Baltimore Orioles,68,93,.422,28.5,37-43,31-50,782,869,-87,L1,1-9
6,AL,Central,1,Chicago White Sox,89,74,.546,-,54-28,35-46,811,729,+82,W3,4-6
7,AL,Central,2,Minnesota Twins,88,75,.540,1,53-28,35-47,829,745,+84,L1,5-5
8,AL,Central,3,Cleveland Guardians,81,81,.500,7.5,45-36,36-45,805,761,+44,L1,6-4
9,AL,Central,4,Kansas City Royals,75,87,.463,13.5,38-43,37-44,691,781,-90,L1,7-3
10,AL,Central,5,Detroit Tigers,74,88,.457,14.5,40-41,34-47,821,857,-36,L2,3-7
11,AL,West,1,Los Angeles Angels,100,62,.617,-,50-31,50-31,765,697,+68,W1,7-3
12,AL,West,2,Texas Rangers,79,83,.488,21,40-41,39-42,901,967,-66,L1,4-6
13,AL,West,3,Oakland Athletics,75,86,.466,24.5,43-38,32-48,646,690,-44,L5,4-6
14,AL,West,4,Seattle Mariners,61,101,.377,39,35-46,26-55,671,811,-140,W3,4-6
15,NL,East,1,Philadelphia Phillies,92,70,.568,-,48-33,44-37,799,680,+119,W3,7-3
16,NL,East,2,New York Mets,89,73,.549,3,48-33,41-40,799,715,+84,L1,4-6
17,NL,East,3,Florida Marlins,84,77,.522,7.5,45-36,39-41,770,767,+3,W1,5-5
18,NL,East,4,Atlanta Braves,72,90,.444,20,43-38,29-52,753,778,-25,L1,5-5
19,NL,East,5,Washington Nationals,59,102,.366,32.5,34-46,25-56,641,825,-184,L4,1-9
20,NL,Central,1,Chicago Cubs,97,64,.602,-,55-26,42-38,855,671,+184,L1,5-5
21,NL,Central,2,Milwaukee Brewers,90,72,.556,7.5,49-32,41-40,750,689,+61,W1,6-4
22,NL,Central,3,Houston Astros,86,75,.534,11,47-33,39-42,712,743,-31,W1,6-4
23,NL,Central,4,St. Louis Cardinals,86,76,.531,11.5,46-35,40-41,779,725,+54,W6,7-3
24,NL,Central,5,Cincinnati Reds,74,88,.457,23.5,43-38,31-50,704,800,-96,L5,4-6
25,NL,Central,6,Pittsburgh Pirates,67,95,.414,30.5,39-42,28-53,735,884,-149,W1,3-7
26,NL,West,1,Los Angeles Dodgers,84,78,.519,-,48-33,36-45,700,648,+52,L1,5-5
27,NL,West,2,Arizona Diamondbacks,82,80,.506,2,48-33,34-47,720,706,+14,W3,6-4
28,NL,West,3,Colorado Rockies,74,88,.457,10,43-38,31-50,747,822,-75,L3,5-5
29,NL,West,4,San Francisco Giants,72,90,.444,12,37-44,35-46,640,759,-119,W1,4-6
30,NL,West,5,San Diego Padres,63,99,.389,21,35-46,28-53,637,764,-127,L1,5-5
