Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Baltimore Orioles,96,66,.593,-,50-31,46-35,705,593,+112,W1,4-6
2,AL,East,2,New York Yankees,84,78,.519,12,43-38,41-40,633,664,-31,W1,6-4
3,AL,East,3,Toronto Blue Jays,83,79,.512,13,46-35,37-44,723,686,+37,L1,6-4
4,AL,East,4,Tampa Bay Rays,77,85,.475,19,36-45,41-40,612,625,-13,L1,3-7
5,AL,East,5,Boston Red Sox,71,91,.438,25,34-47,37-44,634,715,-81,L1,5-5
6,AL,Central,1,Detroit Tigers,90,72,.556,-,45-36,45-36,757,705,+52,W1,6-4
7,AL,Central,2,Kansas City Royals,89,73,.549,1,42-39,47-34,651,624,+27,W1,6-4
8,AL,Central,3,Cleveland Guardians,85,77,.525,5,48-33,37-44,669,653,+16,W1,6-4
9,AL,Central,4,Chicago White Sox,73,89,.451,17,40-41,33-48,660,758,-98,L1,4-6
10,AL,Central,5,Minnesota Twins,70,92,.432,20,35-46,35-46,715,777,-62,L1,5-5
11,AL,West,1,Los Angeles Angels,98,64,.605,-,52-29,46-35,773,630,+143,L3,3-7
12,AL,West,2,Oakland Athletics,88,74,.543,10,48-33,40-41,729,572,+157,W1,5-5
13,AL,West,3,Seattle Mariners,87,75,.537,11,41-40,46-35,634,554,+80,W4,5-5
14,AL,West,4,Houston Astros,70,92,.432,28,38-43,32-49,629,723,-94,L2,3-7
15,AL,West,5,Texas Rangers,67,95,.414,31,33-48,34-47,637,773,-136,L1,7-3
16,NL,East,1,Washington Nationals,96,66,.593,-,51-30,45-36,686,555,+131,W2,8-2
17,NL,East,2,New York Mets,79,83,.488,17,40-41,39-42,629,618,+11,W2,6-4
18,NL,East,3,Atlanta Braves,79,83,.488,17,42-39,37-44,573,597,-24,W2,3-7
19,NL,East,4,Miami Marlins,77,85,.475,19,42-39,35-46,645,674,-29,L2,3-7
20,NL,East,5,Philadelphia Phillies,73,89,.451,23,37-44,36-45,619,687,-68,L2,3-7
21,NL,Central,1,St. Louis Cardinals,90,72,.556,-,51-30,39-42,619,603,+16,W1,6-4
22,NL,Central,2,Pittsburgh Pirates,88,74,.543,2,51-30,37-44,682,631,+51,L2,6-4
23,NL,Central,3,Milwaukee Brewers,82,80,.506,8,42-39,40-41,650,657,-7,L1,3-7
24,NL,Central,4,Cincinnati Reds,76,86,.469,14,44-37,32-49,595,612,-17,W2,5-5
25,NL,Central,5,Chicago Cubs,73,89,.451,17,41-40,32-49,614,707,-93,W1,5-5
26,NL,West,1,Los Angeles Dodgers,94,68,.580,-,45-36,49-32,718,617,+101,W5,8-2
27,NL,West,2,San Francisco Giants,88,74,.543,6,45-36,43-38,665,614,+51,W2,4-6
28,NL,West,3,San Diego Padres,77,85,.475,17,48-33,29-52,535,577,-42,L2,6-4
29,NL,West,4,Colorado Rockies,66,96,.407,28,45-36,21-60,755,818,-63,L4,5-5
30,NL,West,5,Arizona Diamondbacks,64,98,.395,30,33-48,31-50,615,742,-127,L1,2-8
