Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Tampa Bay Rays,100,62,.617,-,52-29,48-33,857,651,+206,L1,7-3
2,AL,East,2,Boston Red Sox,92,70,.568,8,49-32,43-38,829,749,+80,W3,5-5
3,AL,East,3,New York Yankees,92,70,.568,8,46-35,46-35,711,669,+42,W1,7-3
4,AL,East,4,Toronto Blue Jays,91,71,.562,9,47-33,44-38,846,663,+183,W3,6-4
5,AL,East,5,Baltimore Orioles,52,110,.321,48,27-54,25-56,659,956,-297,L3,4-6
6,AL,Central,1,Chicago White Sox,93,69,.574,-,53-28,40-41,796,636,+160,L1,7-3
7,AL,Central,2,Cleveland Guardians,80,82,.494,13,40-41,40-41,717,727,-10,W1,5-5
8,AL,Central,3,Detroit Tigers,77,85,.475,16,42-39,35-46,697,756,-59,W1,3-7
9,AL,Central,4,Kansas City Royals,74,88,.457,19,39-42,35-46,686,788,-102,L2,5-5
10,AL,Central,5,Minnesota Twins,73,89,.451,20,38-43,35-46,729,834,-105,W2,6-4
11,AL,West,1,Houston Astros,95,67,.586,-,51-30,44-37,863,658,+205,W2,4-6
12,AL,West,2,Seattle Mariners,90,72,.556,5,46-35,44-37,697,748,-51,L1,7-3
13,AL,West,3,Oakland Athletics,86,76,.531,9,43-38,43-38,743,687,+56,L2,4-6
14,AL,West,4,Los Angeles Angels,77,85,.475,18,40-42,37-43,723,804,-81,W1,5-5
15,AL,West,5,Texas Rangers,60,102,.370,35,36-45,24-57,625,815,-190,L1,5-5
16,NL,East,1,Atlanta Braves,88,73,.547,-,42-38,46-35,790,656,+134,W2,8-2
17,NL,East,2,Philadelphia Phillies,82,80,.506,6.5,47-34,35-46,734,745,-11,L2,4-6
18,NL,East,3,New York Mets,77,85,.475,11.5,47-34,30-51,636,668,-32,L2,4-6
19,NL,East,4,Miami Marlins,67,95,.414,21.5,42-39,25-56,623,701,-78,W2,3-7
20,NL,East,5,Washington Nationals,65,97,.401,23.5,35-46,30-51,724,820,-96,L5,2-8
21,NL,Central,1,Milwaukee Brewers,95,67,.586,-,45-36,50-31,738,623,+115,L4,4-6
22,NL,Central,2,St. Louis Cardinals,90,72,.556,5,45-36,45-36,706,672,+34,L2,7-3
23,NL,Central,3,Cincinnati Reds,83,79,.512,12,44-37,39-42,786,760,+26,W1,5-5
24,NL,Central,4,Chicago Cubs,71,91,.438,24,39-42,32-49,705,839,-134,W2,4-6
25,NL,Central,5,Pittsburgh Pirates,61,101,.377,34,37-44,24-57,609,833,-224,L1,4-6
26,NL,West,1,San Francisco Giants,107,55,.660,-,54-27,53-28,804,594,+210,W1,8-2
27,NL,West,2,Los Angeles Dodgers,106,56,.654,1,58-23,48-33,830,561,+269,W7,9-1
28,NL,West,3,San Diego Padres,79,83,.488,28,45-36,34-47,729,708,+21,L1,2-8
29,NL,West,4,Colorado Rockies,74,87,.460,32.5,48-33,26-54,739,796,-57,L2,3-7
30,NL,West,5,Arizona Diamondbacks,52,110,.321,55,32-49,20-61,679,893,-214,W2,4-6
