Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Tampa Bay Rays,96,66,.593,-,49-32,47-34,802,649,+153,W2,5-5
2,AL,East,2,New York Yankees,95,67,.586,1,52-29,43-38,859,693,+166,L2,3-7
3,AL,East,3,Boston Red Sox,89,73,.549,7,46-35,43-38,818,744,+74,W2,5-5
4,AL,East,4,Toronto Blue Jays,85,77,.525,11,45-33,40-44,755,728,+27,W1,8-2
5,AL,East,5,Baltimore Orioles,66,96,.407,30,37-44,29-52,613,785,-172,L1,5-5
6,AL,Central,1,Minnesota Twins,94,68,.580,-,53-28,41-40,781,671,+110,L1,2-8
7,AL,Central,2,Chicago White Sox,88,74,.543,6,45-36,43-38,752,704,+48,W2,8-2
8,AL,Central,3,Detroit Tigers,81,81,.500,13,52-29,29-52,751,743,+8,W1,4-6
9,AL,Central,4,Cleveland Guardians,69,93,.426,25,38-43,31-50,646,752,-106,L2,7-3
10,AL,Central,5,Kansas City Royals,67,95,.414,27,38-43,29-52,676,845,-169,L2,4-6
11,AL,West,1,Texas Rangers,90,72,.556,-,51-30,39-42,787,687,+100,L1,6-4
12,AL,West,2,Oakland Athletics,81,81,.500,9,47-34,34-47,663,626,+37,W4,4-6
13,AL,West,3,Los Angeles Angels,80,82,.494,10,43-38,37-44,681,702,-21,W1,5-5
14,AL,West,4,Seattle Mariners,61,101,.377,29,35-46,26-55,513,698,-185,L5,3-7
15,NL,East,1,Philadelphia Phillies,97,65,.599,-,54-30,43-35,772,640,+132,L1,6-4
16,NL,East,2,Atlanta Braves,91,71,.562,6,56-25,35-46,738,629,+109,W1,5-5
17,NL,East,3,Florida Marlins,80,82,.494,17,41-40,39-42,719,717,+2,W2,4-6
18,NL,East,4,New York Mets,79,83,.488,18,47-34,32-49,656,652,+4,L1,5-5
19,NL,East,5,Washington Nationals,69,93,.426,28,41-40,28-53,655,742,-87,W1,5-5
20,NL,Central,1,Cincinnati Reds,91,71,.562,-,49-32,42-39,790,685,+105,W2,5-5
21,NL,Central,2,St. Louis Cardinals,86,76,.531,5,52-29,34-47,736,641,+95,W5,8-2
22,NL,Central,3,Milwaukee Brewers,77,85,.475,14,40-41,37-44,750,804,-54,L2,6-4
23,NL,Central,4,Houston Astros,76,86,.469,15,42-39,34-47,611,729,-118,W1,3-7
24,NL,Central,5,Chicago Cubs,75,87,.463,16,35-46,40-41,685,767,-82,L1,6-4
25,NL,Central,6,Pittsburgh Pirates,57,105,.352,34,40-41,17-64,587,866,-279,L2,4-6
26,NL,West,1,San Francisco Giants,92,70,.568,-,49-32,43-38,697,583,+114,W1,7-3
27,NL,West,2,San Diego Padres,90,72,.556,2,45-36,45-36,665,581,+84,L1,5-5
28,NL,West,3,Colorado Rockies,83,79,.512,9,52-29,31-50,770,717,+53,L8,1-9
29,NL,West,4,Los Angeles Dodgers,80,82,.494,12,45-36,35-46,667,692,-25,W2,7-3
30,NL,West,5,Arizona Diamondbacks,65,97,.401,27,40-41,25-56,713,836,-123,L2,4-6
