Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Toronto Blue Jays,94,68,.580,-,54-27,40-41,798,721,+77,W4,5-5
2,AL,East,2,New York Yankees,94,68,.580,-,50-31,44-37,849,685,+164,W8,9-1
3,AL,East,3,Boston Red Sox,89,73,.549,5,48-33,41-40,786,676,+110,W1,6-4
4,AL,East,4,Tampa Bay Rays,77,85,.475,17,41-40,36-45,714,683,+31,L4,3-7
5,AL,East,5,Baltimore Orioles,75,87,.463,19,39-42,36-45,677,788,-111,L3,3-7
6,AL,Central,1,Cleveland Guardians,88,74,.543,-,45-36,43-38,643,649,-6,W2,7-3
7,AL,Central,2,Detroit Tigers,87,75,.537,1,46-35,41-40,758,691,+67,L1,2-8
8,AL,Central,3,Kansas City Royals,82,80,.506,6,43-38,39-42,651,637,+14,W2,6-4
9,AL,Central,4,Minnesota Twins,70,92,.432,18,38-43,32-49,678,773,-95,L1,4-6
10,AL,Central,5,Chicago White Sox,60,102,.370,28,33-48,27-54,647,742,-95,W1,3-7
11,AL,West,1,Seattle Mariners,90,72,.556,-,51-30,39-42,766,694,+72,L3,7-3
12,AL,West,2,Houston Astros,87,75,.537,3,46-35,41-40,686,665,+21,W2,4-6
13,AL,West,3,Texas Rangers,81,81,.500,9,48-33,33-48,684,605,+79,L2,2-8
14,AL,West,4,Athletics,76,86,.469,14,36-45,40-41,733,817,-84,L2,5-5
15,AL,West,5,Los Angeles Angels,72,90,.444,18,39-42,33-48,673,837,-164,L2,3-7
16,NL,East,1,Philadelphia Phillies,96,66,.593,-,55-26,41-40,778,648,+130,W1,5-5
17,NL,East,2,New York Mets,83,79,.512,13,49-32,34-47,766,715,+51,L1,5-5
18,NL,East,3,Miami Marlins,79,83,.488,17,38-43,41-40,709,798,-89,W1,7-3
19,NL,East,4,Atlanta Braves,76,86,.469,20,39-42,37-44,724,734,-10,W1,7-3
20,NL,East,5,Washington Nationals,66,96,.407,30,32-49,34-47,687,899,-212,L1,4-6
21,NL,Central,1,Milwaukee Brewers,97,65,.599,-,52-29,45-36,806,634,+172,W1,4-6
22,NL,Central,2,Chicago Cubs,92,70,.568,5,50-31,42-39,793,649,+144,W3,4-6
23,NL,Central,3,Cincinnati Reds,83,79,.512,14,45-36,38-43,716,681,+35,L1,7-3
24,NL,Central,4,St. Louis Cardinals,78,84,.481,19,44-37,34-47,689,754,-65,L4,4-6
25,NL,Central,5,Pittsburgh Pirates,71,91,.438,26,44-37,27-54,583,645,-62,L1,6-4
26,NL,West,1,Los Angeles Dodgers,93,69,.574,-,52-29,41-40,825,683,+142,W5,8-2
27,NL,West,2,San Diego Padres,90,72,.556,3,52-29,38-43,702,621,+81,W3,7-3
28,NL,West,3,San Francisco Giants,81,81,.500,12,42-39,39-42,705,684,+21,W4,5-5
29,NL,West,4,Arizona Diamondbacks,80,82,.494,13,43-38,37-44,791,785,+6,L5,3-7
30,NL,West,5,Colorado Rockies,43,119,.265,50,25-56,18-63,597,1021,-424,L6,2-8
