Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,103,59,.636,-,57-24,46-35,915,753,+162,W1,7-3
2,AL,East,2,Boston Red Sox,95,67,.586,8,56-25,39-42,872,736,+136,W4,4-6
3,AL,East,3,Tampa Bay Rays,84,78,.519,19,52-29,32-49,803,754,+49,L1,6-4
4,AL,East,4,Toronto Blue Jays,75,87,.463,28,44-37,31-50,798,771,+27,L3,6-4
5,AL,East,5,Baltimore Orioles,64,98,.395,39,39-42,25-56,741,876,-135,W4,4-6
6,AL,Central,1,Minnesota Twins,87,76,.534,-,49-33,38-43,817,765,+52,W5,7-3
7,AL,Central,2,Detroit Tigers,86,77,.528,1,51-30,35-47,743,745,-2,L1,4-6
8,AL,Central,3,Chicago White Sox,79,83,.488,7.5,43-38,36-45,724,732,-8,L1,6-4
9,AL,Central,4,Cleveland Guardians,65,97,.401,21.5,35-46,30-51,773,865,-92,L5,4-6
10,AL,Central,5,Kansas City Royals,65,97,.401,21.5,33-48,32-49,686,842,-156,L3,2-8
11,AL,West,1,Los Angeles Angels,97,65,.599,-,49-32,48-33,883,761,+122,W3,7-3
12,AL,West,2,Texas Rangers,87,75,.537,10,48-33,39-42,784,740,+44,L2,4-6
13,AL,West,3,Seattle Mariners,85,77,.525,12,48-33,37-44,640,692,-52,W2,6-4
14,AL,West,4,Oakland Athletics,75,87,.463,22,40-41,35-46,759,761,-2,L7,3-7
15,NL,East,1,Philadelphia Phillies,93,69,.574,-,45-36,48-33,820,709,+111,W1,4-6
16,NL,East,2,Florida Marlins,87,75,.537,6,43-38,44-37,772,766,+6,L1,6-4
17,NL,East,3,Atlanta Braves,86,76,.531,7,40-41,46-35,735,641,+94,L6,4-6
18,NL,East,4,New York Mets,70,92,.432,23,41-40,29-52,671,757,-86,W3,5-5
19,NL,East,5,Washington Nationals,59,103,.364,34,33-48,26-55,710,874,-164,W7,7-3
20,NL,Central,1,St. Louis Cardinals,91,71,.562,-,46-35,45-36,730,640,+90,L3,2-8
21,NL,Central,2,Chicago Cubs,83,78,.516,7.5,46-34,37-44,707,672,+35,L1,5-5
22,NL,Central,3,Milwaukee Brewers,80,82,.494,11,40-41,40-41,785,818,-33,W3,5-5
23,NL,Central,4,Cincinnati Reds,78,84,.481,13,40-41,38-43,673,723,-50,W2,7-3
24,NL,Central,5,Houston Astros,74,88,.457,17,44-37,30-51,643,770,-127,L3,3-7
25,NL,Central,6,Pittsburgh Pirates,62,99,.385,28.5,40-41,22-58,636,768,-132,L2,6-4
26,NL,West,1,Los Angeles Dodgers,95,67,.586,-,50-31,45-36,780,611,+169,W2,4-6
27,NL,West,2,Colorado Rockies,92,70,.568,3,51-30,41-40,804,715,+89,L2,6-4
28,NL,West,3,San Francisco Giants,88,74,.543,7,52-29,36-45,657,611,+46,W1,6-4
29,NL,West,4,San Diego Padres,75,87,.463,20,42-39,33-48,638,769,-131,L1,6-4
30,NL,West,5,Arizona Diamondbacks,70,92,.432,25,36-45,34-47,720,782,-62,W1,4-6
