Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,7,2,.778,-,2-1,5-1,47,22,+25,L1,7-2
2,AL,East,2,Tampa Bay Rays,4,5,.444,3,0-0,4-5,45,50,-5,W2,4-5
3,AL,East,3,Toronto Blue Jays,4,5,.444,3,4-2,0-3,34,42,-8,L4,4-5
4,AL,East,4,Baltimore Orioles,3,6,.333,4,3-3,0-3,34,43,-9,L3,3-6
5,AL,East,5,Boston Red Sox,2,7,.222,5,1-2,1-5,30,45,-15,L2,2-7
6,AL,Central,1,Cleveland Guardians,6,4,.600,-,2-1,4-3,32,36,-4,W1,6-4
7,AL,Central,2,Kansas City Royals,4,5,.444,1.5,3-3,1-2,38,43,-5,L1,4-5
8,AL,Central,3,Detroit Tigers,4,5,.444,1.5,2-1,2-4,42,35,+7,L1,4-5
9,AL,Central,4,Chicago White Sox,4,5,.444,1.5,3-0,1-5,35,59,-24,W3,4-5
10,AL,Central,5,Minnesota Twins,3,6,.333,2.5,1-2,2-4,38,43,-5,L2,3-6
11,AL,West,1,Houston Astros,6,4,.600,-,5-2,1-2,70,55,+15,L1,6-4
12,AL,West,2,Los Angeles Angels,5,5,.500,1,2-1,3-4,41,45,-4,W2,5-5
13,AL,West,3,Texas Rangers,4,5,.444,1.5,0-3,4-2,36,36,0,L4,4-5
14,AL,West,4,Seattle Mariners,4,6,.400,2,3-4,1-2,37,34,+3,L2,4-6
15,AL,West,5,Athletics,3,6,.333,2.5,2-1,1-5,40,52,-12,W1,3-6
16,NL,East,1,Miami Marlins,6,3,.667,-,5-1,1-2,49,41,+8,W1,6-3
17,NL,East,2,New York Mets,6,4,.600,0.5,2-1,4-3,49,32,+17,W3,6-4
18,NL,East,3,Atlanta Braves,6,4,.600,0.5,4-2,2-2,49,22,+27,L2,6-4
19,NL,East,4,Philadelphia Phillies,5,4,.556,1,3-3,2-1,36,42,-6,L1,5-4
20,NL,East,5,Washington Nationals,3,6,.333,3,0-3,3-3,55,59,-4,L5,3-6
21,NL,Central,1,Milwaukee Brewers,7,2,.778,-,5-1,2-1,60,32,+28,W1,7-2
22,NL,Central,2,Pittsburgh Pirates,6,3,.667,1,3-0,3-3,45,34,+11,W5,6-3
23,NL,Central,3,Cincinnati Reds,6,3,.667,1,3-3,3-0,26,30,-4,W3,6-3
24,NL,Central,4,St. Louis Cardinals,5,4,.556,2,4-2,1-2,40,46,-6,W1,5-4
25,NL,Central,5,Chicago Cubs,4,5,.444,3,3-3,1-2,37,34,+3,L1,4-5
26,NL,West,1,Los Angeles Dodgers,7,2,.778,-,4-2,3-0,54,34,+20,W3,7-2
27,NL,West,2,Arizona Diamondbacks,5,5,.500,2.5,5-2,0-3,35,52,-17,W2,5-5
28,NL,West,3,San Diego Padres,4,5,.444,3,2-4,2-1,32,39,-7,W2,4-5
29,NL,West,4,Colorado Rockies,3,6,.333,4,1-2,2-4,30,34,-4,W1,3-6
30,NL,West,5,San Francisco Giants,3,7,.300,4.5,1-6,2-1,26,51,-25,L3,3-7
