Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Boston Red Sox,96,66,.593,-,51-30,45-36,867,657,+210,L1,6-4
2,AL,East,2,New York Yankees,94,68,.580,2,52-29,42-39,968,777,+191,W2,6-4
3,AL,East,3,Toronto Blue Jays,83,79,.512,13,49-32,34-47,753,699,+54,L1,6-4
4,AL,East,4,Baltimore Orioles,69,93,.426,27,35-46,34-47,756,868,-112,L2,4-6
5,AL,East,5,Tampa Bay Rays,66,96,.407,30,37-44,29-52,782,944,-162,W1,3-7
6,AL,Central,1,Cleveland Guardians,96,66,.593,-,51-29,45-37,823,708,+115,W1,6-4
7,AL,Central,2,Detroit Tigers,88,74,.543,8,45-36,43-38,887,797,+90,W1,5-5
8,AL,Central,3,Minnesota Twins,79,83,.488,17,41-40,38-43,718,725,-7,W1,4-6
9,AL,Central,4,Chicago White Sox,72,90,.444,24,38-43,34-47,693,839,-146,L1,6-4
10,AL,Central,5,Kansas City Royals,69,93,.426,27,35-46,34-47,706,778,-72,L1,3-7
11,AL,West,1,Los Angeles Angels,94,68,.580,-,54-27,40-41,822,731,+91,L1,4-6
12,AL,West,2,Seattle Mariners,88,74,.543,6,49-33,39-41,798,825,-27,W5,6-4
13,AL,West,3,Oakland Athletics,76,86,.469,18,40-41,36-45,741,758,-17,W1,2-8
14,AL,West,4,Texas Rangers,75,87,.463,19,47-34,28-53,816,844,-28,L3,5-5
15,NL,East,1,Philadelphia Phillies,89,73,.549,-,47-34,42-39,892,821,+71,W1,7-3
16,NL,East,2,New York Mets,88,74,.543,1,41-40,47-34,804,750,+54,L1,4-6
17,NL,East,3,Atlanta Braves,84,78,.519,5,44-37,40-41,810,733,+77,L2,5-5
18,NL,East,4,Washington Nationals,73,89,.451,16,40-41,33-48,673,783,-110,L1,5-5
19,NL,East,5,Florida Marlins,71,91,.438,18,36-45,35-46,790,891,-101,W1,6-4
20,NL,Central,1,Chicago Cubs,85,77,.525,-,44-37,41-40,752,690,+62,L1,6-4
21,NL,Central,2,Milwaukee Brewers,83,79,.512,2,51-30,32-49,801,776,+25,W2,5-5
22,NL,Central,3,St. Louis Cardinals,78,84,.481,7,43-38,35-46,725,829,-104,W5,7-3
23,NL,Central,4,Houston Astros,73,89,.451,12,42-39,31-50,723,813,-90,W2,7-3
24,NL,Central,5,Cincinnati Reds,72,90,.444,13,39-42,33-48,783,853,-70,W1,3-7
25,NL,Central,6,Pittsburgh Pirates,68,94,.420,17,37-44,31-50,724,846,-122,L4,2-8
26,NL,West,1,Arizona Diamondbacks,90,72,.556,-,50-31,40-41,712,732,-20,L2,5-5
27,NL,West,2,Colorado Rockies,90,73,.552,0.5,51-31,39-42,860,758,+102,W3,9-1
28,NL,West,3,San Diego Padres,89,74,.546,1.5,47-34,42-40,741,666,+75,L3,4-6
29,NL,West,4,Los Angeles Dodgers,82,80,.506,8,43-38,39-42,735,727,+8,L1,3-7
30,NL,West,5,San Francisco Giants,71,91,.438,19,39-42,32-49,683,720,-37,W1,4-6
