Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Toronto Blue Jays,93,69,.574,-,53-28,40-41,891,670,+221,L2,6-4
2,AL,East,2,New York Yankees,87,75,.537,6,45-36,42-39,764,698,+66,L3,3-7
3,AL,East,3,Baltimore Orioles,81,81,.500,12,47-31,34-50,713,693,+20,W5,5-5
4,AL,East,4,Tampa Bay Rays,80,82,.494,13,42-42,38-40,644,642,+2,W2,6-4
5,AL,East,5,Boston Red Sox,78,84,.481,15,43-38,35-46,748,753,-5,L4,6-4
6,AL,Central,1,Kansas City Royals,95,67,.586,-,51-30,44-37,724,641,+83,W5,6-4
7,AL,Central,2,Minnesota Twins,83,79,.512,12,46-35,37-44,696,700,-4,L3,5-5
8,AL,Central,3,Cleveland Guardians,81,80,.503,13.5,39-41,42-39,669,640,+29,W3,6-4
9,AL,Central,4,Chicago White Sox,76,86,.469,19,40-41,36-45,622,701,-79,L1,4-6
10,AL,Central,5,Detroit Tigers,74,87,.460,20.5,38-43,36-44,689,803,-114,W1,4-6
11,AL,West,1,Texas Rangers,88,74,.543,-,43-38,45-36,751,733,+18,W1,5-5
12,AL,West,2,Houston Astros,86,76,.531,2,53-28,33-48,729,618,+111,L1,6-4
13,AL,West,3,Los Angeles Angels,85,77,.525,3,49-32,36-45,661,675,-14,L1,7-3
14,AL,West,4,Seattle Mariners,76,86,.469,12,36-45,40-41,656,726,-70,W1,2-8
15,AL,West,5,Oakland Athletics,68,94,.420,20,34-47,34-47,694,729,-35,L1,4-6
16,NL,East,1,New York Mets,90,72,.556,-,49-32,41-40,683,613,+70,W1,5-5
17,NL,East,2,Washington Nationals,83,79,.512,7,46-35,37-44,703,635,+68,L1,5-5
18,NL,East,3,Miami Marlins,71,91,.438,19,41-40,30-51,613,678,-65,L1,6-4
19,NL,East,4,Atlanta Braves,67,95,.414,23,42-39,25-56,573,760,-187,W3,6-4
20,NL,East,5,Philadelphia Phillies,63,99,.389,27,37-44,26-55,626,809,-183,W1,6-4
21,NL,Central,1,St. Louis Cardinals,100,62,.617,-,55-26,45-36,647,525,+122,L3,4-6
22,NL,Central,2,Pittsburgh Pirates,98,64,.605,2,53-28,45-36,697,596,+101,W1,6-4
23,NL,Central,3,Chicago Cubs,97,65,.599,3,49-32,48-33,689,608,+81,W8,8-2
24,NL,Central,4,Milwaukee Brewers,68,94,.420,32,34-47,34-47,655,737,-82,L4,4-6
25,NL,Central,5,Cincinnati Reds,64,98,.395,36,34-47,30-51,640,754,-114,L1,1-9
26,NL,West,1,Los Angeles Dodgers,92,70,.568,-,55-26,37-44,667,595,+72,W4,5-5
27,NL,West,2,San Francisco Giants,84,78,.519,8,47-34,37-44,696,627,+69,L1,5-5
28,NL,West,3,Arizona Diamondbacks,79,83,.488,13,39-42,40-41,720,713,+7,W1,6-4
29,NL,West,4,San Diego Padres,74,88,.457,18,39-42,35-46,650,731,-81,L3,3-7
30,NL,West,5,Colorado Rockies,68,94,.420,24,36-45,32-49,737,844,-107,W1,5-5
