Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,New York Yankees,99,63,.611,-,57-24,42-39,807,567,+240,L2,5-5
2,AL,East,2,Toronto Blue Jays,92,70,.568,7,47-34,45-36,775,679,+96,W1,7-3
3,AL,East,3,Tampa Bay Rays,86,76,.531,13,51-30,35-46,666,614,+52,L5,2-8
4,AL,East,4,Baltimore Orioles,83,79,.512,16,45-36,38-43,674,688,-14,L1,4-6
5,AL,East,5,Boston Red Sox,78,84,.481,21,43-38,35-46,735,787,-52,W3,6-4
6,AL,Central,1,Cleveland Guardians,92,70,.568,-,46-35,46-35,698,634,+64,W2,7-3
7,AL,Central,2,Chicago White Sox,81,81,.500,11,37-44,44-37,686,717,-31,L1,5-5
8,AL,Central,3,Minnesota Twins,78,84,.481,14,46-35,32-49,696,684,+12,W1,4-6
9,AL,Central,4,Detroit Tigers,66,96,.407,26,36-46,30-50,557,713,-156,L3,6-4
10,AL,Central,5,Kansas City Royals,65,97,.401,27,39-42,26-55,640,810,-170,L2,3-7
11,AL,West,1,Houston Astros,106,56,.654,-,55-26,51-30,737,518,+219,W2,7-3
12,AL,West,2,Seattle Mariners,90,72,.556,16,46-35,44-37,690,623,+67,W3,7-3
13,AL,West,3,Los Angeles Angels,73,89,.451,33,40-41,33-48,623,668,-45,L3,7-3
14,AL,West,4,Texas Rangers,68,94,.420,38,34-47,34-47,707,743,-36,W2,3-7
15,AL,West,5,Oakland Athletics,60,102,.370,46,29-51,31-51,568,770,-202,W4,4-6
16,NL,East,1,Atlanta Braves,101,61,.623,-,55-26,46-35,789,609,+180,L1,7-3
17,NL,East,2,New York Mets,101,61,.623,-,54-27,47-34,772,606,+166,W3,5-5
18,NL,East,3,Philadelphia Phillies,87,75,.537,14,47-34,40-41,747,685,+62,L2,4-6
19,NL,East,4,Miami Marlins,69,93,.426,32,34-47,35-46,586,676,-90,W1,6-4
20,NL,East,5,Washington Nationals,55,107,.340,46,26-55,29-52,603,855,-252,L5,2-8
21,NL,Central,1,St. Louis Cardinals,93,69,.574,-,53-28,40-41,772,637,+135,L1,4-6
22,NL,Central,2,Milwaukee Brewers,86,76,.531,7,46-35,40-41,725,688,+37,L1,4-6
23,NL,Central,3,Chicago Cubs,74,88,.457,19,37-44,37-44,657,731,-74,W1,8-2
24,NL,Central,4,Pittsburgh Pirates,62,100,.383,31,34-47,28-53,591,817,-226,W1,6-4
25,NL,Central,5,Cincinnati Reds,62,100,.383,31,33-48,29-52,648,815,-167,L1,3-7
26,NL,West,1,Los Angeles Dodgers,111,51,.685,-,57-24,54-27,847,513,+334,W1,6-4
27,NL,West,2,San Diego Padres,89,73,.549,22,44-37,45-36,705,660,+45,L1,5-5
28,NL,West,3,San Francisco Giants,81,81,.500,30,44-37,37-44,716,697,+19,W1,7-3
29,NL,West,4,Arizona Diamondbacks,74,88,.457,37,40-41,34-47,702,740,-38,W1,4-6
30,NL,West,5,Colorado Rockies,68,94,.420,43,41-40,27-54,698,873,-175,L1,3-7
