Rank,League,Division,DivisionRank,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
1,AL,East,1,Tampa Bay Rays,40,20,.667,-,20-9,20-11,289,229,+60,W4,8-2
2,AL,East,2,New York Yankees,33,27,.550,7,22-9,11-18,315,270,+45,L1,4-6
3,AL,East,3,Toronto Blue Jays,32,28,.533,8,17-9,15-19,302,312,-10,L1,6-4
4,AL,East,4,Baltimore Orioles,25,35,.417,15,13-20,12-15,274,294,-20,W1,3-7
5,AL,East,5,Boston Red Sox,24,36,.400,16,11-20,13-16,292,351,-59,W2,6-4
6,AL,Central,1,Minnesota Twins,36,24,.600,-,24-7,12-17,269,215,+54,L1,6-4
7,AL,Central,2,Chicago White Sox,35,25,.583,1,18-12,17-13,306,246,+60,L1,2-8
8,AL,Central,3,Cleveland Guardians,35,25,.583,1,18-12,17-13,248,209,+39,W1,8-2
9,AL,Central,4,Kansas City Royals,26,34,.433,10,15-15,11-19,248,272,-24,W1,5-5
10,AL,Central,5,Detroit Tigers,23,35,.397,12,12-15,11-20,249,318,-69,L1,2-8
11,AL,West,1,Oakland Athletics,36,24,.600,-,22-10,14-14,274,232,+42,W1,5-5
12,AL,West,2,Houston Astros,29,31,.483,7,20-8,9-23,279,275,+4,L3,4-6
13,AL,West,3,Seattle Mariners,27,33,.450,9,14-10,13-23,254,303,-49,L1,5-5
14,AL,West,4,Los Angeles Angels,26,34,.433,10,16-15,10-19,294,321,-27,L3,6-4
15,AL,West,5,Texas Rangers,22,38,.367,14,16-14,6-24,224,312,-88,W3,4-6
16,NL,East,1,Atlanta Braves,35,25,.583,-,19-11,16-14,348,288,+60,L2,6-4
17,NL,East,2,Miami Marlins,31,29,.517,4,11-15,20-14,263,304,-41,W1,5-5
18,NL,East,3,Philadelphia Phillies,28,32,.467,7,19-13,9-19,306,311,-5,L3,3-7
19,NL,East,4,New York Mets,26,34,.433,9,12-17,14-17,286,308,-22,L3,3-7
20,NL,East,5,Washington Nationals,26,34,.433,9,15-18,11-16,293,301,-8,W3,7-3
21,NL,Central,1,Chicago Cubs,34,26,.567,-,19-14,15-12,265,240,+25,W1,4-6
22,NL,Central,2,St. Louis Cardinals,30,28,.517,3,14-13,16-15,240,229,+11,W1,6-4
23,NL,Central,3,Cincinnati Reds,31,29,.517,3,16-13,15-16,238,240,-2,L1,7-3
24,NL,Central,4,Milwaukee Brewers,29,31,.483,5,15-14,14-17,247,264,-17,L1,5-5
25,NL,Central,5,Pittsburgh Pirates,19,41,.317,15,13-19,6-22,219,298,-79,L1,4-6
26,NL,West,1,Los Angeles Dodgers,43,17,.717,-,21-9,22-8,349,213,+136,W4,8-2
27,NL,West,2,San Diego Padres,37,23,.617,6,21-11,16-12,325,241,+84,W3,5-5
28,NL,West,3,San Francisco Giants,29,31,.483,14,19-14,10-17,299,297,+2,L3,4-6
29,NL,West,4,Colorado Rockies,26,34,.433,17,12-18,14-16,275,353,-78,L1,4-6
30,NL,West,5,Arizona Diamondbacks,25,35,.417,18,16-14,9-21,269,295,-26,W1,6-4
