Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Brad Reed,Albany Attack,,5,1,1,2,12,0,0,0,7,0,0,0,0,0/0,-
Brandon Miller,Albany Attack,G,2,0,0,0,0,0,0,0,15,0,0,0,0,0/0,-
Brian Beisel,Albany Attack,D,12,2,12,14,0,0,0,0,56,0,0,0,0,0/0,-
Cam Woods,Albany Attack,D,14,12,7,19,43,0,0,0,154,0,0,0,0,0/0,-
Dallas Squire,Albany Attack,,4,1,2,3,4,0,0,0,13,0,0,0,0,0/0,-
Dan Teat,Albany Attack,F,13,25,20,45,22,0,0,0,80,0,0,0,0,0/0,-
Darryl Gibson,Albany Attack,D,8,3,1,4,14,0,0,0,37,0,0,0,0,0/0,-
Derek General,Albany Attack,G,8,0,0,0,0,0,0,0,3,0,0,0,0,0/0,-
Gary Rosyski,Albany Attack,F,14,24,22,46,18,0,0,0,75,0,0,0,0,0/0,-
Jamie Dubrick,Albany Attack,,3,2,1,3,8,0,0,0,8,0,0,0,0,0/0,-
Jim Moss,Albany Attack,T,5,2,6,8,4,0,0,0,24,0,0,0,0,0/1,-
John Rosa,Albany Attack,D,9,2,2,4,9,0,0,0,59,0,0,0,0,3/5,60%
Josh Sanderson,Albany Attack,F,14,18,32,50,18,0,0,0,68,0,0,0,0,0/0,-
Kevin Lunnie,Albany Attack,,5,0,0,0,2,0,0,0,13,0,0,0,0,0/1,-
Mike Ladouceur,Albany Attack,,7,6,6,12,6,0,0,0,21,0,0,0,0,0/0,-
Mike Regan,Albany Attack,F,13,18,7,25,21,0,0,0,40,0,0,0,0,0/0,-
Phil Sanderson,Albany Attack,D,14,1,11,12,21,0,0,0,154,0,0,0,0,0/0,-
Rob Blasdell,Albany Attack,G,13,0,11,11,4,0,0,0,109,0,0,0,0,0/0,-
Ryan Sanderson,Albany Attack,,10,1,9,10,24,0,0,0,27,0,0,0,0,0/0,-
Scott MacDonnell,Albany Attack,,14,2,7,9,32,0,0,0,78,0,0,0,0,0/0,-
Shaydon Santos,Albany Attack,D,13,9,12,21,31,0,0,0,69,0,0,0,0,0/2,-
Steve Fannell,Albany Attack,,14,1,2,3,21,0,0,0,84,0,0,0,0,215/369,58%
Ted Dowling,Albany Attack,F,13,14,17,31,29,0,0,0,55,0,0,0,0,0/0,-
Troy Cordingley,Albany Attack,,14,13,27,40,16,0,0,0,34,0,0,0,0,0/0,-
