Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Ryan Flaherty*,29.0,BAL,AL,0.5,74.0,176.0,157.0,16.0,34.0,7.0,0.0,3.0,15.0,2.0,0.0,17.0,48.0,0.217,0.291,0.318,0.61,64.0,0.279,61.0,50.0,1.0,0.0,1.0,1.0,1.0,56H/39714,
Steve Pearce,33.0,BAL,AL,0.0,25.0,70.0,60.0,9.0,13.0,2.0,0.0,3.0,6.0,0.0,0.0,8.0,14.0,0.217,0.329,0.4,0.729,95.0,0.344,110.0,24.0,1.0,2.0,0.0,0.0,0.0,3/79H4D,
T.J. McFarland*,27.0,BAL,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Trey Mancini,24.0,BAL,AL,0.3,5.0,15.0,14.0,3.0,5.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,0.357,0.4,1.071,1.471,274.0,0.582,284.0,15.0,0.0,1.0,0.0,0.0,0.0,/DH,
Tyler Wilson,26.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Ubaldo Jiménez,32.0,BAL,AL,-0.1,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-141.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Vance Worley,28.0,BAL,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Wade Miley*,29.0,BAL,AL,0.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.5,36.0,0.223,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1,
Yovani Gallardo,30.0,BAL,AL,0.2,3.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6,0.5,1.1,202.0,0.495,245.0,2.0,0.0,0.0,1.0,0.0,0.0,1/H,
Zack Britton*,28.0,BAL,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,"AS,CYA-4,MVP-11"
