Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Larsson,SEA,D,45,11,12,23,7.0,8,16:09,2,1,76,14.5,,,,,,0,0,0.0
Ben Meyers,SEA,C,60,8,7,15,8.0,36,17:29,0,1,43,18.6,,,,,,0,0,0.0
Berkly Catton,SEA,C,62,4,14,18,1.0,15,11:47,0,0,74,5.4,,,,,,0,0,0.0
Bobby McMann C *,SEA,,73,5,8,13,11.0,29,16:52,0,0,71,7.0,,,,,,0,0,0.0
Brandon Montour,SEA,D,72,12,24,36,-16.0,28,16:09,5,9,127,9.4,,,,,,2,1,50.0
Cale Fleury,SEA,D,34,2,3,5,-9.0,25,9:25,0,0,27,7.4,,,,,,0,0,0.0
Chandler Stephenson,SEA,C,75,19,27,46,-7.0,23,19:23,6,5,142,13.4,,,,,,0,0,0.0
Eeli Tolvanen,SEA,RW,58,13,23,36,16.0,14,14:16,2,6,74,17.6,,,,,,1,0,0.0
Frederick Gaudreau,SEA,C,75,5,17,22,-3.0,40,21:27,0,0,90,5.6,,,,,,0,0,0.0
Jacob Melanson,SEA,RW,26,4,2,6,-4.0,6,10:25,1,1,31,12.9,,,,,,0,0,0.0
Jaden Schwartz,SEA,C,72,11,15,26,6.0,10,13:48,2,4,96,11.5,,,,,,0,0,0.0
Jamie Oleksiak,SEA,D,29,4,9,13,-4.0,26,16:57,0,3,46,8.7,,,,,,1,0,0.0
Jani Nyman,SEA,RW,40,3,5,8,-6.0,21,10:42,0,0,29,10.3,,,,,,0,0,0.0
Jared McCann,SEA,LW,74,11,30,41,-26.0,44,21:49,2,18,163,6.7,,,,,,0,0,0.0
John Hayden,SEA,C,8,0,2,2,2.0,2,8:41,0,0,5,0.0,,,,,,0,0,0.0
Joshua Mahura,SEA,D,21,1,2,3,2.0,5,16:12,0,0,22,4.5,,,,,,0,0,0.0
Kaapo Kakko,SEA,RW,48,18,19,37,-6.0,11,16:33,6,6,106,17.0,,,,,,1,0,0.0
Mason Marchment,SEA,LW,49,7,8,15,-9.0,14,11:51,0,0,59,11.9,,,,,,0,0,0.0
Matty Beniers,SEA,C,73,24,28,52,3.0,28,18:33,4,12,158,15.2,,,,,,3,0,0.0
Oscar Fisker Molgaard,SEA,C,21,1,2,3,8.0,16,15:24,0,0,13,7.7,,,,,,0,0,0.0
Ryan Lindgren,SEA,D,11,8,4,12,1.0,2,18:10,2,0,33,24.2,,,,,,0,0,0.0
Ryan Winterton,SEA,C,61,5,17,22,0.0,11,16:11,1,2,63,7.9,,,,,,1,0,0.0
Ryker Evans,SEA,D,59,6,10,16,-6.0,27,12:57,1,1,72,8.3,,,,,,0,0,0.0
Shane Wright,SEA,C,57,10,21,31,-14.0,41,22:38,2,6,154,6.5,,,,,,0,0,0.0
Total,SEA,,3,0,0,0,-1.0,2,10:04,0,0,2,0.0,,,,,,0,0,0.0
Tye Kartye,SEA,LW,71,2,7,9,5.0,60,18:22,0,0,47,4.3,,,,,,0,0,0.0
Vince Dunn,SEA,D,73,15,30,45,-21.0,14,19:31,6,9,89,16.9,,,,,,0,0,0.0
