Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Aleksanteri Kaskimaki,STL,C,5,1,0,1,-2.0,0,9:08,0,0,5,20.0,,,,,,0,0,0.0
Alexandre Texier LW *,STL,,8,1,1,2,6.0,6,15:22,0,0,6,16.7,,,,,,0,0,0.0
Alexey Toropchenko,STL,RW,29,2,7,9,1.0,5,13:37,0,0,27,7.4,,,,,,0,0,0.0
Brayden Schenn,STL,C,75,6,25,31,9.0,14,23:26,2,2,88,6.8,,,,,,0,0,0.0
Cam Fowler,STL,D,61,12,16,28,-23.0,49,16:40,3,3,87,13.8,,,,,,1,0,0.0
Colton Parayko,STL,D,65,11,8,19,-3.0,26,14:21,5,2,86,12.8,,,,,,1,1,100.0
Dalibor Dvorsky,STL,RW,59,13,14,27,9.0,20,16:00,1,3,91,14.3,,,,,,0,0,0.0
Dylan Holloway,STL,LW,75,17,27,44,-12.0,26,18:06,4,10,134,12.7,,,,,,0,0,0.0
Hugh McGing,STL,RW,28,2,1,3,2.0,10,12:31,0,0,19,10.5,,,,,,0,0,0.0
Hunter Skinner,STL,D,5,0,0,0,-6.0,0,10:23,0,0,6,0.0,,,,,,0,0,0.0
Jack Finley C *,STL,,3,1,1,2,0.0,0,10:52,0,0,4,25.0,,,,,,0,0,0.0
Jake Neighbours,STL,LW,61,11,21,32,-3.0,32,22:29,2,7,116,9.5,,,,,,0,0,0.0
Jimmy Snuggerud,STL,RW,53,19,24,43,11.0,16,18:11,3,3,145,13.1,,,,,,1,0,0.0
Jonatan Berggren RW *,STL,,63,3,11,14,-3.0,81,14:09,0,0,62,4.8,,,,,,0,0,0.0
Jonathan Drouin LW *,STL,,8,0,1,1,0.0,2,10:15,0,0,7,0.0,,,,,,0,0,0.0
Jordan Kyrou,STL,RW,64,17,25,42,13.0,16,16:37,4,4,154,11.0,,,,,,3,0,0.0
Justin Faulk,STL,D,66,17,24,41,-6.0,6,15:49,3,10,163,10.4,,,,,,2,0,0.0
Justin Holl,STL,D,13,1,1,2,5.0,6,15:20,0,0,14,7.1,,,,,,0,0,0.0
Logan Mailloux,STL,D,43,4,7,11,-8.0,26,11:58,0,0,36,11.1,,,,,,0,0,0.0
Mathieu Joseph,STL,RW,32,6,8,14,1.0,6,14:27,2,0,35,17.1,,,,,,0,0,0.0
Matt Luff,STL,RW,6,1,0,1,0.0,0,15:04,1,0,7,14.3,,,,,,0,0,0.0
Matthew Kessel,STL,D,15,1,3,4,-3.0,12,12:35,0,0,17,5.9,,,,,,0,0,0.0
Nathan Walker,STL,LW,39,2,9,11,-5.0,4,12:40,0,0,29,6.9,,,,,,0,0,0.0
Nick Bjugstad,STL,C,59,3,5,8,-12.0,28,11:58,0,0,62,4.8,,,,,,0,0,0.0
Oskar Sundqvist,STL,C,71,2,14,16,-8.0,16,22:22,0,0,98,2.0,,,,,,0,0,0.0
Otto Stenberg,STL,C,61,3,6,9,-14.0,46,16:18,0,1,70,4.3,,,,,,0,0,0.0
Pavel Buchnevich,STL,LW,58,21,35,56,20.0,22,19:00,3,10,93,22.6,,,,,,1,0,0.0
Philip Broberg,STL,D,63,14,18,32,-6.0,41,15:17,1,5,75,18.7,,,,,,1,0,0.0
Pius Suter,STL,C,76,3,24,27,-13.0,14,21:15,1,8,87,3.4,,,,,,0,0,0.0
Robby Fabbri,STL,C,35,6,1,7,-7.0,25,11:38,0,0,54,11.1,,,,,,0,0,0.0
Theo Lindstein,STL,D,18,0,2,2,-1.0,17,10:57,0,0,12,0.0,,,,,,0,0,0.0
Total,STL,,1,0,0,0,1.0,0,10:45,0,0,0,0.0,,,,,,0,0,0.0
Tyler Tucker,STL,D,50,4,11,15,-19.0,24,12:59,0,1,36,11.1,,,,,,0,0,0.0
