Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Donovan Mitchell,68,68.0,35.8,28.3,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,1.7,10.0,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,6.4,11.3,56.6,1.371,0.57,G,False
Darius Garland,69,69.0,35.5,21.6,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,2.7,7.6,16.4,46.2,2.4,6.0,41.0,4.0,4.7,86.3,5.1,10.4,49.2,1.32,0.54,G,False
Evan Mobley,79,79.0,34.4,16.2,2.4,6.6,9.0,2.8,0.8,1.5,1.8,2.8,1.5,6.6,12.0,55.4,0.3,1.3,21.6,2.6,3.8,67.4,6.4,10.7,59.5,1.348,0.57,C,False
Jarrett Allen,68,68.0,32.6,14.3,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,1.2,5.9,9.2,64.4,0.0,0.1,10.0,2.4,3.3,73.3,5.9,9.1,65.3,1.548,0.64,C,False
Caris LeVert,74,30.0,30.2,12.1,0.7,3.1,3.8,3.9,1.0,0.3,1.6,2.3,2.5,4.3,10.0,43.1,1.7,4.4,39.2,1.8,2.4,72.2,2.6,5.6,46.2,1.209,0.52,G,False
Cedi Osman,77,2.0,20.1,8.7,0.3,2.0,2.3,1.5,0.5,0.1,0.7,1.6,2.2,3.1,6.9,45.1,1.5,4.1,37.2,1.0,1.4,69.4,1.6,2.8,56.4,1.262,0.56,SF,False
Kevin Love,41,3.0,20.0,8.5,1.0,5.8,6.8,1.9,0.2,0.2,1.1,1.6,1.6,2.7,7.0,38.9,1.7,4.8,35.4,1.4,1.5,88.9,1.0,2.2,46.7,1.218,0.51,F,True
Danny Green,8,0.0,11.9,6.5,0.3,1.0,1.3,0.5,0.6,0.4,0.9,1.3,0.6,2.4,4.8,50.0,1.6,3.6,44.8,0.1,0.1,100.0,0.8,1.1,66.7,1.368,0.67,F,True
Isaac Okoro,76,46.0,21.8,6.4,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,2.1,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,1.5,2.4,61.7,1.384,0.58,F,False
Lamar Stevens,62,25.0,18.1,5.3,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,1.2,2.1,4.6,44.8,0.5,1.5,31.6,0.6,0.9,70.2,1.6,3.1,51.3,1.139,0.5,F,False
Ricky Rubio,33,2.0,17.2,5.2,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,3.7,1.8,5.4,34.3,0.6,2.5,25.6,0.8,1.1,80.0,1.2,2.9,41.7,0.961,0.4,PG,False
Sam Merrill,5,0.0,11.8,5.0,0.0,1.8,1.8,1.0,0.8,0.0,0.0,0.6,inf,1.8,4.4,40.9,1.0,3.6,27.8,0.4,0.4,100.0,0.8,0.8,100.0,1.136,0.52,G,False
Dean Wade,44,13.0,20.3,4.7,0.5,3.0,3.4,0.8,0.6,0.5,0.4,2.0,2.2,1.7,4.0,41.2,1.0,2.9,35.4,0.3,0.5,65.2,0.6,1.1,56.0,1.164,0.54,F,False
Raul Neto,48,1.0,10.5,3.3,0.2,0.8,1.0,1.6,0.4,0.1,0.5,1.0,3.3,1.2,2.3,51.8,0.3,0.9,28.6,0.6,0.7,91.2,0.9,1.4,66.2,1.427,0.57,PG,False
Robin Lopez,37,2.0,8.1,3.0,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,0.8,1.3,2.0,64.0,0.1,0.1,50.0,0.4,0.5,77.8,1.2,1.9,64.8,1.493,0.65,C,False
Mamadi Diakite,22,2.0,8.0,2.6,0.4,1.0,1.4,0.4,0.2,0.4,0.5,1.2,0.7,1.1,2.3,48.0,0.3,1.0,33.3,0.1,0.1,100.0,0.8,1.3,58.6,1.14,0.55,F,False
Isaiah Mobley,12,0.0,7.0,2.6,0.3,1.3,1.7,0.3,0.3,0.3,0.1,0.7,3.0,1.0,2.3,42.9,0.3,0.7,37.5,0.3,0.3,100.0,0.8,1.7,45.0,1.107,0.48,F,False
Dylan Windler,3,0.0,3.3,1.7,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,0.7,1.0,66.7,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.3,100.0,1.667,0.83,G,False
Total,82,,,112.3,9.7,31.4,41.1,24.9,7.1,4.7,12.4,19.0,2.0,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78.0,30.0,53.6,55.9,1.318,0.56,Total,False
