Name,Team,P,G,A
Adrian Cann,Toronto FC,26,0,0
Amadou Sanyang,Toronto FC,13,0,1
Chad Barrett,Toronto FC,23,7,1
Dan Gargan,Toronto FC,27,1,3
Doneil Henry,Toronto FC,1,0,0
Dwayne De Rosario,Toronto FC,28,16,3
Fuad Ibrahim,Toronto FC,8,1,1
Gabe Gala,Toronto FC,10,0,0
Jacob Peterson,Toronto FC,24,1,2
Joseph Nane,Toronto FC,11,0,0
Julian de Guzman,Toronto FC,25,0,2
Maicon Santos,Toronto FC,22,5,2
Maksim Usanov,Toronto FC,14,0,0
Martin Saric,Toronto FC,17,0,0
Milos Kocic,Toronto FC,2,0,0
Mista,Toronto FC,9,0,0
Nana Attakora-Gyan,Toronto FC,25,1,0
Nicholas Lindsay,Toronto FC,4,0,1
Nick Garcia,Toronto FC,23,0,1
Nick LaBrocca,Toronto FC,28,1,3
O'Brian White,Toronto FC,24,2,3
Raivis Hscanovics,Toronto FC,11,0,0
Stefan Frei,Toronto FC,28,0,0
Ty Harden,Toronto FC,12,0,0
