Name,Team,P,G,A
Andre Akpan,Colorado Rapids,1,0,0
Anthony Wallace,Colorado Rapids,13,0,1
Brian Mullan,Colorado Rapids,10,0,1
Claudio Javier López,Colorado Rapids,12,0,0
Colin Clark,Colorado Rapids,17,0,1
Conor Casey,Colorado Rapids,31,15,8
Danny Earls,Colorado Rapids,18,0,0
Drew Moor,Colorado Rapids,34,1,0
Ian Joyce,Colorado Rapids,1,0,0
Jamie Smith,Colorado Rapids,24,1,7
Jeff Larentowicz,Colorado Rapids,35,4,0
Julien Baudet,Colorado Rapids,22,0,0
Kosuke Kimura,Colorado Rapids,27,1,1
Macoumba Kandji,Colorado Rapids,23,2,2
Marvell Wynne,Colorado Rapids,31,0,0
Matthew Pickens,Colorado Rapids,33,0,1
Omar Cummings,Colorado Rapids,33,14,7
Pablo Mastroeni,Colorado Rapids,33,3,0
Quincy Amarikwa,Colorado Rapids,15,1,0
Ross LaBauex,Colorado Rapids,5,0,0
Scott Palguta,Colorado Rapids,16,0,0
Wells Thompson,Colorado Rapids,30,2,0
