Name,Team,P,G,A
Abdoulie Mansally,New England Revolution,21,4,0
Betu Linck,New England Revolution,1,0,0
Bobby Shuttleworth,New England Revolution,6,0,0
Chris Tierney,New England Revolution,27,1,3
Cory Gibbs,New England Revolution,25,0,0
Darrius Barnes,New England Revolution,21,0,0
Edgaras Jankauskas,New England Revolution,4,0,0
Emmanuel Osei,New England Revolution,21,0,1
Ilija Stolica,New England Revolution,14,3,2
Jason Griffiths,New England Revolution,10,0,0
Joseph Niouky,New England Revolution,13,0,0
Kevin Alston,New England Revolution,23,0,1
Khano Smith,New England Revolution,16,0,0
Khanousi Moulay Idriss,New England Revolution,1,0,0
Marko Perovic,New England Revolution,25,6,2
Matt Reis,New England Revolution,14,0,0
Mikokheli Dube,New England Revolution,20,3,4
Nico Colaluca,New England Revolution,1,0,0
Pat Phelan,New England Revolution,28,2,0
Preston Burpo,New England Revolution,11,0,0
Sainey Nyassi,New England Revolution,28,1,2
Seth Sinovic,New England Revolution,20,0,0
Shalrie Joseph,New England Revolution,23,4,4
Zack Schilawski,New England Revolution,25,5,0
Zak Boggs,New England Revolution,9,2,0
