Name,Team,P,G,A
Andrew Dykstra,Chicago Fire FC,17,0,1
Baggio Husidic,Chicago Fire FC,22,5,3
Bratislav Ristic,Chicago Fire FC,8,0,0
Brian McBride,Chicago Fire FC,26,6,2
C.J. Brown,Chicago Fire FC,26,0,0
Calen Carr,Chicago Fire FC,14,3,0
Corben Bone,Chicago Fire FC,0,0,0
Dasan Robinson,Chicago Fire FC,17,0,0
Deris Umanzor,Chicago Fire FC,9,0,0
Freddie Ljungberg,Chicago Fire FC,30,2,6
Gonzalo Segares,Chicago Fire FC,0,0,0
John Collins,Chicago Fire FC,17,3,1
John Thorrington,Chicago Fire FC,5,1,0
Julio Martinez,Chicago Fire FC,3,1,0
Krzysztof Krol,Chicago Fire FC,19,0,1
Kwame Watson-Sirboe,Chicago Fire FC,11,0,0
Logan Pause,Chicago Fire FC,26,1,2
Marco Pappa,Chicago Fire FC,26,7,3
Michael Banner,Chicago Fire FC,18,1,0
Nery Castillo,Chicago Fire FC,8,0,0
Patrick Nyarko,Chicago Fire FC,27,1,8
Peter Lowry,Chicago Fire FC,15,2,0
Sean Johnson,Chicago Fire FC,13,0,0
Steven Kinney,Chicago Fire FC,13,1,0
Tim Ward,Chicago Fire FC,6,0,0
Wilman Conde,Chicago Fire FC,26,1,0
