Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aime Caines,Buffalo Bandits,,15,14,14,28,10,0,0,0,54,0,0,0,0,0/0,-
Andy Ogilvie,Buffalo Bandits,,10,1,5,6,56,0,0,0,55,0,0,0,0,0/0,-
Billy Dee Smith,Buffalo Bandits,,7,2,1,3,46,0,0,0,24,0,0,0,0,0/0,-
Chris Langdale,Buffalo Bandits,,14,1,5,6,22,0,0,0,57,0,0,0,0,0/1,-
Chris Seller,Buffalo Bandits,,14,2,6,8,16,0,0,0,90,0,0,0,0,1/1,100%
Corey Quinn,Buffalo Bandits,G,15,0,1,1,5,0,0,0,31,0,0,0,0,0/0,-
Craig Gelsvik,Buffalo Bandits,,15,0,6,6,41,0,0,0,64,0,0,0,0,0/0,-
Duane Jacobs,Buffalo Bandits,,7,5,7,12,6,0,0,0,16,0,0,0,0,0/0,-
Jamie Hackel,Buffalo Bandits,,7,0,1,1,35,0,0,0,22,0,0,0,0,0/4,-
Jason Crosbie,Buffalo Bandits,,16,25,35,60,14,0,0,0,103,0,0,0,0,0/0,-
John Tavares,Buffalo Bandits,,16,49,58,107,25,0,0,0,155,0,0,0,0,0/0,-
Jonas Derks,Buffalo Bandits,,16,33,28,61,38,0,0,0,91,0,0,0,0,4/12,33%
Kelly Sullivan,Buffalo Bandits,,3,2,0,2,4,0,0,0,9,0,0,0,0,0/0,-
Kerry Susheski,Buffalo Bandits,,15,16,22,38,46,0,0,0,84,0,0,0,0,0/0,-
Kyle Couling,Buffalo Bandits,,15,1,3,4,25,0,0,0,82,0,0,0,0,0/0,-
Mark Steenhuis,Buffalo Bandits,,15,16,17,33,35,0,0,0,128,0,0,0,0,0/0,-
Mike Accursi,Buffalo Bandits,,15,35,20,55,18,0,0,0,85,0,0,0,0,102/184,55%
Pat McCready,Buffalo Bandits,,15,14,15,29,29,0,0,0,118,0,0,0,0,0/0,-
Peter Tavares,Buffalo Bandits,,2,1,2,3,0,0,0,0,6,0,0,0,0,0/0,-
Randy Fraser,Buffalo Bandits,,3,0,1,1,2,0,0,0,10,0,0,0,0,28/46,61%
Ray Guze,Buffalo Bandits,,1,0,1,1,0,0,0,0,5,0,0,0,0,0/0,-
Rich Kilgour,Buffalo Bandits,,16,8,26,34,10,0,0,0,64,0,0,0,0,89/232,38%
Steve Dietrich,Buffalo Bandits,G,16,0,10,10,0,0,0,0,165,0,0,0,0,0/0,-
