Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Anthony Saccone,New York Saints,,2,1,1,2,0,0,0,0,5,0,0,0,0,0/0,-
Armando Polanco,New York Saints,,15,0,1,1,39,0,0,0,23,0,0,0,0,0/0,-
Brian Spallina,New York Saints,,11,1,2,3,8,0,0,0,51,0,0,0,0,0/0,-
Chad Culp,New York Saints,,13,12,14,26,21,0,0,0,60,0,0,0,0,0/0,-
Chris Driscoll,New York Saints,,15,30,49,79,0,0,0,0,74,0,0,0,0,0/0,-
Chris Panos,New York Saints,,13,33,23,56,15,0,0,0,47,0,0,0,0,0/0,-
Dan Paccione,New York Saints,,15,9,8,17,9,0,0,0,64,0,0,0,0,5/9,56%
Dean Harrison,New York Saints,,3,1,1,2,0,0,0,0,6,0,0,0,0,0/0,-
Doug Shanahan,New York Saints,,8,7,4,11,10,0,0,0,39,0,0,0,0,16/39,41%
Gavin Prout,New York Saints,,15,28,44,72,29,0,0,0,131,0,0,0,0,0/0,-
Gee Nash,New York Saints,G,16,0,14,14,20,0,0,0,179,0,0,0,0,0/0,-
Greg Foster,New York Saints,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Jeff Shirk,New York Saints,,15,0,1,1,41,0,0,0,23,0,0,0,0,0/0,-
Jeff Wills,New York Saints,,7,3,3,6,0,0,0,0,28,0,0,0,0,0/0,-
Joe Ghedina,New York Saints,,16,3,6,9,12,0,0,0,69,0,0,0,0,189/369,51%
Jon Brothers,New York Saints,,9,1,0,1,11,0,0,0,31,0,0,0,0,41/86,48%
Josh Black,New York Saints,,4,1,1,2,2,0,0,0,18,0,0,0,0,0/0,-
Kris Bryde,New York Saints,,4,5,4,9,2,0,0,0,8,0,0,0,0,0/0,-
Mark Frye,New York Saints,,10,4,12,16,14,0,0,0,24,0,0,0,0,0/0,-
Matt McFarland,New York Saints,,8,0,1,1,26,0,0,0,66,0,0,0,0,1/1,100%
Matt Shearer,New York Saints,,11,29,20,49,4,0,0,0,46,0,0,0,0,0/0,-
Nick Carlson,New York Saints,,12,5,9,14,24,0,0,0,44,0,0,0,0,0/0,-
Nick Polanco,New York Saints,,16,1,4,5,13,0,0,0,91,0,0,0,0,0/0,-
Phil Wetherup,New York Saints,G,15,0,2,2,0,0,0,0,24,0,0,0,0,0/0,-
Ramar Clash,New York Saints,,2,2,2,4,0,0,0,0,12,0,0,0,0,0/0,-
Scott Stapleford,New York Saints,,3,0,0,0,2,0,0,0,6,0,0,0,0,0/0,-
Tom Naglieri,New York Saints,,5,0,1,1,23,0,0,0,13,0,0,0,0,0/0,-
