Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Bold,Halifax Thunderbirds,G,18,0,2,2,0,0,0,0,8,2,0,0,0,0/0,-
Austin Shanks,Halifax Thunderbirds,F,17,31,34,65,10,0,0,0,70,33,2,0,0,0/0,-
Brad Gillies,Halifax Thunderbirds,T,17,4,5,9,4,0,0,0,49,3,15,11,0,0/0,-
Brandon Robinson,Halifax Thunderbirds,F,3,4,3,7,0,0,0,0,18,3,0,0,0,0/0,-
Brayden Hill,Halifax Thunderbirds,D,1,0,0,0,0,0,0,0,2,0,0,0,0,0/0,-
Chase Martin,Halifax Thunderbirds,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Chris Boushy,Halifax Thunderbirds,F,17,26,21,47,13,0,0,0,44,26,1,0,0,0/0,-
Clarke Petterson,Halifax Thunderbirds,F,17,26,46,72,8,0,0,0,82,31,7,1,0,0/0,-
Cody Jamieson,Halifax Thunderbirds,F,16,17,43,60,7,0,0,0,62,42,2,1,0,0/0,-
Colton Armstrong,Halifax Thunderbirds,T,17,6,7,13,6,0,0,0,50,13,9,0,0,0/0,-
Connor Watson,Halifax Thunderbirds,F,3,2,6,8,0,0,0,0,10,3,0,0,0,0/0,-
David Brock,Halifax Thunderbirds,D,9,1,1,2,7,0,0,0,34,0,0,4,0,0/0,-
Eric Fannell,Halifax Thunderbirds,F,17,17,23,40,9,0,0,0,64,25,1,2,0,0/0,-
Graeme Hossack,Halifax Thunderbirds,D,18,3,12,15,8,0,0,0,129,12,18,16,0,0/3,-
Jake Withers,Halifax Thunderbirds,D,18,1,6,7,26,0,0,0,218,12,27,11,0,319/458,70%
James Barclay,Halifax Thunderbirds,D,6,0,0,0,10,0,0,0,15,1,3,2,0,0/0,-
Kyle Jackson,Halifax Thunderbirds,F,16,16,32,48,8,0,0,0,91,32,5,2,0,0/0,-
Luc Magnan,Halifax Thunderbirds,D,9,0,1,1,8,0,0,0,32,5,5,4,0,0/0,-
Nonkon Thompson,Halifax Thunderbirds,D,10,3,7,10,23,0,0,0,37,15,2,2,0,0/0,-
Rhys Duch,Halifax Thunderbirds,F,2,3,1,4,0,0,0,0,3,1,0,0,0,0/0,-
Ryan Terefenko,Halifax Thunderbirds,D,14,2,5,7,8,0,0,0,103,10,10,2,0,1/2,50%
Scott Campbell,Halifax Thunderbirds,D,16,2,7,9,10,0,0,0,101,13,16,5,0,0/2,-
Stephan Leblanc,Halifax Thunderbirds,F,16,14,35,49,2,0,0,0,70,19,4,0,0,0/0,-
Stephen Keogh,Halifax Thunderbirds,F,13,15,12,27,2,0,0,0,56,14,1,0,0,0/0,-
Trevor Smyth,Halifax Thunderbirds,D,18,0,4,4,12,0,0,0,47,3,12,1,0,0/0,-
Tyson Bell,Halifax Thunderbirds,D,17,4,10,14,36,0,0,0,115,10,11,6,0,0/0,-
Warren Hill,Halifax Thunderbirds,G,17,0,6,6,0,0,0,0,18,6,1,0,0,0/0,-
