Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Bold,Vancouver Warriors,G,18,0,0,0,0,0,0,0,8,3,1,0,0,0/0,-
Adam Charalambides,Vancouver Warriors,F,18,37,61,98,4,7,16,1,84,71,1,3,149,0/0,-
Aden Walsh,Vancouver Warriors,G,18,0,4,4,2,0,0,0,3,3,1,1,0,0/0,-
Anthony Kalinich,Vancouver Warriors,D,4,0,0,0,4,0,0,0,7,2,2,2,0,0/0,-
Brad McCulley,Vancouver Warriors,F,16,8,14,22,24,0,0,1,28,23,1,0,45,0/0,-
Brayden Laity,Vancouver Warriors,D,18,1,5,6,4,0,0,0,101,6,15,16,9,0/0,-
Brett Mydske,Vancouver Warriors,D,18,0,3,3,20,0,0,0,69,12,20,14,5,0/0,-
Chris Willman,Vancouver Warriors,D,18,0,3,3,6,0,0,0,51,6,13,2,2,134/293,46%
Dylan McIntosh,Vancouver Warriors,F,2,1,1,2,0,0,0,0,5,1,0,0,4,0/0,-
Jackson Suboch,Vancouver Warriors,D,18,1,2,3,48,0,0,0,49,7,8,8,3,0/0,-
James Rahe,Vancouver Warriors,F,3,2,5,7,0,0,0,0,7,3,0,0,7,0/0,-
Keegan Bal,Vancouver Warriors,F,18,49,56,105,2,15,8,3,66,72,4,1,199,0/0,-
Kevin Crowley,Vancouver Warriors,F,18,25,33,58,8,3,5,2,55,47,2,2,124,0/0,-
Kyle Killen,Vancouver Warriors,F,17,12,22,34,10,0,3,0,52,30,3,0,88,0/0,-
Marcus Klarich,Vancouver Warriors,T,2,1,3,4,0,0,0,0,7,5,0,0,9,0/1,-
Matt Beers,Vancouver Warriors,D,12,0,5,5,27,0,0,0,71,18,11,15,5,0/0,-
Owen Grant,Vancouver Warriors,T,18,8,6,14,20,0,0,4,96,18,25,10,24,3/19,16%
Reid Bowering,Vancouver Warriors,D,15,6,8,14,6,0,0,1,112,14,14,8,16,0/1,-
Riley Loewen,Vancouver Warriors,F,17,15,37,52,2,0,3,0,45,30,3,1,67,0/0,-
Ryan Dilks,Vancouver Warriors,D,18,1,5,6,6,0,0,0,102,7,46,14,10,1/1,100%
Ryan Martel,Vancouver Warriors,F,18,34,39,73,14,4,7,1,63,28,6,1,116,17/29,59%
Steph Charbonneau,Vancouver Warriors,D,18,1,3,4,8,0,0,0,68,4,18,13,3,0/0,-
Tyrell Hamer-Jackson,Vancouver Warriors,D,6,0,0,0,2,0,0,0,18,5,1,0,0,66/135,49%
Tyson Kirkness,Vancouver Warriors,D,15,2,8,10,14,0,0,0,60,8,7,10,7,0/0,-
